variant,unit_exposure,max_exposure,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard_pct,equity_dd_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,rotation_resets,open_fallback_count
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,10,none,none,none,none,2010-06-25 to 2019-12-31,6110.01,-49.96,1.121,2020-01-02 to 2026-05-20,5133.13,-77.85,1.203,336968.89,-77.85,1.142,0.824,0.0,729,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,10,75,0.2,none,none,2010-06-25 to 2019-12-31,1753.74,-45.13,1.001,2020-01-02 to 2026-05-20,2280.64,-57.02,1.181,45672.77,-57.02,1.076,0.645,0.0,729,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,10,75,0.25,none,none,2010-06-25 to 2019-12-31,1962.36,-43.86,1.023,2020-01-02 to 2026-05-20,2502.27,-58.45,1.198,55564.78,-58.45,1.095,0.658,0.0,729,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,10,100,0.2,none,none,2010-06-25 to 2019-12-31,1768.3,-44.48,0.975,2020-01-02 to 2026-05-20,3308.67,-55.28,1.249,65953.65,-55.28,1.095,0.664,0.0,729,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,10,75,0.2,35.0,0.25,2010-06-25 to 2019-12-31,1233.97,-40.22,0.921,2020-01-02 to 2026-05-20,805.17,-46.28,0.96,12423.99,-46.28,0.937,0.578,0.0,729,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=15, trend_sma=none, trend_exp=none, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,15,none,none,none,none,2010-06-25 to 2019-12-31,5526.51,-49.24,1.096,2020-01-02 to 2026-05-20,4478.75,-76.68,1.173,267108.79,-76.68,1.114,0.832,0.0,645,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,15,75,0.2,none,none,2010-06-25 to 2019-12-31,1473.93,-45.4,0.951,2020-01-02 to 2026-05-20,2148.58,-55.45,1.162,36607.8,-55.45,1.042,0.652,0.0,645,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,15,75,0.25,none,none,2010-06-25 to 2019-12-31,1651.06,-44.14,0.973,2020-01-02 to 2026-05-20,2357.91,-56.93,1.178,44540.77,-56.93,1.061,0.665,0.0,645,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=15, trend_sma=100, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,15,100,0.2,none,none,2010-06-25 to 2019-12-31,1383.75,-47.0,0.91,2020-01-02 to 2026-05-20,3164.19,-52.73,1.235,50134.31,-52.73,1.057,0.671,0.0,645,123,0
"unit=0.60, cap=1.00, anchor=rolling_high, add=5%/15%, sell=extra_profit 12%, max_days=15, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.0,rolling_high,5.0,15.0,extra_profit,12.0,15,75,0.2,35.0,0.25,2010-06-25 to 2019-12-31,494.31,-40.67,0.71,2020-01-02 to 2026-05-20,650.68,-51.06,0.926,4527.38,-51.06,0.809,0.537,0.0,645,123,0
