variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,rotation_resets,open_fallback_count
"cash=selected SMA75 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,702.06,-50.99,0.798,23.62,2020-01-02 to 2026-05-20,1664.46,-50.47,1.131,29.93,14578.61,-50.99,0.951,0.561,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",selected,75,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,702.06,-50.99,0.798,23.62,2020-01-02 to 2026-05-20,1664.46,-50.47,1.131,29.93,14578.61,-50.99,0.951,0.561,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",selected,75,0.0,0.0,0.6,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,608.4,-52.52,0.765,23.62,2020-01-02 to 2026-05-20,1575.42,-49.18,1.12,29.93,12210.2,-52.52,0.929,0.552,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,789.8,-49.35,0.814,23.62,2020-01-02 to 2026-05-20,1771.42,-50.14,1.132,29.93,17244.36,-50.14,0.959,0.592,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",selected,75,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,789.8,-49.35,0.814,23.62,2020-01-02 to 2026-05-20,1771.42,-50.14,1.132,29.93,17244.36,-50.14,0.959,0.592,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",selected,75,0.0,0.0,0.67,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,667.17,-51.14,0.774,23.62,2020-01-02 to 2026-05-20,1693.89,-48.05,1.125,29.93,14234.57,-51.14,0.936,0.582,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.0,0.75,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,896.12,-48.1,0.827,23.62,2020-01-02 to 2026-05-20,1888.47,-49.8,1.13,29.93,20630.75,-49.8,0.966,0.627,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",selected,75,0.0,0.0,0.75,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,896.12,-48.1,0.827,23.62,2020-01-02 to 2026-05-20,1888.47,-49.8,1.13,29.93,20630.75,-49.8,0.966,0.627,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.75, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",selected,75,0.0,0.0,0.75,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,735.67,-50.53,0.782,23.62,2020-01-02 to 2026-05-20,1827.47,-46.75,1.127,29.93,16757.93,-50.53,0.942,0.617,0.0,539,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.0,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,520.32,-52.41,0.689,23.62,2020-01-02 to 2026-05-20,1854.02,-46.6,1.095,29.93,12525.32,-52.41,0.879,0.587,13.53,527,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",selected,75,0.0,0.0,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,520.32,-52.41,0.689,23.62,2020-01-02 to 2026-05-20,1854.02,-46.6,1.095,29.93,12525.32,-52.41,0.879,0.587,13.53,527,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.67, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",selected,75,0.0,0.0,0.67,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,439.37,-56.13,0.654,23.62,2020-01-02 to 2026-05-20,1750.63,-46.6,1.085,29.93,10296.78,-56.13,0.857,0.576,13.25,527,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.0,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,,,2010-06-25 to 2019-12-31,603.23,-56.26,0.692,23.62,2020-01-02 to 2026-05-20,2229.83,-50.19,1.093,29.93,17047.76,-56.26,0.88,0.655,13.53,527,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.2",selected,75,0.0,0.0,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,75.0,0.2,2010-06-25 to 2019-12-31,603.23,-56.26,0.692,23.62,2020-01-02 to 2026-05-20,2229.83,-50.19,1.093,29.93,17047.76,-56.26,0.88,0.655,13.53,527,38,0
"cash=selected SMA75 exit=0% reentry=0%; unit=0.75, cap=1.50, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.2",selected,75,0.0,0.0,0.75,1.5,0.08,0.2,rebound_from_low,0.05,10,100.0,0.2,2010-06-25 to 2019-12-31,497.5,-61.19,0.655,23.62,2020-01-02 to 2026-05-20,2095.45,-50.19,1.082,29.93,13629.28,-61.19,0.856,0.643,13.25,527,38,0
"cash=selected SMA75 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.02,0.6,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,426.26,-61.03,0.675,25.38,2020-01-02 to 2026-05-20,1647.06,-44.11,1.134,31.55,9436.18,-61.03,0.891,0.551,0.0,495,38,0
"cash=selected SMA75 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2",selected,75,0.0,0.02,0.6,1.0,0.05,0.15,extra_profit,0.12,10,75.0,0.2,2010-06-25 to 2019-12-31,426.26,-61.03,0.675,25.38,2020-01-02 to 2026-05-20,1647.06,-44.11,1.134,31.55,9436.18,-61.03,0.891,0.551,0.0,495,38,0
"cash=selected SMA75 exit=0% reentry=2%; unit=0.60, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2",selected,75,0.0,0.02,0.6,1.0,0.05,0.15,extra_profit,0.12,10,100.0,0.2,2010-06-25 to 2019-12-31,403.93,-61.61,0.664,25.38,2020-01-02 to 2026-05-20,1464.81,-48.18,1.103,31.55,8078.9,-61.61,0.871,0.544,0.0,495,38,0
"cash=selected SMA75 exit=0% reentry=2%; unit=0.67, cap=1.00, add=5%/15%, sell=extra_profit 12%, max_days=10, trend_sma=none, trend_exp=none",selected,75,0.0,0.02,0.67,1.0,0.05,0.15,extra_profit,0.12,10,,,2010-06-25 to 2019-12-31,456.45,-60.78,0.681,25.38,2020-01-02 to 2026-05-20,1753.77,-42.95,1.136,31.55,10644.3,-60.78,0.895,0.58,0.0,495,38,0
