date,equity,units,exposure,allocation
2010-06-25,1.0,1.0,0.0,TQQQ
2010-06-28,0.9940002665037699,1.0,0.67,TQQQ
2010-06-29,0.919682785910809,2.0,0.67,TQQQ
2010-06-30,0.8898472682811291,1.0,0.67,SOXL
2010-07-01,0.8840354731744695,1.0,0.67,TQQQ
2010-07-02,0.8807951933405032,1.0,0.67,TQQQ
2010-07-06,0.8838792467507233,1.0,0.67,TQQQ
2010-07-07,0.9398409263557876,1.0,0.67,TQQQ
2010-07-08,0.9504641715403829,1.0,0.67,TQQQ
2010-07-09,0.9683070025226149,1.0,0.67,TQQQ
2010-07-12,0.9756742437618133,1.0,0.67,TQQQ
2010-07-13,0.9980022262588945,1.0,0.67,TQQQ
2010-07-14,1.008698437492571,1.0,0.67,TQQQ
2010-07-15,1.0110571894391847,1.0,0.67,TQQQ
2010-07-16,0.956536385279066,2.0,0.67,TQQQ
2010-07-19,0.9854450998356673,2.0,1.34,TQQQ
2010-07-20,1.0271626428677263,2.0,1.34,TQQQ
2010-07-21,0.9789634942658695,2.0,1.34,TQQQ
2010-07-22,1.067409856603848,2.0,1.34,TQQQ
2010-07-23,1.1046424707155553,2.0,1.34,TQQQ
2010-07-26,1.1371742910004876,2.0,1.34,TQQQ
2010-07-27,1.1368488943639312,2.0,1.34,TQQQ
2010-07-28,1.105709140792632,2.0,1.34,TQQQ
2010-07-29,1.070420740200575,2.0,1.34,TQQQ
2010-07-30,1.0802159454627656,2.0,1.34,TQQQ
2010-08-02,1.1580925676163647,1.0,1.34,TQQQ
2010-08-03,1.1500716649031555,1.0,0.67,TQQQ
2010-08-04,1.1723279144414283,1.0,0.67,TQQQ
2010-08-05,1.1676912736060738,1.0,0.67,TQQQ
2010-08-06,1.1640220122487626,1.0,0.67,TQQQ
2010-08-09,1.1776587118170196,1.0,0.67,TQQQ
2010-08-10,1.1609315846238004,1.0,0.67,TQQQ
2010-08-11,1.0969053319799789,2.0,0.67,TQQQ
2010-08-12,1.0554771767383486,2.0,1.34,TQQQ
2010-08-13,1.0273005096139696,2.0,1.34,TQQQ
2010-08-16,1.0350827265687246,2.0,1.34,TQQQ
2010-08-17,1.0878408949769434,2.0,1.34,TQQQ
2010-08-18,1.100939982377785,2.0,1.34,TQQQ
2010-08-19,1.046690231531901,2.0,1.34,TQQQ
2010-08-20,1.0418691339196744,2.0,1.34,TQQQ
2010-08-23,1.0033420925211325,2.0,1.34,TQQQ
2010-08-24,0.9261970574265439,3.0,1.34,TQQQ
2010-08-25,0.9817361881175561,3.0,2.0,TQQQ
2010-08-26,0.917654268516437,3.0,2.0,TQQQ
2010-08-27,0.9783714151855203,3.0,2.0,TQQQ
2010-08-30,0.9149709384295853,3.0,2.0,TQQQ
2010-08-31,0.9059058094186293,3.0,2.0,TQQQ
2010-09-01,1.0577630474246926,3.0,2.0,TQQQ
2010-09-02,1.1303614706681355,3.0,2.0,TQQQ
2010-09-03,1.2455081234045613,3.0,2.0,TQQQ
2010-09-07,1.1848685210274603,3.0,2.0,TQQQ
2010-09-08,1.2685667368712865,3.0,2.0,TQQQ
2010-09-09,1.3006671270778816,2.0,2.0,TQQQ
2010-09-10,1.3194245363919774,2.0,1.34,TQQQ
2010-09-13,1.397360734459751,2.0,1.34,TQQQ
2010-09-14,1.4210764088839078,2.0,1.34,TQQQ
2010-09-15,1.4534143421944081,2.0,1.34,TQQQ
2010-09-16,1.4808732727856169,2.0,1.34,TQQQ
2010-09-17,1.5020003703158196,2.0,1.34,TQQQ
2010-09-20,1.6068542522315223,1.0,1.34,TQQQ
2010-09-21,1.6034615829288448,1.0,0.67,TQQQ
2010-09-22,1.5983652293337964,1.0,0.67,TQQQ
2010-09-23,1.5951597741163037,1.0,0.67,TQQQ
2010-09-24,1.655679793910158,1.0,0.67,TQQQ
2010-09-27,1.6429808678351574,1.0,0.67,TQQQ
2010-09-28,1.6457465327622673,1.0,0.67,TQQQ
2010-09-29,1.636864950388587,1.0,0.67,TQQQ
2010-09-30,1.6220150776725197,1.0,0.67,TQQQ
2010-10-01,1.6186362626191124,1.0,0.67,TQQQ
2010-10-04,1.5810124873226863,2.0,0.67,TQQQ
2010-10-05,1.738729898677214,2.0,1.34,TQQQ
2010-10-06,1.6793528369117907,2.0,1.34,TQQQ
2010-10-07,1.70141723563872,2.0,1.34,TQQQ
2010-10-08,1.7473448001018244,2.0,1.34,TQQQ
2010-10-11,1.7520914268489711,2.0,1.34,TQQQ
2010-10-12,1.800833696376417,2.0,1.34,TQQQ
2010-10-13,1.8594712557439725,2.0,1.34,TQQQ
2010-10-14,1.8456411057531996,2.0,1.34,TQQQ
2010-10-15,2.003400803519559,1.0,1.34,TQQQ
