date,equity,units,exposure,allocation
2010-06-25,1.0,1.0,0.0,TQQQ
2010-06-28,0.9940001765348924,1.0,0.67,TQQQ
2010-06-29,0.9196827077719324,2.0,0.67,TQQQ
2010-06-30,0.8898470764155698,1.0,0.67,SOXL
2010-07-01,0.884035186548632,1.0,0.67,TQQQ
2010-07-02,0.8807949077652433,1.0,0.67,TQQQ
2010-07-06,0.8838790089005939,1.0,0.67,TQQQ
2010-07-07,0.9398404742841154,1.0,0.67,TQQQ
2010-07-08,0.950463811261665,1.0,0.67,TQQQ
2010-07-09,0.9683066837941334,1.0,0.67,TQQQ
2010-07-12,0.9756739226083266,1.0,0.67,TQQQ
2010-07-13,0.9980018977559164,1.0,0.67,TQQQ
2010-07-14,1.0086981054688218,1.0,0.67,TQQQ
2010-07-15,1.0110568566390272,1.0,0.67,TQQQ
2010-07-16,0.956535979215069,2.0,0.67,TQQQ
2010-07-19,0.9854447795771234,2.0,1.34,TQQQ
2010-07-20,1.0271625956832557,2.0,1.34,TQQQ
2010-07-21,0.9789632649207975,2.0,1.34,TQQQ
2010-07-22,1.067409606538149,2.0,1.34,TQQQ
2010-07-23,1.1046422119272465,2.0,1.34,TQQQ
2010-07-26,1.13717402459084,2.0,1.34,TQQQ
2010-07-27,1.1368485301079874,2.0,1.34,TQQQ
2010-07-28,1.1057092740896861,2.0,1.34,TQQQ
2010-07-29,1.0704202951812358,2.0,1.34,TQQQ
2010-07-30,1.080215979759052,2.0,1.34,TQQQ
2010-08-02,1.158092395514572,2.0,1.34,TQQQ
2010-08-03,1.1420502985462997,2.0,1.34,TQQQ
2010-08-04,1.1862529312334493,2.0,1.34,TQQQ
2010-08-05,1.1768687118217371,2.0,1.34,TQQQ
2010-08-06,1.1694727077337168,1.0,1.34,TQQQ
2010-08-09,1.1831732647734303,1.0,0.67,TQQQ
2010-08-10,1.166367808371564,1.0,0.67,TQQQ
2010-08-11,1.102041785105931,2.0,0.67,TQQQ
2010-08-12,1.0604199371540663,2.0,1.34,TQQQ
2010-08-13,1.032111021944228,2.0,1.34,TQQQ
2010-08-16,1.0399298808557333,2.0,1.34,TQQQ
2010-08-17,1.0929351049190785,2.0,1.34,TQQQ
2010-08-18,1.1060955326417279,2.0,1.34,TQQQ
2010-08-19,1.0515914364672814,2.0,1.34,TQQQ
2010-08-20,1.0467480640156437,2.0,1.34,TQQQ
2010-08-23,1.0080406085378992,2.0,1.34,TQQQ
2010-08-24,0.930534517815472,3.0,1.34,TQQQ
2010-08-25,0.9863332947804985,3.0,2.0,TQQQ
2010-08-26,0.9219511540147101,3.0,2.0,TQQQ
2010-08-27,0.982952899973866,3.0,2.0,TQQQ
2010-08-30,0.9192556872908404,3.0,2.0,TQQQ
2010-08-31,0.9101476766419007,3.0,2.0,TQQQ
2010-09-01,1.0627159920077975,2.0,2.0,TQQQ
2010-09-02,1.1115846989252656,2.0,1.34,TQQQ
2010-09-03,1.1874518468856856,2.0,1.34,TQQQ
2010-09-07,1.1487166946031315,2.0,1.34,TQQQ
2010-09-08,1.2030840253463109,2.0,1.34,TQQQ
2010-09-09,1.2234806622809737,2.0,1.34,TQQQ
2010-09-10,1.2411246155771898,2.0,1.34,TQQQ
2010-09-13,1.3144361048038795,2.0,1.34,TQQQ
2010-09-14,1.336744619977374,1.0,1.34,TQQQ
2010-09-15,1.3519541694927082,1.0,0.67,TQQQ
2010-09-16,1.3647252030883867,1.0,0.67,TQQQ
2010-09-17,1.374460119448401,1.0,0.67,TQQQ
2010-09-20,1.422435510595529,1.0,0.67,TQQQ
2010-09-21,1.4194320068125459,1.0,0.67,TQQQ
2010-09-22,1.4149206694103214,1.0,0.67,TQQQ
2010-09-23,1.4120829988601162,1.0,0.67,TQQQ
2010-09-24,1.4656569059500524,1.0,0.67,TQQQ
2010-09-27,1.4544158570061425,1.0,0.67,TQQQ
2010-09-28,1.4568638955100965,1.0,0.67,TQQQ
2010-09-29,1.4490017598170388,1.0,0.67,TQQQ
2010-09-30,1.4358563169060703,1.0,0.67,TQQQ
2010-10-01,1.4328650781833023,1.0,0.67,TQQQ
2010-10-04,1.399559288403413,2.0,0.67,TQQQ
2010-10-05,1.5391754329779364,2.0,1.34,TQQQ
2010-10-06,1.4866128722334726,2.0,1.34,TQQQ
2010-10-07,1.5061451509171246,2.0,1.34,TQQQ
2010-10-08,1.5468018152264855,2.0,1.34,TQQQ
2010-10-11,1.5510036705734693,2.0,1.34,TQQQ
2010-10-12,1.5941513398516223,2.0,1.34,TQQQ
2010-10-13,1.6460594922275578,2.0,1.34,TQQQ
2010-10-14,1.6338164087237699,2.0,1.34,TQQQ
2010-10-15,1.7734706534796232,1.0,1.34,TQQQ
2010-10-18,1.7734706534796232,1.0,0.67,TQQQ
2010-10-19,1.7262204094593265,1.0,0.67,TQQQ
2010-10-20,1.7502656187411616,1.0,0.67,TQQQ
2010-10-21,1.7584464026716415,1.0,0.67,TQQQ
2010-10-22,1.7814186115240502,1.0,0.67,TQQQ
2010-10-25,1.7995298051688873,1.0,0.67,TQQQ
2010-10-26,1.8067565652183746,1.0,0.67,TQQQ
2010-10-27,1.81921787070109,1.0,0.67,TQQQ
2010-10-28,1.826219444580759,1.0,0.67,TQQQ
2010-10-29,1.8203475150978414,1.0,0.67,TQQQ
2010-11-01,1.8231501396125585,1.0,0.67,TQQQ
2010-11-02,1.8601747577946284,1.0,0.67,TQQQ
2010-11-03,1.8781850049034814,1.0,0.67,TQQQ
2010-11-04,1.9227722728495726,1.0,0.67,TQQQ
2010-11-05,1.9243146702699965,1.0,0.67,TQQQ
2010-11-08,1.9275871518074978,1.0,0.67,TQQQ
2010-11-09,1.9067071970275644,1.0,0.67,TQQQ
2010-11-10,1.9262391220637574,1.0,0.67,TQQQ
2010-11-11,1.904533867314025,1.0,0.67,TQQQ
2010-11-12,1.839601666327568,2.0,0.67,TQQQ
2010-11-15,1.8132048045101157,2.0,1.34,TQQQ
2010-11-16,1.692638251223162,2.0,1.34,TQQQ
2010-11-17,1.714098198900623,2.0,1.34,TQQQ
2010-11-18,1.8208623802165542,2.0,1.34,TQQQ
2010-11-19,1.8266038380674698,2.0,1.34,TQQQ
2010-11-22,1.8911262034804999,2.0,1.34,TQQQ
2010-11-23,1.7714314489561565,2.0,1.34,TQQQ
2010-11-24,1.910063478064535,2.0,1.34,TQQQ
2010-11-26,1.893958480223724,2.0,1.34,TQQQ
2010-11-29,1.858630841641075,2.0,1.34,TQQQ
2010-11-30,1.7639508578130467,2.0,1.34,TQQQ
2010-12-01,1.914249729227735,2.0,1.34,TQQQ
2010-12-02,1.9921419387132013,2.0,1.34,TQQQ
2010-12-03,2.014459765533704,2.0,1.34,TQQQ
2010-12-06,2.0097185833468614,1.0,1.34,TQQQ
2010-12-07,2.0109522335094594,1.0,0.67,TQQQ
2010-12-08,2.029615840928569,1.0,0.67,TQQQ
2010-12-09,2.0310282195636136,1.0,0.67,TQQQ
2010-12-10,2.059597265188508,1.0,0.67,TQQQ
2010-12-13,2.0433980431941725,1.0,0.67,TQQQ
2010-12-14,2.0491302416487707,1.0,0.67,TQQQ
2010-12-15,2.035142993498205,1.0,0.67,TQQQ
2010-12-16,2.0635926952920443,1.0,0.67,TQQQ
2010-12-17,2.067803518810125,1.0,0.67,TQQQ
2010-12-20,2.071540364888456,1.0,0.67,TQQQ
2010-12-21,2.094419516958759,1.0,0.67,TQQQ
2010-12-22,2.0959069223819293,1.0,0.67,TQQQ
2010-12-23,2.0852274670778375,1.0,0.67,TQQQ
2010-12-27,2.085788793485,1.0,0.67,TQQQ
2010-12-28,2.079737893053791,1.0,0.67,TQQQ
2010-12-29,2.0880348462783336,1.0,0.67,TQQQ
2010-12-30,2.077521324005433,1.0,0.67,TQQQ
2010-12-31,2.0647431761465294,1.0,0.67,TQQQ
2011-01-03,2.127233654767543,1.0,0.67,TQQQ
2011-01-04,2.131975792358421,1.0,0.67,SOXL
2011-01-05,2.1459027699181363,1.0,0.67,SOXL
2011-01-06,2.225592217390103,1.0,0.67,SOXL
2011-01-07,2.2354148701696417,1.0,0.67,SOXL
2011-01-10,2.2825180650556156,1.0,0.67,SOXL
2011-01-11,2.2994977847786053,1.0,0.67,SOXL
2011-01-12,2.3859694912350804,1.0,0.67,SOXL
2011-01-13,2.385442428967423,1.0,0.67,SOXL
2011-01-14,2.516056617529808,1.0,0.67,SOXL
2011-01-18,2.4962459708929003,1.0,0.67,SOXL
2011-01-19,2.3797525508622592,2.0,0.67,SOXL
2011-01-20,2.2638232982430386,2.0,1.34,SOXL
2011-01-21,2.2115657826773205,2.0,1.34,SOXL
2011-01-24,2.4255822054311595,2.0,1.34,SOXL
2011-01-25,2.3575691441603275,2.0,1.34,SOXL
2011-01-26,2.4451310120653447,2.0,1.34,SOXL
2011-01-27,2.6261234240786995,2.0,1.34,SOXL
2011-01-28,2.3411348616754073,2.0,1.34,SOXL
2011-01-31,2.3768760671723337,2.0,1.34,SOXL
2011-02-01,2.6074286278537913,2.0,1.34,SOXL
2011-02-02,2.666792516997003,2.0,1.34,SOXL
2011-02-03,2.6705928136611243,2.0,1.34,SOXL
2011-02-04,2.8823438310444183,2.0,1.34,SOXL
2011-02-07,2.842509144834088,2.0,1.34,SOXL
2011-02-08,2.833686864434049,2.0,1.34,SOXL
2011-02-09,2.7615232852193436,1.0,1.34,SOXL
2011-02-10,2.7773946486437167,1.0,0.67,SOXL
2011-02-11,2.8199595137747164,1.0,0.67,SOXL
2011-02-14,2.8630224229871755,1.0,0.67,SOXL
2011-02-15,2.808177123134139,1.0,0.67,SOXL
2011-02-16,2.867627115239844,1.0,0.67,SOXL
2011-02-17,2.9522722827476082,1.0,0.67,SOXL
2011-02-18,2.9294840251064564,1.0,0.67,SOXL
2011-02-22,2.6956765565426584,2.0,0.67,SOXL
2011-02-23,2.501731265422388,2.0,1.34,SOXL
