variant,unit_exposure,max_exposure,anchor_mode,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard,equity_dd_guard_exposure,equity_dd_guard_pct,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,trade_events,rotation_resets
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.2,,none,none,2010-06-25 to 2019-12-31,1266323.58,-28.55,2.349,2020-01-02 to 2026-05-20,1245502.31,-34.16,2.493,16955197250.88,-34.16,2.383,0.795,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.2,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1266323.58,-28.55,2.349,2020-01-02 to 2026-05-20,1245502.31,-34.16,2.493,16955197250.88,-34.16,2.383,0.795,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.2, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.2,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1266323.58,-28.55,2.349,2020-01-02 to 2026-05-20,1245502.31,-34.16,2.493,16955197250.88,-34.16,2.383,0.795,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.25,,none,none,2010-06-25 to 2019-12-31,1031268.97,-28.55,2.288,2020-01-02 to 2026-05-20,1058540.55,-35.03,2.439,11735647011.1,-35.03,2.326,0.808,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.25,0.35,0.25,35.0,2010-06-25 to 2019-12-31,1031268.97,-28.55,2.288,2020-01-02 to 2026-05-20,1058540.55,-35.03,2.439,11735647011.1,-35.03,2.326,0.808,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=75, trend_exp=0.25, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,75,0.25,0.45,0.25,45.0,2010-06-25 to 2019-12-31,1031268.97,-28.55,2.288,2020-01-02 to 2026-05-20,1058540.55,-35.03,2.439,11735647011.1,-35.03,2.326,0.808,46.67,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.1, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.1,,none,none,2010-06-25 to 2019-12-31,492793.19,-41.98,2.048,2020-01-02 to 2026-05-20,858017.69,-40.58,2.334,4546153695.5,-41.98,2.157,0.8,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.1, dd_guard=0.35, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.1,0.35,0.25,35.0,2010-06-25 to 2019-12-31,245377.68,-40.18,1.954,2020-01-02 to 2026-05-20,359287.77,-40.58,2.182,948243155.44,-40.58,2.036,0.768,46.52,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.1, dd_guard=0.45, dd_exp=0.25",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.1,0.45,0.25,45.0,2010-06-25 to 2019-12-31,492793.19,-41.98,2.048,2020-01-02 to 2026-05-20,858017.69,-40.58,2.334,4546153695.5,-41.98,2.157,0.8,49.2,785,123
"unit=0.60, cap=1.50, anchor=rolling_high, add=3%/15%, sell=extra_profit 12%, max_days=10, trend_sma=100, trend_exp=0.2, dd_guard=none, dd_exp=none",0.6,1.5,rolling_high,0.03,0.15,extra_profit,0.12,10,100,0.2,,none,none,2010-06-25 to 2019-12-31,371791.91,-43.18,1.976,2020-01-02 to 2026-05-20,662492.62,-41.63,2.259,2648547500.07,-43.18,2.085,0.824,49.2,785,123
