date,action,from_symbol,to_symbol,exposure,regime,discount_to_sma_pct
2011-04-15,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,24.53
2011-06-13,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-2.38
2011-06-29,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,3.12
2011-08-03,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.76
2011-09-06,ENTER_TQQQ,CASH,TQQQ,1.0,DEEP_DCA,-21.33
2011-09-08,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-15.39
2011-10-25,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,2.13
2011-10-26,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-3.64
2011-10-28,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,3.76
2011-11-01,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.01
2011-11-09,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,3.44
2011-11-10,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-7.2
2012-01-12,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.67
2012-06-04,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.81
2012-06-06,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.37
2012-10-24,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.11
2012-12-19,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.5
2012-12-24,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-3.06
2013-01-03,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,5.73
2013-02-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,18.29
2013-05-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,16.12
2013-07-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,37.72
2013-09-03,ROTATE,SOXL,TQQQ,1.0,RISK_ON,22.45
2014-03-03,ROTATE,TQQQ,SOXL,1.0,RISK_ON,42.11
2014-08-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,22.86
2014-10-16,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-0.74
2014-10-20,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.41
2015-02-02,ROTATE,TQQQ,SOXL,1.0,RISK_ON,4.47
2015-04-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,13.18
2015-08-21,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.58
2015-10-23,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,2.55
2015-12-21,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-0.99
2015-12-22,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.94
2016-01-05,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-2.73
2016-02-18,ENTER_TQQQ,CASH,TQQQ,1.0,DEEP_DCA,-20.58
2016-02-23,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-18.53
