date,action,from_symbol,to_symbol,exposure,regime,discount_to_sma_pct
2011-02-03,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,
2011-04-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,
2011-06-06,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,8.6
2011-07-01,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,7.94
2011-08-03,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.76
2011-08-09,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-29.93
2011-08-10,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-20.33
2011-08-11,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-29.69
2011-08-12,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-20.66
2011-08-19,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-30.41
2011-08-25,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-23.49
2011-08-26,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-27.11
2011-08-29,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-21.8
2011-10-03,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-25.22
2011-10-06,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-21.09
2011-10-17,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,0.89
2011-10-18,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-3.79
2011-10-19,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-0.31
2011-10-20,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-6.04
2011-10-25,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,2.13
2011-10-26,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-3.64
2011-10-28,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,3.76
2011-11-02,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-8.6
2011-11-04,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-0.57
2011-11-10,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-7.2
2011-11-16,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-0.8
2011-11-17,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-5.63
2012-01-06,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-1.38
2012-05-18,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,6.53
2012-05-22,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,10.66
2012-06-01,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,6.68
2012-06-07,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,8.04
2012-06-08,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,6.59
2012-06-11,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,9.5
2012-06-12,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,4.09
2012-06-18,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,9.65
2012-06-26,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,3.5
2012-07-02,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,12.94
2012-07-12,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,5.83
2012-07-19,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,11.5
2012-07-24,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,5.88
2012-07-30,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,12.37
2012-10-22,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,0.63
2012-12-19,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.5
2012-12-24,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-3.06
2013-01-03,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,5.73
2013-02-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,18.29
2013-05-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,16.12
2013-07-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,37.72
2013-08-28,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,8.36
2013-08-29,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,11.66
2013-09-03,ROTATE,SOXL,TQQQ,1.0,RISK_ON,22.45
2014-03-03,ROTATE,TQQQ,SOXL,1.0,RISK_ON,42.11
2014-04-14,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,24.87
2014-04-17,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,28.63
2014-08-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,22.86
2014-10-14,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,1.39
2014-10-21,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,5.67
2015-02-02,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,4.47
2015-02-04,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,10.75
2015-04-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,13.18
2015-06-30,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,4.45
2015-07-02,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,7.59
2015-07-09,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,1.87
2015-07-13,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,6.1
2015-08-21,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.58
2015-10-23,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,2.55
2015-11-16,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,0.36
2015-11-17,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,4.45
2015-12-21,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-0.99
2015-12-22,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.94
2016-01-05,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-2.73
2016-01-21,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-25.03
2016-01-22,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-24.68
2016-01-28,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-25.33
2016-01-29,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-22.3
2016-02-08,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-30.73
2016-02-18,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-20.58
2016-03-22,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,6.88
2016-04-29,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,3.97
2016-05-26,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,18.2
2016-06-20,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,15.17
2016-06-24,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,28.24
2016-06-27,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,6.5
2016-07-05,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,9.28
