date,action,from_symbol,to_symbol,exposure,regime,discount_to_sma_pct
2011-02-03,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,
2011-04-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,
2011-06-07,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,5.72
2011-07-01,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,7.94
2011-08-03,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.76
2011-08-09,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-29.93
2011-08-15,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-18.64
2011-08-19,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-30.41
2011-08-30,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-15.13
2011-09-06,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-21.33
2011-09-08,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-15.39
2011-09-12,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-22.03
2011-09-13,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-19.09
2011-09-23,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-20.42
2011-09-26,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-17.9
2011-10-03,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-25.22
2011-10-07,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-16.98
2011-10-13,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-6.85
2011-11-18,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-12.03
2011-11-25,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-23.38
2011-11-29,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-17.08
2011-12-02,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-7.28
2011-12-14,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-11.73
2011-12-28,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-8.2
2012-05-21,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,2.22
2012-05-22,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,10.66
2012-06-04,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.81
2012-06-07,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,8.04
2012-07-13,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,2.63
2012-07-16,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,6.93
2012-07-26,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,0.83
2012-07-30,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,12.37
2012-10-24,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.11
2012-11-30,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-0.99
2012-12-06,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-5.58
2012-12-12,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,-1.03
2012-12-17,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-6.63
2012-12-19,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,1.5
2012-12-27,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-6.13
2013-01-03,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,5.73
2013-02-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,18.29
2013-05-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,16.12
2013-07-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,37.72
2013-09-03,ROTATE,SOXL,TQQQ,1.0,RISK_ON,22.45
2014-03-03,ROTATE,TQQQ,SOXL,1.0,RISK_ON,42.11
2014-08-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,22.86
2014-10-16,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-0.74
2014-10-21,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,5.67
2015-02-02,ROTATE,TQQQ,SOXL,1.0,RISK_ON,4.47
2015-04-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,13.18
2015-07-09,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,1.87
2015-07-13,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,6.1
2015-08-21,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-1.58
2015-08-25,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-24.0
2015-08-27,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-14.12
2015-09-29,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-21.69
2015-10-01,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-17.66
2015-10-20,ENTER_TQQQ,CASH,TQQQ,1.0,RISK_ON,0.25
2016-01-07,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-6.13
2016-01-14,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-22.33
2016-01-15,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-17.26
2016-01-19,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-24.8
2016-01-25,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-18.13
2016-01-26,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-21.74
2016-01-27,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-19.43
2016-01-28,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-25.33
2016-02-01,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-17.17
2016-02-03,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-21.85
2016-02-23,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-18.53
2016-02-24,ENTER_TQQQ,CASH,TQQQ,0.5,DEEP_DCA,-22.5
2016-02-26,EXIT_TO_CASH,TQQQ,CASH,0.0,CASH,-17.8
2016-03-07,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,-7.29
2016-03-09,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,-12.18
2016-03-14,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,-2.59
2016-05-02,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,-3.9
2016-05-23,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,6.07
2016-06-28,EXIT_TO_CASH,SOXL,CASH,0.0,CASH,-6.2
2016-06-29,ENTER_SOXL,CASH,SOXL,1.0,RISK_ON,1.27
2017-04-03,ROTATE,SOXL,TQQQ,1.0,RISK_ON,33.74
2017-08-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,30.77
2017-09-01,ROTATE,SOXL,TQQQ,1.0,RISK_ON,29.68
2017-11-01,ROTATE,TQQQ,SOXL,1.0,RISK_ON,64.16
2018-01-02,ROTATE,SOXL,TQQQ,1.0,RISK_ON,24.24
2018-04-02,ROTATE,TQQQ,SOXL,1.0,RISK_ON,15.82
