rank_drawdown_first,variant,cash_mode,cash_sma,exit_buffer_pct,reentry_buffer_pct,dca_start_below_sma_pct,dca_max_below_sma_pct,dca_entry_exposure,dca_max_exposure,dca_filter,recover_buffer_pct,max_dca_days,normal_exposure,trade_events,2010_return_pct,2010_cagr_pct,2010_max_drawdown_pct,2010_calmar,2010_sharpe,2010_2022_return_pct,2010_2022_drawdown_pct,2010_cash_days_pct,2010_deep_dca_days_pct,2010_avg_exposure,2020_return_pct,2020_cagr_pct,2020_max_drawdown_pct,2020_calmar,2020_sharpe,2020_2022_return_pct,2020_2022_drawdown_pct,2020_cash_days_pct,2020_deep_dca_days_pct,2020_avg_exposure
1,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->2.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.5,2.0,selected_above_sma20,5.0,63,1.0,141,136384.9,57.5,-48.19,1.193,1.1,-19.69,-42.81,22.79,2.8,0.768,7312.75,96.28,-48.19,1.998,1.33,-19.69,-42.81,19.24,5.54,0.805
2,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->2.00; filter=selected_above_sma20; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.5,2.0,selected_above_sma20,5.0,20,1.0,143,132637.27,57.23,-48.19,1.188,1.1,-21.89,-42.81,22.81,2.78,0.768,7109.21,95.43,-48.19,1.98,1.32,-21.89,-42.81,19.3,5.48,0.804
3,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->1.50; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.5,1.5,selected_above_sma20,5.0,63,1.0,141,128060.55,56.88,-48.19,1.18,1.1,-23.51,-39.65,22.79,2.8,0.765,6860.64,94.36,-48.19,1.958,1.33,-23.51,-39.65,19.24,5.54,0.796
4,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->1.50; filter=selected_above_sma20; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.5,1.5,selected_above_sma20,5.0,20,1.0,143,124541.49,56.61,-48.19,1.175,1.1,-25.61,-39.65,22.81,2.78,0.765,6669.51,93.51,-48.19,1.941,1.32,-25.61,-39.65,19.3,5.48,0.796
5,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->1.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.5,1.0,selected_above_sma20,5.0,63,1.0,141,118840.02,56.15,-48.19,1.165,1.1,-27.98,-36.56,22.79,2.8,0.761,6359.85,92.1,-48.19,1.911,1.32,-27.98,-36.56,19.24,5.54,0.788
6,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.50->1.00; filter=selected_above_sma20; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.5,1.0,selected_above_sma20,5.0,20,1.0,143,115574.13,55.87,-48.19,1.16,1.09,-29.96,-36.56,22.81,2.78,0.761,6182.48,91.26,-48.19,1.894,1.31,-29.96,-36.56,19.3,5.48,0.788
7,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->2.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.67,2.0,selected_above_sma20,5.0,63,1.0,141,156334.09,58.86,-48.2,1.221,1.11,-21.69,-41.33,22.79,2.8,0.772,7984.23,98.97,-48.2,2.053,1.34,-21.69,-41.33,19.24,5.54,0.811
8,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->2.00; filter=selected_above_sma20; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.67,2.0,selected_above_sma20,5.0,20,1.0,143,150631.49,58.49,-48.2,1.213,1.11,-24.55,-41.33,22.81,2.78,0.772,7689.53,97.81,-48.2,2.029,1.34,-24.55,-41.33,19.3,5.48,0.811
9,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->1.50; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.67,1.5,selected_above_sma20,5.0,63,1.0,141,147151.91,58.26,-48.2,1.209,1.11,-25.24,-38.06,22.79,2.8,0.768,7509.71,97.09,-48.2,2.014,1.34,-25.24,-38.06,19.24,5.54,0.803
10,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->1.50; filter=selected_above_sma20; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.67,1.5,selected_above_sma20,5.0,20,1.0,143,141784.03,57.89,-48.2,1.201,1.11,-27.97,-38.06,22.81,2.78,0.768,7232.31,95.95,-48.2,1.99,1.33,-27.97,-38.06,19.3,5.48,0.803
11,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->1.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.67,1.0,selected_above_sma20,5.0,63,1.0,141,136893.47,57.54,-48.2,1.194,1.11,-29.44,-36.21,22.79,2.8,0.765,6979.57,94.88,-48.2,1.968,1.34,-29.44,-36.21,19.24,5.54,0.795
12,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 0.67->1.00; filter=selected_above_sma20; recover=5%; maxDays=20; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,0.67,1.0,selected_above_sma20,5.0,20,1.0,143,131899.54,57.17,-48.2,1.186,1.11,-32.02,-36.21,22.81,2.78,0.765,6721.49,93.75,-48.2,1.945,1.33,-32.02,-36.21,19.3,5.48,0.794
13,selected_and_qqq; cashSMA200; exit 0%; reentry 1%; DCA below SMA200 20%->50%; exp 1.00->2.00; filter=selected_above_sma20; recover=5%; maxDays=63; normal=1.00,selected_and_qqq,200,0.0,1.0,20.0,50.0,1.0,2.0,selected_above_sma20,5.0,63,1.0,141,200947.87,61.39,-48.24,1.273,1.13,-25.88,-40.18,22.79,2.8,0.779,9378.08,103.99,-48.24,2.156,1.37,-25.88,-40.18,19.24,5.54,0.824
