date,action,from_symbol,to_symbol,units_before,price
2010-06-30,ROTATE,TQQQ,SOXL,1,0.4291
2010-07-01,ROTATE,SOXL,TQQQ,1,0.1815
2011-01-04,ROTATE,TQQQ,SOXL,1,0.7777
2011-03-16,EXIT_TO_CASH,SOXL,,1,0.734
2011-03-25,ENTER_FROM_CASH,CASH,SOXL,0,0.8631
2011-04-04,ROTATE,SOXL,TQQQ,1,0.4192
2011-05-24,EXIT_TO_CASH,TQQQ,,1,0.4005
2011-07-06,ENTER_FROM_CASH,CASH,TQQQ,0,0.4377
2011-08-03,EXIT_TO_CASH,TQQQ,,1,0.3985
2011-10-17,ENTER_FROM_CASH,CASH,TQQQ,0,0.3762
2011-11-02,EXIT_TO_CASH,TQQQ,,1,0.3653
2011-11-04,ENTER_FROM_CASH,CASH,TQQQ,0,0.3815
2011-11-18,EXIT_TO_CASH,TQQQ,,1,0.3332
2012-01-05,ENTER_FROM_CASH,CASH,TQQQ,0,0.3697
2012-05-16,EXIT_TO_CASH,TQQQ,,1,0.4742
2012-08-08,ENTER_FROM_CASH,CASH,TQQQ,0,0.5498
2012-10-22,EXIT_TO_CASH,TQQQ,,1,0.5333
2013-02-04,ENTER_FROM_CASH,CASH,SOXL,0,0.5076
2013-05-02,ROTATE,SOXL,TQQQ,1,0.6619
2013-06-25,EXIT_TO_CASH,TQQQ,,1,0.6325
2013-07-02,ENTER_FROM_CASH,CASH,SOXL,0,0.7081
2013-08-20,EXIT_TO_CASH,SOXL,,1,0.682
2013-08-28,ENTER_FROM_CASH,CASH,TQQQ,0,0.7768
2013-08-29,EXIT_TO_CASH,TQQQ,,1,0.7929
2013-09-04,ENTER_FROM_CASH,CASH,TQQQ,0,0.8167
2014-03-04,ROTATE,TQQQ,SOXL,1,1.2553
2014-08-04,ROTATE,SOXL,TQQQ,1,1.5431
2014-10-13,EXIT_TO_CASH,TQQQ,,1,1.4194
2014-10-27,ENTER_FROM_CASH,CASH,TQQQ,0,1.6926
2015-01-07,EXIT_TO_CASH,TQQQ,,1,1.8277
2015-01-09,ENTER_FROM_CASH,CASH,TQQQ,0,1.8928
2015-01-16,EXIT_TO_CASH,TQQQ,,1,1.7949
2015-01-23,ENTER_FROM_CASH,CASH,TQQQ,0,1.9796
2015-01-29,EXIT_TO_CASH,TQQQ,,1,1.8428
2015-02-05,ENTER_FROM_CASH,CASH,SOXL,0,1.925
2015-03-26,EXIT_TO_CASH,SOXL,,1,1.8972
2015-03-31,ENTER_FROM_CASH,CASH,SOXL,0,2.0633
2015-04-02,ROTATE,SOXL,TQQQ,1,2.0139
2015-06-30,EXIT_TO_CASH,TQQQ,,1,2.1122
2015-07-16,ENTER_FROM_CASH,CASH,TQQQ,0,2.3924
2015-08-21,EXIT_TO_CASH,TQQQ,,1,1.8253
2015-10-26,ENTER_FROM_CASH,CASH,TQQQ,0,2.3477
2016-01-06,EXIT_TO_CASH,TQQQ,,1,2.0541
2016-03-17,ENTER_FROM_CASH,CASH,SOXL,0,1.564
2016-05-02,EXIT_TO_CASH,SOXL,,1,1.4366
2016-05-23,ENTER_FROM_CASH,CASH,SOXL,0,1.5652
2016-06-28,EXIT_TO_CASH,SOXL,,1,1.5124
2016-06-30,ENTER_FROM_CASH,CASH,SOXL,0,1.6908
2017-04-04,ROTATE,SOXL,TQQQ,1,3.5116
2017-08-02,ROTATE,TQQQ,SOXL,1,5.8929
2017-09-05,ROTATE,SOXL,TQQQ,1,4.46
2017-11-02,ROTATE,TQQQ,SOXL,1,9.4403
2017-12-05,ROTATE,SOXL,TQQQ,1,5.1943
2017-12-06,ROTATE,TQQQ,SOXL,1,8.3897
2018-01-03,ROTATE,SOXL,TQQQ,1,5.9616
2018-02-09,EXIT_TO_CASH,TQQQ,,1,5.4064
2018-02-15,ENTER_FROM_CASH,CASH,TQQQ,0,6.4366
2018-03-26,EXIT_TO_CASH,TQQQ,,1,6.2043
2018-05-11,ENTER_FROM_CASH,CASH,TQQQ,0,6.6125
2018-10-11,EXIT_TO_CASH,TQQQ,,1,6.3754
2019-02-26,ENTER_FROM_CASH,CASH,TQQQ,0,6.1466
2019-03-04,ROTATE,TQQQ,SOXL,1,8.3468
2019-05-21,EXIT_TO_CASH,SOXL,,1,8.1457
2019-06-11,ENTER_FROM_CASH,CASH,TQQQ,0,6.9747
2019-08-06,EXIT_TO_CASH,TQQQ,,1,6.8637
2019-09-06,ENTER_FROM_CASH,CASH,SOXL,0,11.2266
2019-11-04,ROTATE,SOXL,TQQQ,1,8.6456
2019-12-03,ROTATE,TQQQ,SOXL,1,13.0246
2020-01-03,ROTATE,SOXL,TQQQ,1,10.5506
2020-02-28,EXIT_TO_CASH,TQQQ,,1,9.1931
2020-05-21,ENTER_FROM_CASH,CASH,TQQQ,0,9.3734
2020-07-02,ROTATE,TQQQ,SOXL,1,12.0917
2020-08-04,ROTATE,SOXL,TQQQ,1,14.9764
2020-09-02,ROTATE,TQQQ,SOXL,1,19.8749
2020-09-08,ROTATE,SOXL,TQQQ,1,14.5203
2020-09-09,ROTATE,TQQQ,SOXL,1,14.8805
2020-10-02,ROTATE,SOXL,TQQQ,1,15.011
2020-10-29,ROTATE,TQQQ,SOXL,1,16.9168
2020-10-30,ROTATE,SOXL,TQQQ,1,14.0225
2020-11-02,EXIT_TO_CASH,TQQQ,,1,14.0273
2020-11-03,ENTER_FROM_CASH,CASH,SOXL,0,17.3254
2021-03-05,EXIT_TO_CASH,SOXL,,1,31.7602
2021-03-08,ENTER_FROM_CASH,CASH,SOXL,0,26.6883
2021-03-09,EXIT_TO_CASH,SOXL,,1,31.4693
2021-03-10,ENTER_FROM_CASH,CASH,SOXL,0,29.7916
2021-04-05,ROTATE,SOXL,TQQQ,1,24.2746
2021-05-12,EXIT_TO_CASH,TQQQ,,1,21.0725
2021-05-27,ENTER_FROM_CASH,CASH,TQQQ,0,24.2603
2021-10-05,EXIT_TO_CASH,TQQQ,,1,29.5183
2021-10-18,ENTER_FROM_CASH,CASH,TQQQ,0,33.377
2021-12-02,ROTATE,TQQQ,SOXL,1,61.365
2022-01-19,EXIT_TO_CASH,SOXL,,1,49.3175
2022-08-15,ENTER_FROM_CASH,CASH,TQQQ,0,18.5725
2022-08-23,EXIT_TO_CASH,TQQQ,,1,15.5017
2023-01-11,ENTER_FROM_CASH,CASH,SOXL,0,12.1336
2023-04-04,ROTATE,SOXL,TQQQ,1,13.4133
2023-04-26,EXIT_TO_CASH,TQQQ,,1,12.3704
2023-04-27,ENTER_FROM_CASH,CASH,TQQQ,0,13.3699
2023-09-22,EXIT_TO_CASH,TQQQ,,1,17.3189
2023-11-15,ENTER_FROM_CASH,CASH,TQQQ,0,20.9304
2024-01-03,ROTATE,TQQQ,SOXL,1,25.8652
2024-04-19,EXIT_TO_CASH,SOXL,,1,30.3636
2024-04-29,ENTER_FROM_CASH,CASH,SOXL,0,40.0476
2024-05-02,EXIT_TO_CASH,SOXL,,1,35.9452
2024-05-07,ENTER_FROM_CASH,CASH,SOXL,0,39.8011
2024-06-04,ROTATE,SOXL,TQQQ,1,31.167
2024-07-26,EXIT_TO_CASH,TQQQ,,1,32.0092
2024-08-01,ENTER_FROM_CASH,CASH,TQQQ,0,31.1632
2024-08-02,EXIT_TO_CASH,TQQQ,,1,28.8909
2024-08-16,ENTER_FROM_CASH,CASH,TQQQ,0,33.7602
2024-09-04,EXIT_TO_CASH,TQQQ,,1,30.4058
2024-09-20,ENTER_FROM_CASH,CASH,TQQQ,0,34.493
2025-02-26,EXIT_TO_CASH,TQQQ,,1,38.6747
2025-06-03,ENTER_FROM_CASH,CASH,TQQQ,0,36.3856
2025-08-04,ROTATE,TQQQ,SOXL,1,24.9927
2025-10-02,ROTATE,SOXL,TQQQ,1,52.8996
2025-11-04,ROTATE,TQQQ,SOXL,1,42.8
2025-11-05,ROTATE,SOXL,TQQQ,1,56.4382
2025-11-06,ROTATE,TQQQ,SOXL,1,43.01
2025-11-10,ROTATE,SOXL,TQQQ,1,56.174
2025-11-11,ROTATE,TQQQ,SOXL,1,41.81
2025-11-14,ROTATE,SOXL,TQQQ,1,52.2018
2025-11-17,ROTATE,TQQQ,SOXL,1,36.84
2025-11-19,ROTATE,SOXL,TQQQ,1,49.8643
2025-11-20,ROTATE,TQQQ,SOXL,1,30.81
2025-11-21,EXIT_TO_CASH,SOXL,,1,31.73
2025-11-25,ENTER_FROM_CASH,CASH,SOXL,0,36.17
2026-03-09,EXIT_TO_CASH,SOXL,,1,53.32
2026-03-10,ENTER_FROM_CASH,CASH,SOXL,0,54.59
2026-03-27,EXIT_TO_CASH,SOXL,,1,46.61
2026-04-07,ENTER_FROM_CASH,CASH,SOXL,0,56.55
