date,equity,exposure,units,held,base_allocation
2010-06-25,1.0,0.0,0.0,CASH,TQQQ
2010-06-28,0.9932836771635292,0.75,1.0,TQQQ,TQQQ
2010-06-29,0.910152429887888,0.75,1.0,TQQQ,TQQQ
2010-06-30,0.8771005110970835,0.75,1.0,SOXL,SOXL
2010-07-01,0.8706879622920513,0.75,1.0,TQQQ,TQQQ
2010-07-02,0.8671155476359854,0.75,1.0,TQQQ,TQQQ
2010-07-06,0.8705143898873615,0.75,1.0,TQQQ,TQQQ
2010-07-07,0.9322106214268886,0.75,1.0,TQQQ,TQQQ
2010-07-08,0.9440056653152028,0.75,1.0,TQQQ,TQQQ
2010-07-09,0.9638434253430613,0.75,1.0,TQQQ,TQQQ
2010-07-12,0.972052374107894,0.75,1.0,TQQQ,TQQQ
2010-07-13,0.996953654074499,0.75,1.0,TQQQ,TQQQ
2010-07-14,1.0089143413178576,0.75,1.0,TQQQ,TQQQ
2010-07-15,1.0115553517415146,0.75,1.0,TQQQ,TQQQ
2010-07-16,0.9504943257922467,0.75,1.0,TQQQ,TQQQ
2010-07-19,0.9665725857570331,0.75,1.0,TQQQ,TQQQ
2010-07-20,0.9894747870097697,0.75,1.0,TQQQ,TQQQ
2010-07-21,0.9634874757492177,0.75,1.0,TQQQ,TQQQ
2010-07-22,1.0122084559671267,0.75,1.0,TQQQ,TQQQ
2010-07-23,1.0319699031753027,0.75,1.0,TQQQ,TQQQ
2010-07-26,1.0489802832532316,0.75,1.0,TQQQ,TQQQ
2010-07-27,1.048812080851395,0.75,1.0,TQQQ,TQQQ
2010-07-28,1.0327328512698606,0.75,1.0,TQQQ,TQQQ
2010-07-29,1.0142856897798675,0.75,1.0,TQQQ,TQQQ
2010-07-30,1.0194804178546815,0.75,1.0,TQQQ,TQQQ
2010-08-02,1.0606172400671232,0.75,1.0,TQQQ,TQQQ
2010-08-03,1.052394287618888,0.75,1.0,TQQQ,TQQQ
2010-08-04,1.0751922429865117,0.75,1.0,TQQQ,TQQQ
2010-08-05,1.0704318743662382,0.75,1.0,TQQQ,TQQQ
