date,action,from_symbol,to_symbol,units_before,price
2010-06-30,ROTATE,TQQQ,SOXL,1,0.4291
2010-07-01,ROTATE,SOXL,TQQQ,1,0.1815
2011-01-04,ROTATE,TQQQ,SOXL,1,0.7777
2011-04-04,ROTATE,SOXL,TQQQ,1,0.4192
2011-06-09,ROTATE,TQQQ,SOXL,1,0.6983
2011-06-10,ROTATE,SOXL,TQQQ,1,0.3588
2011-08-05,EXIT_TO_CASH,TQQQ,,1,0.3367
2011-10-28,ENTER_FROM_CASH,CASH,TQQQ,0,0.4066
2011-11-02,EXIT_TO_CASH,TQQQ,,1,0.3653
2012-01-19,ENTER_FROM_CASH,CASH,TQQQ,0,0.4146
2012-11-09,EXIT_TO_CASH,TQQQ,,1,0.4701
2013-03-11,ENTER_FROM_CASH,CASH,SOXL,0,0.5889
2013-05-02,ROTATE,SOXL,TQQQ,1,0.6619
2013-07-02,ROTATE,TQQQ,SOXL,1,0.7081
2013-08-28,ROTATE,SOXL,TQQQ,1,0.7768
2013-08-29,ROTATE,TQQQ,SOXL,1,0.6802
2013-09-04,ROTATE,SOXL,TQQQ,1,0.8167
2014-03-04,ROTATE,TQQQ,SOXL,1,1.2553
2014-08-04,ROTATE,SOXL,TQQQ,1,1.5431
2015-02-03,ROTATE,TQQQ,SOXL,1,1.8516
2015-04-02,ROTATE,SOXL,TQQQ,1,2.0139
2015-08-24,EXIT_TO_CASH,TQQQ,,1,1.609
2015-10-26,ENTER_FROM_CASH,CASH,TQQQ,0,2.3477
2016-01-08,EXIT_TO_CASH,TQQQ,,1,1.8148
2016-07-19,ENTER_FROM_CASH,CASH,SOXL,0,1.9899
2017-04-04,ROTATE,SOXL,TQQQ,1,3.5116
2017-08-02,ROTATE,TQQQ,SOXL,1,5.8929
2017-09-05,ROTATE,SOXL,TQQQ,1,4.46
2017-11-02,ROTATE,TQQQ,SOXL,1,9.4403
2017-12-05,ROTATE,SOXL,TQQQ,1,5.1943
2017-12-06,ROTATE,TQQQ,SOXL,1,8.3897
2018-01-03,ROTATE,SOXL,TQQQ,1,5.9616
2018-02-09,ROTATE,TQQQ,SOXL,1,8.4888
2018-02-12,ROTATE,SOXL,TQQQ,1,5.709
2018-04-03,ROTATE,TQQQ,SOXL,1,9.0881
2018-04-26,ROTATE,SOXL,TQQQ,1,5.8019
2018-04-27,ROTATE,TQQQ,SOXL,1,8.0212
2018-05-02,ROTATE,SOXL,TQQQ,1,5.7741
2018-10-25,EXIT_TO_CASH,TQQQ,,1,6.4267
2019-03-20,ENTER_FROM_CASH,CASH,SOXL,0,8.877
2019-05-21,EXIT_TO_CASH,SOXL,,1,8.1457
2019-06-19,ENTER_FROM_CASH,CASH,TQQQ,0,7.3924
2019-09-04,ROTATE,TQQQ,SOXL,1,10.2265
2019-11-04,ROTATE,SOXL,TQQQ,1,8.6456
2019-12-03,ROTATE,TQQQ,SOXL,1,13.0246
2020-01-03,ROTATE,SOXL,TQQQ,1,10.5506
2020-02-28,ROTATE,TQQQ,SOXL,1,13.2304
2020-03-02,ROTATE,SOXL,TQQQ,1,10.4479
2020-03-10,EXIT_TO_CASH,TQQQ,,1,8.4481
2020-05-11,ENTER_FROM_CASH,CASH,TQQQ,0,9.1513
2020-07-02,ROTATE,TQQQ,SOXL,1,12.0917
2020-08-04,ROTATE,SOXL,TQQQ,1,14.9764
2020-09-02,ROTATE,TQQQ,SOXL,1,19.8749
2020-09-08,ROTATE,SOXL,TQQQ,1,14.5203
2020-09-09,ROTATE,TQQQ,SOXL,1,14.8805
2020-10-02,ROTATE,SOXL,TQQQ,1,15.011
2020-10-29,ROTATE,TQQQ,SOXL,1,16.9168
2020-10-30,ROTATE,SOXL,TQQQ,1,14.0225
2020-11-03,ROTATE,TQQQ,SOXL,1,17.3254
2021-04-05,ROTATE,SOXL,TQQQ,1,24.2746
2021-12-02,ROTATE,TQQQ,SOXL,1,61.365
2022-01-19,ROTATE,SOXL,TQQQ,1,30.7408
2022-01-20,ROTATE,TQQQ,SOXL,1,44.6303
2022-01-24,EXIT_TO_CASH,SOXL,,1,44.1062
2023-03-30,ENTER_FROM_CASH,CASH,SOXL,0,17.5908
2023-04-04,ROTATE,SOXL,TQQQ,1,13.4133
2023-04-26,EXIT_TO_CASH,TQQQ,,1,12.3704
2023-04-28,ENTER_FROM_CASH,CASH,TQQQ,0,13.6403
2024-01-03,ROTATE,TQQQ,SOXL,1,25.8652
2024-06-04,ROTATE,SOXL,TQQQ,1,31.167
2024-08-06,EXIT_TO_CASH,TQQQ,,1,27.0318
2024-08-09,ENTER_FROM_CASH,CASH,TQQQ,0,28.945
2025-03-07,EXIT_TO_CASH,TQQQ,,1,33.3725
2025-06-11,ENTER_FROM_CASH,CASH,TQQQ,0,37.3389
2025-08-04,EXIT_TO_CASH,TQQQ,,1,43.5479
2025-08-13,ENTER_FROM_CASH,CASH,SOXL,0,29.2615
2025-10-02,ROTATE,SOXL,TQQQ,1,52.8996
2025-11-04,ROTATE,TQQQ,SOXL,1,42.8
2025-11-05,ROTATE,SOXL,TQQQ,1,56.4382
2025-11-06,ROTATE,TQQQ,SOXL,1,43.01
2025-11-10,ROTATE,SOXL,TQQQ,1,56.174
2025-11-11,ROTATE,TQQQ,SOXL,1,41.81
2025-11-14,ROTATE,SOXL,TQQQ,1,52.2018
2025-11-17,ROTATE,TQQQ,SOXL,1,36.84
2025-11-19,ROTATE,SOXL,TQQQ,1,49.8643
2025-11-20,ROTATE,TQQQ,SOXL,1,30.81
2025-11-21,ROTATE,SOXL,TQQQ,1,47.3275
2025-11-24,ROTATE,TQQQ,SOXL,1,35.86
