variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=qqq SMA200 exit=0% reentry=0%; unit=2.00, cap=2.00, add=5%/15%, sell=extra_profit 15%, max_days=20, trend_sma=none, trend_exp=none",qqq,200,0.0,0.0,2.0,2.0,0.05,0.15,extra_profit,0.15,20,,,2010-06-25 to 2019-12-31,3277.62,-90.08,0.884,11.27,2020-01-02 to 2026-05-20,27225.25,-86.0,1.348,20.57,1037967.91,-90.08,1.098,1.7,84.97,2.0,508,70
"cash=selected SMA250 exit=5% reentry=5%; unit=1.50, cap=1.50, add=5%/15%, sell=rebound_from_low 5%, max_days=10, trend_sma=75, trend_exp=0.5",selected,250,0.05,0.05,1.5,1.5,0.05,0.15,rebound_from_low,0.05,10,75.0,0.5,2010-06-25 to 2019-12-31,2437.53,-64.43,0.86,16.65,2020-01-02 to 2026-05-20,8387.71,-64.25,1.238,25.31,235427.69,-64.43,1.035,1.079,68.03,1.5,891,64
"cash=selected_or_qqq SMA250 exit=0% reentry=0%; unit=1.50, cap=3.00, add=8%/20%, sell=rebound_from_low 5%, max_days=5, trend_sma=75, trend_exp=0.25",selected_or_qqq,250,0.0,0.0,1.5,3.0,0.08,0.2,rebound_from_low,0.05,5,75.0,0.25,2010-06-25 to 2019-12-31,9007.95,-88.53,0.99,8.72,2020-01-02 to 2026-05-20,863.97,-89.91,0.961,19.45,95911.52,-89.91,0.963,1.358,71.85,3.0,869,71
"cash=qqq SMA150 exit=0% reentry=2%; unit=1.50, cap=1.50, add=10%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=75, trend_exp=0.5",qqq,150,0.0,0.02,1.5,1.5,0.1,0.2,rebound_from_low,0.05,20,75.0,0.5,2010-06-25 to 2019-12-31,2234.52,-68.75,0.843,16.74,2020-01-02 to 2026-05-20,9653.84,-55.95,1.261,23.25,248908.23,-68.75,1.037,1.11,70.67,1.5,534,63
"cash=qqq SMA150 exit=0% reentry=0%; unit=1.25, cap=1.50, add=5%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=200, trend_exp=0.5",qqq,150,0.0,0.0,1.25,1.5,0.05,0.2,rebound_from_low,0.05,10,200.0,0.5,2010-06-25 to 2019-12-31,4060.76,-67.09,0.935,12.9,2020-01-02 to 2026-05-20,10054.58,-67.74,1.266,21.51,455346.0,-67.74,1.086,1.091,79.27,1.5,846,64
"cash=selected SMA150 exit=0% reentry=2%; unit=1.25, cap=2.00, add=8%/20%, sell=extra_profit 10%, max_days=5, trend_sma=none, trend_exp=none",selected,150,0.0,0.02,1.25,2.0,0.08,0.2,extra_profit,0.1,5,,,2010-06-25 to 2019-12-31,1058.4,-81.44,0.727,18.74,2020-01-02 to 2026-05-20,9411.57,-70.47,1.213,25.06,118671.62,-81.44,0.956,1.16,78.7,2.0,606,54
"cash=selected_and_qqq SMA100 exit=3% reentry=3%; unit=2.00, cap=3.00, add=10%/20%, sell=extra_profit 15%, max_days=20, trend_sma=100, trend_exp=0.5",selected_and_qqq,100,0.03,0.03,2.0,3.0,0.1,0.2,extra_profit,0.15,20,100.0,0.5,2010-06-25 to 2019-12-31,-11.33,-98.55,0.553,25.83,2020-01-02 to 2026-05-20,385.77,-94.89,0.954,30.86,384.45,-98.55,0.743,1.627,71.0,3.0,276,43
"cash=selected_or_qqq SMA200 exit=0% reentry=0%; unit=2.00, cap=3.00, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=none, trend_exp=none",selected_or_qqq,200,0.0,0.0,2.0,3.0,0.05,0.15,rebound_from_low,0.05,20,,,2010-06-25 to 2019-12-31,948.21,-98.4,0.87,10.93,2020-01-02 to 2026-05-20,8675.78,-94.08,1.343,19.89,103362.74,-99.02,1.087,2.077,85.45,3.0,931,70
"cash=qqq SMA200 exit=3% reentry=3%; unit=3.00, cap=3.00, add=5%/15%, sell=rebound_from_low 5%, max_days=5, trend_sma=75, trend_exp=0.5",qqq,200,0.03,0.03,3.0,3.0,0.05,0.15,rebound_from_low,0.05,5,75.0,0.5,2010-06-25 to 2019-12-31,461.3,-95.31,0.817,13.48,2020-01-02 to 2026-05-20,1458.18,-93.67,1.178,20.89,10282.56,-95.31,0.985,2.187,70.78,3.0,1104,73
"cash=selected SMA100 exit=3% reentry=3%; unit=1.00, cap=3.00, add=8%/20%, sell=rebound_from_low 5%, max_days=20, trend_sma=200, trend_exp=0.5",selected,100,0.03,0.03,1.0,3.0,0.08,0.2,rebound_from_low,0.05,20,200.0,0.5,2010-06-25 to 2019-12-31,1490.33,-83.45,0.785,21.74,2020-01-02 to 2026-05-20,2077.26,-75.15,1.0,27.81,36685.24,-84.43,0.878,0.94,17.68,3.0,540,45
