signal_date,execution_date,execution_type,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,2010-06-29,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,2010-06-30,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,2010-07-01,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-08-11,2010-08-11,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-18,2010-08-18,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2173,,,,2.0,extra shares max holding days 5
2010-08-19,2010-08-19,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2093,-13.2,,,,
2010-08-24,2010-08-24,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.1912,-20.71,,,,
2010-08-26,2010-08-26,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.1905,,,,3.0,extra shares max holding days 5
2010-08-26,2010-08-26,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.1905,-21.0,,,,
2010-08-30,2010-08-30,signal_close_after_hours_proxy,BUY_EXTRA_2,TQQQ,3.0,0.1904,-21.03,,,,
2010-09-01,2010-09-01,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2053,,,,3.0,price rebounded 5% from DCA low
2010-09-01,2010-09-01,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.2053,-14.84,,,,
2010-09-03,2010-09-03,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.2232,,,,2.0,price rebounded 5% from DCA low
2010-11-16,2010-11-16,signal_close_after_hours_proxy,BUY_EXTRA_1,TQQQ,2.0,0.3093,-12.36,,,,
2010-11-18,2010-11-18,signal_close_after_hours_proxy,SELL_EXTRAS,TQQQ,1.0,0.3268,,,,2.0,price rebounded 5% from DCA low
2011-01-04,2011-01-04,signal_close_after_hours_proxy,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-20,2011-01-20,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.8804,-11.4,,,,
2011-01-24,2011-01-24,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.9277,,,,2.0,price rebounded 5% from DCA low
2011-02-22,2011-02-22,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-02-25,2011-02-25,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.053,,,,2.0,price rebounded 5% from DCA low
2011-03-01,2011-03-01,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.9602,-15.19,,,,
2011-03-03,2011-03-03,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,1.0592,,,,2.0,price rebounded 5% from DCA low
2011-03-07,2011-03-07,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.9409,-16.89,,,,
2011-03-09,2011-03-09,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-14,2011-03-14,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.8143,,,,3.0,extra shares max holding days 5
2011-03-14,2011-03-14,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.8143,-28.08,,,,
2011-03-15,2011-03-15,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.7847,-30.69,,,,
2011-03-21,2011-03-21,signal_close_after_hours_proxy,SELL_EXTRAS,SOXL,1.0,0.8082,,,,3.0,extra shares max holding days 5
2011-03-21,2011-03-21,signal_close_after_hours_proxy,BUY_EXTRA_1,SOXL,2.0,0.8082,-28.61,,,,
2011-03-22,2011-03-22,signal_close_after_hours_proxy,BUY_EXTRA_2,SOXL,3.0,0.7892,-30.29,,,,
