variant,cash_mode,cash_sma,cash_exit_buffer,cash_reentry_buffer,unit_exposure,max_exposure,add1_drop,add2_drop,sell_mode,sell_param,max_extra_days,trend_guard_sma,trend_guard_exposure,vol_target,vol_window,is_range,is_return_pct,is_max_drawdown_pct,is_sharpe,is_cash_days_pct,oos_range,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,oos_cash_days_pct,full_return_pct,full_max_drawdown_pct,full_sharpe,avg_exposure,days_above_1x_pct,max_exposure_used,trade_events,rotation_resets
"cash=selected SMA150 exit=3% reentry=4%; unit=0.67, cap=1.00, add=8%/20%, sell=extra_profit 12%, max_days=5, trend_sma=100, trend_exp=0.25, vol_target=35%/20d",selected,150,0.03,0.04,0.67,1.0,0.08,0.2,extra_profit,0.12,5,100.0,0.25,0.35,20,2010-06-25 to 2019-12-31,478.49,-35.88,0.781,18.07,2020-01-02 to 2026-05-20,650.2,-29.75,1.225,25.06,4421.17,-35.88,0.968,0.462,0.0,1.0,601,55
"cash=selected SMA100 exit=0% reentry=0%; unit=1.00, cap=1.50, add=8%/20%, sell=extra_profit 12%, max_days=5, trend_sma=75, trend_exp=0.25, vol_target=35%/20d",selected,100,0.0,0.0,1.0,1.5,0.08,0.2,extra_profit,0.12,5,75.0,0.25,0.35,20,2010-06-25 to 2019-12-31,576.0,-41.2,0.784,21.2,2020-01-02 to 2026-05-20,656.67,-27.54,1.179,27.87,5245.2,-41.2,0.946,0.524,0.65,1.5,581,42
"cash=selected SMA200 exit=0% reentry=2%; unit=1.00, cap=2.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=50%/50d",selected,200,0.0,0.02,1.0,2.0,0.05,0.15,extra_profit,0.15,10,75.0,0.25,0.5,50,2010-06-25 to 2019-12-31,1016.88,-45.35,0.808,17.4,2020-01-02 to 2026-05-20,1268.02,-35.57,1.2,24.38,16037.1,-45.35,0.97,0.672,14.15,2.0,559,55
"cash=qqq SMA250 exit=5% reentry=5%; unit=1.00, cap=1.00, add=5%/15%, sell=extra_profit 15%, max_days=10, trend_sma=100, trend_exp=0.25, vol_target=35%/50d",qqq,250,0.05,0.05,1.0,1.0,0.05,0.15,extra_profit,0.15,10,100.0,0.25,0.35,50,2010-06-25 to 2019-12-31,432.07,-41.68,0.707,14.11,2020-01-02 to 2026-05-20,555.2,-41.23,1.101,20.07,3523.17,-41.68,0.87,0.522,0.0,1.0,626,79
"cash=selected_and_qqq SMA150 exit=3% reentry=4%; unit=0.50, cap=1.00, add=10%/20%, sell=extra_profit 15%, max_days=20, trend_sma=100, trend_exp=0.25, vol_target=35%/50d",selected_and_qqq,150,0.03,0.04,0.5,1.0,0.1,0.2,extra_profit,0.15,20,100.0,0.25,0.35,50,2010-06-25 to 2019-12-31,294.39,-41.92,0.697,25.17,2020-01-02 to 2026-05-20,378.4,-31.92,1.042,26.5,1845.61,-41.92,0.847,0.379,0.0,1.0,289,53
"cash=selected SMA150 exit=3% reentry=4%; unit=1.00, cap=2.00, add=15%/30%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.25, vol_target=50%/20d",selected,150,0.03,0.04,1.0,2.0,0.15,0.3,rebound_from_low,0.05,10,100.0,0.25,0.5,20,2010-06-25 to 2019-12-31,812.0,-48.23,0.779,18.07,2020-01-02 to 2026-05-20,1309.62,-39.27,1.206,25.06,13557.5,-48.23,0.962,0.657,0.55,1.32,321,55
"cash=selected SMA100 exit=0% reentry=2%; unit=0.67, cap=1.00, add=8%/20%, sell=rebound_from_low 5%, max_days=10, trend_sma=100, trend_exp=0.25, vol_target=35%/50d",selected,100,0.0,0.02,0.67,1.0,0.08,0.2,rebound_from_low,0.05,10,100.0,0.25,0.35,50,2010-06-25 to 2019-12-31,489.16,-42.13,0.794,22.91,2020-01-02 to 2026-05-20,413.6,-33.87,1.033,29.05,3044.89,-42.13,0.899,0.445,0.0,1.0,556,41
"cash=selected SMA150 exit=0% reentry=0%; unit=1.00, cap=1.50, add=5%/15%, sell=rebound_from_low 5%, max_days=20, trend_sma=150, trend_exp=0.5, vol_target=35%/50d",selected,150,0.0,0.0,1.0,1.5,0.05,0.15,rebound_from_low,0.05,20,150.0,0.5,0.35,50,2010-06-25 to 2019-12-31,534.6,-43.02,0.74,17.65,2020-01-02 to 2026-05-20,830.64,-33.57,1.255,24.5,6038.01,-43.02,0.945,0.542,2.12,1.5,839,54
"cash=selected_and_qqq SMA100 exit=5% reentry=5%; unit=0.67, cap=1.00, add=10%/20%, sell=extra_profit 10%, max_days=20, trend_sma=75, trend_exp=0.25, vol_target=35%/50d",selected_and_qqq,100,0.05,0.05,0.67,1.0,0.1,0.2,extra_profit,0.1,20,75.0,0.25,0.35,50,2010-06-25 to 2019-12-31,180.03,-40.31,0.55,33.39,2020-01-02 to 2026-05-20,242.01,-30.01,0.844,34.85,895.37,-40.31,0.68,0.386,0.0,1.0,268,40
"cash=qqq SMA150 exit=0% reentry=0%; unit=0.75, cap=1.00, add=8%/20%, sell=extra_profit 15%, max_days=10, trend_sma=75, trend_exp=0.25, vol_target=none",qqq,150,0.0,0.0,0.75,1.0,0.08,0.2,extra_profit,0.15,10,75.0,0.25,,20,2010-06-25 to 2019-12-31,1085.78,-46.75,0.886,12.9,2020-01-02 to 2026-05-20,2363.84,-43.37,1.22,21.51,30482.3,-46.75,1.039,0.627,0.0,1.0,477,64
