rank_balanced,variant,unit_exposure,max_exposure,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,trend_guard_sma,trend_guard_exposure,equity_dd_guard_pct,equity_dd_guard_exposure,net_return_pct,cagr_pct,max_drawdown_pct,calmar,sharpe,dca_trade_events,rotation_resets,max_exposure_used,avg_exposure,days_above_1x_pct,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct,beats_base_return,reduces_base_drawdown,beats_soxl_only_return,reduces_soxl_only_drawdown
1,"unit=0.67, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,2.0,rolling_high,10.0,20.0,extra_profit,20.0,20,200,0.75,45.0,0.75,2823010.49,90.5,-65.54,1.381,1.26,304,123,2.0,0.929,29.7,775116.8,-79.24,41069.8,-66.18,True,True,True,True
2,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=10, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,20.0,extra_profit,15.0,10,200,0.75,45.0,0.75,1803661.49,85.21,-62.91,1.355,1.32,638,123,1.5,0.793,6.7,775116.8,-79.24,41069.8,-66.18,True,True,True,True
3,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/20%, sell=extra_profit 20%, max_days=10, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,20.0,extra_profit,20.0,10,200,0.75,45.0,0.75,1679568.12,84.38,-62.83,1.343,1.31,622,123,1.5,0.802,6.83,775116.8,-79.24,41069.8,-66.18,True,True,True,True
4,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=10, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,20.0,rebound_from_low,20.0,10,200,0.75,45.0,0.75,1609763.57,83.89,-64.27,1.305,1.3,630,123,1.5,0.798,6.4,775116.8,-79.24,41069.8,-66.18,True,True,True,True
5,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=20, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,20.0,extra_profit,15.0,20,200,0.75,45.0,0.75,1391361.05,82.21,-61.95,1.327,1.28,447,123,1.5,0.818,8.15,775116.8,-79.24,41069.8,-66.18,True,True,True,True
6,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/40%, sell=extra_profit 15%, max_days=20, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,40.0,extra_profit,15.0,20,200,0.75,45.0,0.75,1384167.59,82.15,-62.64,1.311,1.34,383,123,1.5,0.782,0.5,775116.8,-79.24,41069.8,-66.18,True,True,True,True
7,"unit=0.67, cap=1.50, anchor=rolling_high, add=10%/20%, sell=extra_profit 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,1.5,rolling_high,10.0,20.0,extra_profit,20.0,20,200,0.75,45.0,0.75,1287744.67,81.33,-65.19,1.248,1.23,304,123,1.5,0.899,30.8,775116.8,-79.24,41069.8,-66.18,True,True,True,True
8,"unit=0.67, cap=2.00, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,2.0,rolling_high,10.0,20.0,rebound_from_low,20.0,20,200,0.75,45.0,0.75,1257841.59,81.06,-65.38,1.24,1.2,314,123,2.0,0.914,28.5,775116.8,-79.24,41069.8,-66.18,True,True,True,True
9,"unit=0.67, cap=1.50, anchor=rolling_high, add=10%/30%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,1.5,rolling_high,10.0,30.0,rebound_from_low,20.0,20,200,0.75,45.0,0.75,1204378.6,80.56,-65.35,1.233,1.23,269,123,1.5,0.885,30.45,775116.8,-79.24,41069.8,-66.18,True,True,True,True
10,"unit=0.67, cap=1.00, anchor=rolling_high, add=5%/40%, sell=extra_profit 15%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,1.0,rolling_high,5.0,40.0,extra_profit,15.0,20,200,0.75,45.0,0.75,1195788.6,80.48,-66.13,1.217,1.29,383,123,1.0,0.842,0.0,775116.8,-79.24,41069.8,-66.18,True,True,True,True
11,"unit=0.67, cap=1.00, anchor=rolling_high, add=5%/20%, sell=extra_profit 15%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,1.0,rolling_high,5.0,20.0,extra_profit,15.0,20,200,0.75,45.0,0.75,1193305.03,80.46,-65.71,1.224,1.29,447,123,1.0,0.842,0.0,775116.8,-79.24,41069.8,-66.18,True,True,True,True
12,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,20.0,rebound_from_low,20.0,20,200,0.75,45.0,0.75,1107810.14,79.62,-64.2,1.24,1.26,435,123,1.5,0.829,7.78,775116.8,-79.24,41069.8,-66.18,True,True,True,True
13,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/40%, sell=rebound_from_low 20%, max_days=10, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,40.0,rebound_from_low,20.0,10,200,0.75,45.0,0.75,1104776.13,79.59,-64.27,1.238,1.32,545,123,1.5,0.768,0.22,775116.8,-79.24,41069.8,-66.18,True,True,True,True
14,"unit=0.50, cap=1.50, anchor=rolling_high, add=5%/40%, sell=extra_profit 20%, max_days=10, trend_sma=200, dd_guard=45.0",0.5,1.5,rolling_high,5.0,40.0,extra_profit,20.0,10,200,0.75,45.0,0.75,1081211.95,79.34,-62.83,1.263,1.32,539,123,1.5,0.772,0.38,775116.8,-79.24,41069.8,-66.18,True,True,True,True
15,"unit=0.67, cap=2.00, anchor=rolling_high, add=10%/20%, sell=extra_profit 15%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,2.0,rolling_high,10.0,20.0,extra_profit,15.0,20,200,0.75,45.0,0.75,1066301.04,79.19,-65.54,1.208,1.19,311,123,2.0,0.905,27.15,775116.8,-79.24,41069.8,-66.18,True,True,True,True
16,"unit=0.67, cap=1.50, anchor=rolling_high, add=10%/20%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,1.5,rolling_high,10.0,20.0,rebound_from_low,20.0,20,200,0.75,45.0,0.75,1052320.88,79.04,-65.35,1.209,1.21,314,123,1.5,0.891,29.85,775116.8,-79.24,41069.8,-66.18,True,True,True,True
17,"unit=0.67, cap=2.00, anchor=rolling_high, add=10%/30%, sell=rebound_from_low 20%, max_days=20, trend_sma=200, dd_guard=45.0",0.67,2.0,rolling_high,10.0,30.0,rebound_from_low,20.0,20,200,0.75,45.0,0.75,1026198.5,78.76,-65.35,1.205,1.21,269,123,2.0,0.886,29.75,775116.8,-79.24,41069.8,-66.18,True,True,True,True
