date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-07-16,BUY_EXTRA_1,TQQQ,2.0,0.2035,-8.05,,,,
2010-08-02,SELL_EXTRAS,TQQQ,1.0,0.2352,,,,2.0,extra shares profit >= 15%
2010-08-11,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-24,BUY_EXTRA_2,TQQQ,3.0,0.1912,-20.71,,,,
2010-09-09,SELL_EXTRAS,TQQQ,1.0,0.2283,,,,3.0,extra shares max holding days 20
2010-09-09,BUY_EXTRA_1,TQQQ,2.0,0.2283,-5.31,,,,
2010-09-20,SELL_EXTRAS,TQQQ,1.0,0.2676,,,,2.0,extra shares profit >= 15%
2010-10-04,BUY_EXTRA_1,TQQQ,2.0,0.261,-6.68,,,,
2010-10-15,SELL_EXTRAS,TQQQ,1.0,0.312,,,,2.0,extra shares profit >= 15%
2010-11-12,BUY_EXTRA_1,TQQQ,2.0,0.329,-6.79,,,,
2010-12-13,SELL_EXTRAS,TQQQ,1.0,0.3613,,,,2.0,extra shares max holding days 20
2011-01-04,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-19,BUY_EXTRA_1,SOXL,2.0,0.9136,-8.06,,,,
2011-02-04,SELL_EXTRAS,SOXL,1.0,1.0588,,,,2.0,extra shares profit >= 15%
2011-02-22,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-03-09,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-22,SELL_EXTRAS,SOXL,1.0,0.7892,,,,3.0,extra shares max holding days 20
2011-03-22,BUY_EXTRA_1,SOXL,2.0,0.7892,-30.29,,,,
2011-03-23,BUY_EXTRA_2,SOXL,3.0,0.8106,-28.4,,,,
2011-04-04,RESET_ON_ROTATION,,,0.4192,,SOXL,TQQQ,3.0,
2011-04-18,BUY_EXTRA_1,TQQQ,2.0,0.3963,-5.46,,,,
2011-04-27,SELL_EXTRAS,TQQQ,1.0,0.4615,,,,2.0,extra shares profit >= 15%
2011-05-16,BUY_EXTRA_1,TQQQ,2.0,0.4189,-9.24,,,,
2011-06-09,RESET_ON_ROTATION,,,0.6983,,TQQQ,SOXL,2.0,
2011-06-10,RESET_ON_ROTATION,,,0.3588,,SOXL,TQQQ,1.0,
2011-06-15,BUY_EXTRA_1,TQQQ,2.0,0.352,-5.46,,,,
2011-06-30,SELL_EXTRAS,TQQQ,1.0,0.408,,,,2.0,extra shares profit >= 15%
2011-07-11,BUY_EXTRA_1,TQQQ,2.0,0.4274,-6.15,,,,
2011-08-04,BUY_EXTRA_2,TQQQ,3.0,0.3443,-25.69,,,,
2011-08-08,RESET_ON_ROTATION,,,0.3519,,TQQQ,SOXL,3.0,
2011-08-09,RESET_ON_ROTATION,,,0.3155,,SOXL,TQQQ,1.0,
2011-08-10,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-12,SELL_EXTRAS,TQQQ,1.0,0.322,,,,2.0,extra shares profit >= 15%
2011-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2753,-18.05,,,,
2011-08-19,BUY_EXTRA_2,TQQQ,3.0,0.2599,-22.64,,,,
2011-08-26,SELL_EXTRAS,TQQQ,1.0,0.3079,,,,3.0,extra shares profit >= 15%
2011-08-26,BUY_EXTRA_1,TQQQ,2.0,0.3079,-8.36,,,,
2011-09-15,SELL_EXTRAS,TQQQ,1.0,0.3608,,,,2.0,extra shares profit >= 15%
2011-09-21,BUY_EXTRA_1,TQQQ,2.0,0.3473,-6.43,,,,
2011-09-30,BUY_EXTRA_2,TQQQ,3.0,0.2938,-20.86,,,,
2011-10-13,SELL_EXTRAS,TQQQ,1.0,0.3739,,,,3.0,extra shares profit >= 15%
2011-10-19,BUY_EXTRA_1,TQQQ,2.0,0.3674,-6.87,,,,
2011-11-16,SELL_EXTRAS,TQQQ,1.0,0.3666,,,,2.0,extra shares max holding days 20
2011-11-16,BUY_EXTRA_1,TQQQ,2.0,0.3666,-9.84,,,,
2011-11-21,BUY_EXTRA_2,TQQQ,3.0,0.3138,-22.81,,,,
2011-12-15,SELL_EXTRAS,TQQQ,1.0,0.3169,,,,3.0,extra shares max holding days 20
2011-12-15,BUY_EXTRA_1,TQQQ,2.0,0.3169,-22.06,,,,
2011-12-16,BUY_EXTRA_2,TQQQ,3.0,0.3209,-21.08,,,,
2012-01-05,SELL_EXTRAS,TQQQ,1.0,0.3697,,,,3.0,extra shares profit >= 15%
2012-01-05,BUY_EXTRA_1,TQQQ,2.0,0.3697,-9.06,,,,
2012-01-25,SELL_EXTRAS,TQQQ,1.0,0.4262,,,,2.0,extra shares profit >= 15%
2012-03-06,BUY_EXTRA_1,TQQQ,2.0,0.4941,-6.18,,,,
2012-03-15,SELL_EXTRAS,TQQQ,1.0,0.5689,,,,2.0,extra shares profit >= 15%
2012-04-10,BUY_EXTRA_1,TQQQ,2.0,0.5557,-9.18,,,,
2012-05-08,SELL_EXTRAS,TQQQ,1.0,0.5114,,,,2.0,extra shares max holding days 20
2012-05-08,BUY_EXTRA_1,TQQQ,2.0,0.5114,-16.42,,,,
2012-05-14,BUY_EXTRA_2,TQQQ,3.0,0.489,-20.08,,,,
2012-06-06,SELL_EXTRAS,TQQQ,1.0,0.4607,,,,3.0,extra shares max holding days 20
