date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2011-01-04,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-04-04,RESET_ON_ROTATION,,,0.4192,,SOXL,TQQQ,1.0,
2011-06-08,BUY_EXTRA_1,TQQQ,2.0,0.3744,-10.68,,,,
2011-06-09,RESET_ON_ROTATION,,,0.6983,,TQQQ,SOXL,2.0,
2011-06-10,RESET_ON_ROTATION,,,0.3588,,SOXL,TQQQ,1.0,
2011-08-08,RESET_ON_ROTATION,,,0.3519,,TQQQ,SOXL,1.0,
2011-08-09,RESET_ON_ROTATION,,,0.3155,,SOXL,TQQQ,1.0,
2011-08-10,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-15,SELL_EXTRAS,TQQQ,1.0,0.3359,,,,2.0,extra shares profit >= 20%
2011-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2753,-12.75,,,,
2011-08-29,SELL_EXTRAS,TQQQ,1.0,0.3341,,,,2.0,extra shares profit >= 20%
2011-10-03,BUY_EXTRA_1,TQQQ,2.0,0.2707,-14.2,,,,
2011-10-06,SELL_EXTRAS,TQQQ,1.0,0.3249,,,,2.0,extra shares profit >= 20%
2013-02-04,RESET_ON_ROTATION,,,0.5076,,TQQQ,SOXL,1.0,
2013-05-02,RESET_ON_ROTATION,,,0.6619,,SOXL,TQQQ,1.0,
2013-07-02,RESET_ON_ROTATION,,,0.7081,,TQQQ,SOXL,1.0,
2013-08-27,BUY_EXTRA_1,SOXL,2.0,0.6343,-10.43,,,,
2013-08-28,RESET_ON_ROTATION,,,0.7768,,SOXL,TQQQ,2.0,
2013-08-29,RESET_ON_ROTATION,,,0.6802,,TQQQ,SOXL,1.0,
2013-09-04,RESET_ON_ROTATION,,,0.8167,,SOXL,TQQQ,1.0,
2014-03-04,RESET_ON_ROTATION,,,1.2553,,TQQQ,SOXL,1.0,
2014-08-04,RESET_ON_ROTATION,,,1.5431,,SOXL,TQQQ,1.0,
2014-10-16,BUY_EXTRA_1,TQQQ,2.0,1.37,-11.22,,,,
2014-10-23,SELL_EXTRAS,TQQQ,1.0,1.6483,,,,2.0,extra shares profit >= 20%
2015-02-03,RESET_ON_ROTATION,,,1.8516,,TQQQ,SOXL,1.0,
2015-04-02,RESET_ON_ROTATION,,,2.0139,,SOXL,TQQQ,1.0,
2015-08-24,BUY_EXTRA_1,TQQQ,2.0,1.609,-20.1,,,,
2015-08-25,RESET_ON_ROTATION,,,1.038,,TQQQ,SOXL,2.0,
2015-08-26,RESET_ON_ROTATION,,,1.817,,SOXL,TQQQ,1.0,
2015-09-29,BUY_EXTRA_1,TQQQ,2.0,1.6239,-10.62,,,,
2015-10-08,SELL_EXTRAS,TQQQ,1.0,1.9575,,,,2.0,extra shares profit >= 20%
2016-01-20,BUY_EXTRA_1,TQQQ,2.0,1.6303,-10.27,,,,
2016-02-03,SELL_EXTRAS,TQQQ,1.0,1.6611,,,,2.0,extra shares max holding days 10
2016-02-05,BUY_EXTRA_1,TQQQ,2.0,1.4875,-18.13,,,,
2016-02-08,BUY_EXTRA_2,TQQQ,3.0,1.4196,-21.87,,,,
2016-02-09,RESET_ON_ROTATION,,,0.9786,,TQQQ,SOXL,3.0,
2016-02-10,RESET_ON_ROTATION,,,1.4198,,SOXL,TQQQ,1.0,
2016-03-02,RESET_ON_ROTATION,,,1.4141,,TQQQ,SOXL,1.0,
2017-04-04,RESET_ON_ROTATION,,,3.5116,,SOXL,TQQQ,1.0,
2017-08-02,RESET_ON_ROTATION,,,5.8929,,TQQQ,SOXL,1.0,
2017-09-05,RESET_ON_ROTATION,,,4.46,,SOXL,TQQQ,1.0,
2017-11-02,RESET_ON_ROTATION,,,9.4403,,TQQQ,SOXL,1.0,
2017-12-04,BUY_EXTRA_1,SOXL,2.0,8.2949,-12.13,,,,
2017-12-05,RESET_ON_ROTATION,,,5.1943,,SOXL,TQQQ,2.0,
2017-12-06,RESET_ON_ROTATION,,,8.3897,,TQQQ,SOXL,1.0,
2018-01-03,RESET_ON_ROTATION,,,5.9616,,SOXL,TQQQ,1.0,
2018-02-08,BUY_EXTRA_1,TQQQ,2.0,5.1633,-13.39,,,,
2018-02-09,RESET_ON_ROTATION,,,8.4888,,TQQQ,SOXL,2.0,
2018-02-12,RESET_ON_ROTATION,,,5.709,,SOXL,TQQQ,1.0,
2018-04-03,RESET_ON_ROTATION,,,9.0881,,TQQQ,SOXL,1.0,
2018-04-23,BUY_EXTRA_1,SOXL,2.0,7.9513,-12.51,,,,
2018-04-26,RESET_ON_ROTATION,,,5.8019,,SOXL,TQQQ,2.0,
2018-04-27,RESET_ON_ROTATION,,,8.0212,,TQQQ,SOXL,1.0,
2018-05-02,RESET_ON_ROTATION,,,5.7741,,SOXL,TQQQ,1.0,
2018-11-20,BUY_EXTRA_1,TQQQ,2.0,5.0517,-12.51,,,,
2018-11-21,RESET_ON_ROTATION,,,5.9184,,TQQQ,SOXL,2.0,
2018-11-23,RESET_ON_ROTATION,,,5.0505,,SOXL,TQQQ,1.0,
2018-12-04,RESET_ON_ROTATION,,,6.3077,,TQQQ,SOXL,1.0,
2018-12-06,RESET_ON_ROTATION,,,5.7332,,SOXL,TQQQ,1.0,
2018-12-07,RESET_ON_ROTATION,,,5.5093,,TQQQ,SOXL,1.0,
