date,action,symbol,units_after,price,drop_from_anchor_pct,from_symbol,to_symbol,units_before,reason
2010-06-29,BUY_EXTRA_1,TQQQ,2.0,0.1928,-11.95,,,,
2010-06-30,RESET_ON_ROTATION,,,0.4291,,TQQQ,SOXL,2.0,
2010-07-01,RESET_ON_ROTATION,,,0.1815,,SOXL,TQQQ,1.0,
2010-08-11,BUY_EXTRA_1,TQQQ,2.0,0.2166,-10.18,,,,
2010-08-24,BUY_EXTRA_2,TQQQ,3.0,0.1912,-20.71,,,,
2010-09-09,SELL_EXTRAS,TQQQ,1.0,0.2283,,,,3.0,extra shares max holding days 20
2010-11-16,BUY_EXTRA_1,TQQQ,2.0,0.3093,-12.36,,,,
2010-12-15,SELL_EXTRAS,TQQQ,1.0,0.3591,,,,2.0,extra shares max holding days 20
2011-01-04,RESET_ON_ROTATION,,,0.7777,,TQQQ,SOXL,1.0,
2011-01-20,BUY_EXTRA_1,SOXL,2.0,0.8804,-11.4,,,,
2011-02-04,SELL_EXTRAS,SOXL,1.0,1.0588,,,,2.0,extra shares profit >= 20%
2011-02-22,BUY_EXTRA_1,SOXL,2.0,0.9858,-12.93,,,,
2011-03-09,BUY_EXTRA_2,SOXL,3.0,0.8616,-23.9,,,,
2011-03-22,SELL_EXTRAS,SOXL,1.0,0.7892,,,,3.0,extra shares max holding days 20
2011-03-22,BUY_EXTRA_1,SOXL,2.0,0.7892,-30.29,,,,
2011-03-23,BUY_EXTRA_2,SOXL,3.0,0.8106,-28.4,,,,
2011-04-04,RESET_ON_ROTATION,,,0.4192,,SOXL,TQQQ,3.0,
2011-05-23,BUY_EXTRA_1,TQQQ,2.0,0.4081,-11.56,,,,
2011-06-09,RESET_ON_ROTATION,,,0.6983,,TQQQ,SOXL,2.0,
2011-06-10,RESET_ON_ROTATION,,,0.3588,,SOXL,TQQQ,1.0,
2011-07-14,BUY_EXTRA_1,TQQQ,2.0,0.408,-10.41,,,,
2011-08-04,BUY_EXTRA_2,TQQQ,3.0,0.3443,-25.69,,,,
2011-08-08,RESET_ON_ROTATION,,,0.3519,,TQQQ,SOXL,3.0,
2011-08-09,RESET_ON_ROTATION,,,0.3155,,SOXL,TQQQ,1.0,
2011-08-10,BUY_EXTRA_1,TQQQ,2.0,0.2783,-11.79,,,,
2011-08-15,SELL_EXTRAS,TQQQ,1.0,0.3359,,,,2.0,extra shares profit >= 20%
2011-08-18,BUY_EXTRA_1,TQQQ,2.0,0.2753,-18.05,,,,
2011-08-19,BUY_EXTRA_2,TQQQ,3.0,0.2599,-22.64,,,,
2011-08-29,SELL_EXTRAS,TQQQ,1.0,0.3341,,,,3.0,extra shares profit >= 20%
2011-09-09,BUY_EXTRA_1,TQQQ,2.0,0.307,-10.46,,,,
2011-09-16,SELL_EXTRAS,TQQQ,1.0,0.3702,,,,2.0,extra shares profit >= 20%
2011-09-22,BUY_EXTRA_1,TQQQ,2.0,0.3135,-15.53,,,,
2011-09-30,BUY_EXTRA_2,TQQQ,3.0,0.2938,-20.86,,,,
2011-10-13,SELL_EXTRAS,TQQQ,1.0,0.3739,,,,3.0,extra shares profit >= 20%
2011-11-01,BUY_EXTRA_1,TQQQ,2.0,0.3565,-12.32,,,,
2011-11-21,BUY_EXTRA_2,TQQQ,3.0,0.3138,-22.81,,,,
2011-11-30,SELL_EXTRAS,TQQQ,1.0,0.3472,,,,3.0,extra shares max holding days 20
2011-11-30,BUY_EXTRA_1,TQQQ,2.0,0.3472,-14.6,,,,
2011-12-14,BUY_EXTRA_2,TQQQ,3.0,0.3194,-21.45,,,,
2011-12-29,SELL_EXTRAS,TQQQ,1.0,0.3402,,,,3.0,extra shares max holding days 20
2011-12-29,BUY_EXTRA_1,TQQQ,2.0,0.3402,-16.33,,,,
2012-01-19,SELL_EXTRAS,TQQQ,1.0,0.4146,,,,2.0,extra shares profit >= 20%
2012-04-16,BUY_EXTRA_1,TQQQ,2.0,0.5387,-11.95,,,,
2012-05-14,SELL_EXTRAS,TQQQ,1.0,0.489,,,,2.0,extra shares max holding days 20
2012-05-14,BUY_EXTRA_1,TQQQ,2.0,0.489,-20.08,,,,
2012-05-15,BUY_EXTRA_2,TQQQ,3.0,0.4847,-20.78,,,,
2012-06-12,SELL_EXTRAS,TQQQ,1.0,0.4606,,,,3.0,extra shares max holding days 20
2012-06-12,BUY_EXTRA_1,TQQQ,2.0,0.4606,-24.72,,,,
2012-06-13,BUY_EXTRA_2,TQQQ,3.0,0.4516,-26.2,,,,
2012-07-11,SELL_EXTRAS,TQQQ,1.0,0.4703,,,,3.0,extra shares max holding days 20
2012-07-11,BUY_EXTRA_1,TQQQ,2.0,0.4703,-23.13,,,,
2012-07-12,BUY_EXTRA_2,TQQQ,3.0,0.4567,-25.35,,,,
2012-08-08,SELL_EXTRAS,TQQQ,1.0,0.5498,,,,3.0,extra shares max holding days 20
2012-08-08,BUY_EXTRA_1,TQQQ,2.0,0.5498,-10.14,,,,
2012-09-06,SELL_EXTRAS,TQQQ,1.0,0.6227,,,,2.0,extra shares max holding days 20
2012-10-09,BUY_EXTRA_1,TQQQ,2.0,0.5642,-12.7,,,,
2012-10-24,BUY_EXTRA_2,TQQQ,3.0,0.5124,-20.72,,,,
2012-11-08,SELL_EXTRAS,TQQQ,1.0,0.4651,,,,3.0,extra shares max holding days 20
2012-11-08,BUY_EXTRA_1,TQQQ,2.0,0.4651,-28.04,,,,
2012-11-09,BUY_EXTRA_2,TQQQ,3.0,0.4701,-27.26,,,,
2012-12-07,SELL_EXTRAS,TQQQ,1.0,0.5025,,,,3.0,extra shares max holding days 20
