rank_drawdown_first,variant,account_mode,anchor_mode,add1_drop_pct,add2_drop_pct,sell_mode,sell_param_pct,max_extra_days,net_return_pct,cagr_pct,max_drawdown_pct,sharpe,dca_trade_events,rotation_resets,max_units,extra_exposure_days_pct,base_rotation_return_pct,base_rotation_max_drawdown_pct,soxl_only_return_pct,soxl_only_max_drawdown_pct,beats_base_return,reduces_base_drawdown,reduces_soxl_only_drawdown
1,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=none,reserve_cash,entry,15.0,20.0,rebound_from_low,5.0,none,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
2,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=5,reserve_cash,entry,15.0,20.0,rebound_from_low,5.0,5,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
3,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=10,reserve_cash,entry,15.0,20.0,rebound_from_low,5.0,10,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
4,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=20,reserve_cash,entry,15.0,20.0,rebound_from_low,5.0,20,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
5,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=40,reserve_cash,entry,15.0,20.0,rebound_from_low,5.0,40,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
6,reserve_cash; anchor=entry; add at 15%/20%; sell=rebound_from_low 5%; max_extra_days=63,reserve_cash,entry,15.0,20.0,rebound_from_low,5.0,63,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
7,reserve_cash; anchor=entry; add at 15%/20%; sell=extra_profit 3%; max_extra_days=none,reserve_cash,entry,15.0,20.0,extra_profit,3.0,none,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
8,reserve_cash; anchor=entry; add at 15%/20%; sell=extra_profit 3%; max_extra_days=5,reserve_cash,entry,15.0,20.0,extra_profit,3.0,5,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
9,reserve_cash; anchor=entry; add at 15%/20%; sell=extra_profit 3%; max_extra_days=10,reserve_cash,entry,15.0,20.0,extra_profit,3.0,10,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
10,reserve_cash; anchor=entry; add at 15%/20%; sell=extra_profit 3%; max_extra_days=20,reserve_cash,entry,15.0,20.0,extra_profit,3.0,20,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
11,reserve_cash; anchor=entry; add at 15%/20%; sell=extra_profit 3%; max_extra_days=40,reserve_cash,entry,15.0,20.0,extra_profit,3.0,40,5377.22,28.63,-28.74,1.17,23,123,3,0.57,775116.8,-79.24,41069.8,-66.18,False,True,True
