date,SOXL/TQQQ Rotation with cash daily scanner,SOXL buy-and-hold,TQQQ buy-and-hold
2020-01-02,0.0,0.0,0.0
2020-01-03,-0.027190841061306537,-0.054014499827614415,-0.027190841061306537
2020-01-06,-0.008696640844323533,-0.08401850630032515,-0.008696640844323644
2020-01-07,-0.009907651225492864,-0.03678595859870226,-0.009907651225492864
2020-01-08,0.0,-0.03466236610252804,0.0
2020-01-09,0.0,-0.017981855274220693,0.0
2020-01-10,-0.008162932809539947,-0.03805298787915479,-0.008162932809539947
2020-01-13,0.0,-0.0003424430818703694,0.0
2020-01-14,-0.01167006387365066,0.0,-0.011670063873650882
2020-01-15,-0.011050375042906624,-0.03605203776061838,-0.011050375042906846
2020-01-16,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0
2020-01-21,-0.0005005377582576465,-0.0018472561187556913,-0.0005005377582576465
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,-0.025921509827902978,-0.03380246481747051,-0.025921509827902978
2020-01-27,-0.08614228877773278,-0.14587792507607822,-0.08614228877773256
2020-01-28,-0.04366255453440038,-0.08474308300395261,-0.043662554534400155
2020-01-29,-0.04021289820494589,-0.13521013909778812,-0.04021289820494567
2020-01-30,-0.029371166157357687,-0.13842955915445332,-0.029371166157357464
2020-01-31,-0.07707462970930623,-0.2311261907260368,-0.0770746297093059
2020-02-03,-0.03469354255228296,-0.20177382909510655,-0.03469354255228263
2020-02-04,0.0,-0.12731992491284527,0.0
2020-02-05,0.0,-0.07019305793603603,0.0
2020-02-06,0.0,-0.06959357328576254,0.0
2020-02-07,-0.012912971786331773,-0.13524175965114793,-0.012912971786331773
2020-02-10,0.0,-0.096073688015204,0.0
2020-02-11,0.0,-0.04181906793988355,0.0
2020-02-12,0.0,0.0,0.0
2020-02-13,-0.003852629726648904,0.0,-0.003852629726648904
2020-02-14,0.0,-0.006422545967674442,0.0
2020-02-18,0.0,-0.047696943142785275,0.0
2020-02-19,0.0,0.0,0.0
2020-02-20,-0.0284600619350055,-0.04469605793940146,-0.0284600619350055
2020-02-21,-0.08402511229694709,-0.13046809448107888,-0.08402511229694687
2020-02-24,-0.18956462140418062,-0.25452512183656695,-0.1895646214041804
2020-02-25,-0.2551245229198087,-0.32299525527542927,-0.2551245229198086
2020-02-26,-0.24487547708019153,-0.3173201712216839,-0.24487547708019142
2020-02-27,-0.3577841286981539,-0.41367570417251986,-0.3577841286981538
2020-02-28,-0.3477892775444673,-0.3711270794717567,-0.3477892775444671
2020-03-02,-0.25876673967067687,-0.30885332876403715,-0.25876673967067676
2020-03-03,-0.32856175334116833,-0.3788270235794724,-0.3285617533411682
2020-03-04,-0.24707770833713927,-0.28790124699176667,-0.24707770833713916
2020-03-05,-0.3131459992246285,-0.35177017165232194,-0.3131459992246284
2020-03-06,-0.3491444863704424,-0.39072954163340556,-0.34914448637044215
2020-03-09,-0.4813653712006962,-0.5450948287624505,-0.481365371200696
2020-03-10,-0.4813653712006962,-0.4582489622756546,-0.4006437072776
2020-03-11,-0.4813653712006962,-0.5501564122683791,-0.47772318827930427
2020-03-12,-0.4813653712006962,-0.6869747405859125,-0.6208706895326863
2020-03-13,-0.4813653712006962,-0.6014480317348503,-0.5185498521313585
2020-03-16,-0.4813653712006962,-0.755260991582613,-0.6844824868183446
2020-03-17,-0.4813653712006962,-0.7309344754760703,-0.6330679072612264
2020-03-18,-0.4813653712006962,-0.8006013066917979,-0.667033682656507
2020-03-19,-0.4813653712006962,-0.7854776614450671,-0.6593258055982371
2020-03-20,-0.4813653712006962,-0.8038223432239557,-0.6992207041808496
2020-03-23,-0.4813653712006962,-0.7855697046593676,-0.6982890065703609
2020-03-24,-0.4813653712006962,-0.712111014859732,-0.6310350601927874
2020-03-25,-0.4813653712006962,-0.7233820362288981,-0.6395900273409828
2020-03-26,-0.4813653712006962,-0.6680707959868162,-0.5808910819410813
2020-03-27,-0.4813653712006962,-0.719174611938465,-0.6244282649335149
2020-03-30,-0.4813653712006962,-0.6889545649671877,-0.5849567422484829
2020-03-31,-0.4813653712006962,-0.709039795034426,-0.596476321734559
2020-04-01,-0.4813653712006962,-0.7561204771106816,-0.6465356248067491
2020-04-02,-0.4813653712006962,-0.733793254757757,-0.6256140557415049
2020-04-03,-0.4813653712006962,-0.7496097059467486,-0.6406911429694567
2020-04-06,-0.4813653712006962,-0.6728003122352426,-0.5654751586771593
