entry_date,exit_date,symbol,exit_to,entry_price,exit_price,return_pct,outcome,holding_calendar_days,holding_trading_days
2020-01-02,2020-03-09,TQQQ,CASH,10.8455,7.3103,-32.6,loss,67,45
2020-04-14,2020-07-01,TQQQ,SOXL,7.6303,12.0752,58.25,win,78,55
2020-07-01,2020-08-03,SOXL,TQQQ,11.658,15.514,33.08,win,33,22
2020-08-03,2020-09-01,TQQQ,SOXL,14.7842,20.2654,37.08,win,29,21
2020-09-01,2020-10-01,SOXL,TQQQ,18.2388,17.3835,-4.69,loss,30,21
2020-10-01,2020-11-02,TQQQ,SOXL,16.3602,14.0273,-14.26,loss,32,22
2020-11-02,2021-04-01,SOXL,TQQQ,16.3525,41.1461,151.62,win,150,103
2021-04-01,2021-12-01,TQQQ,SOXL,22.8992,37.0351,61.73,win,244,169
2021-12-01,2022-01-20,SOXL,CASH,61.2777,44.6303,-27.17,loss,50,34
2022-08-12,2022-08-19,TQQQ,CASH,18.1379,16.8819,-6.92,loss,7,5
2023-01-23,2023-04-03,SOXL,TQQQ,14.4233,17.4536,21.01,win,70,49
2023-04-03,2023-10-25,TQQQ,CASH,13.5485,15.9287,17.57,win,205,142
2023-11-02,2024-01-02,TQQQ,SOXL,17.6445,23.4975,33.17,win,61,40
2024-01-02,2024-06-03,SOXL,TQQQ,27.6289,47.9171,73.43,win,153,105
2024-06-03,2024-08-05,TQQQ,CASH,30.9367,26.3727,-14.75,loss,63,43
2024-08-12,2024-09-06,TQQQ,CASH,29.1418,28.0302,-3.81,loss,25,18
2024-09-10,2025-03-03,TQQQ,CASH,29.8549,34.6944,16.21,win,174,118
2025-05-12,2025-08-01,TQQQ,SOXL,32.8255,41.2874,25.78,win,81,56
2025-08-01,2025-10-01,SOXL,TQQQ,24.073,36.86,53.12,win,61,42
2025-10-01,2025-11-03,TQQQ,SOXL,52.2616,58.97,12.84,win,33,23
2025-11-03,2026-03-30,SOXL,CASH,48.58,40.62,-16.39,loss,147,100
2026-03-31,2026-05-22,SOXL,OPEN,47.91,190.56,297.75,win,52,37
