year,strategy_return_pct,strategy_max_drawdown_pct,soxl_buy_hold_return_pct,soxl_buy_hold_max_drawdown_pct,exposure_days_pct
2010,22.56,-50.06,26.18,-60.56,80.1
2011,-49.21,-72.61,-49.21,-72.61,100.0
2012,-0.07,-52.34,-0.07,-52.34,100.0
2013,127.71,-22.61,127.71,-22.61,100.0
2014,104.53,-43.29,104.53,-43.29,100.0
2015,-20.58,-58.87,-20.58,-58.87,100.0
2016,131.34,-40.37,131.34,-40.37,100.0
2017,34.2,-15.23,141.32,-28.9,34.66
2018,-34.31,-66.51,-43.71,-66.51,90.44
2019,223.25,-47.16,223.25,-47.16,100.0
2020,60.06,-80.38,60.06,-80.38,100.0
2021,121.9,-40.92,121.9,-40.92,100.0
2022,-86.48,-90.34,-86.48,-90.34,100.0
2023,237.81,-48.99,237.81,-48.99,100.0
2024,-1.8,-62.15,-1.8,-62.15,100.0
2025,52.9,-76.46,52.9,-76.46,100.0
2026,266.64,-43.47,266.64,-43.47,100.0
