variant,exit_vix_below,atr_window,atr_mult,cooldown_days,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_exposure_days_pct,trades
exit VIX<10,10,,,0,1619.12,-72.61,0.768,819.19,-90.46,0.875,16687.48,-90.46,0.803,100.0,2
exit VIX<15,15,,,0,793.68,-50.06,0.755,785.64,-90.46,0.829,7814.79,-90.46,0.74,56.55,8
exit VIX<20,20,,,0,100.78,-50.06,0.377,1642.1,-72.45,1.033,3397.82,-72.45,0.699,18.02,9
exit VIX<10; ATR10 trail 2x,10,10.0,2.0,0,31.93,-53.35,0.242,527.6,-76.91,0.774,727.97,-76.91,0.514,15.71,20
exit VIX<10; ATR10 trail 2x; cooldown 21d,10,10.0,2.0,21,4.79,-62.94,0.139,547.41,-38.56,0.835,578.44,-62.94,0.504,12.84,15
exit VIX<10; ATR10 trail 3x,10,10.0,3.0,0,144.34,-39.29,0.446,1585.17,-62.84,1.004,4017.53,-62.84,0.718,24.63,12
exit VIX<10; ATR10 trail 3x; cooldown 21d,10,10.0,3.0,21,43.47,-58.34,0.271,1163.68,-56.04,0.971,1712.99,-58.34,0.628,23.32,12
exit VIX<10; ATR10 trail 4x,10,10.0,4.0,0,48.79,-50.85,0.288,2211.68,-68.14,1.03,3339.52,-69.29,0.674,37.22,12
exit VIX<10; ATR10 trail 4x; cooldown 21d,10,10.0,4.0,21,18.83,-60.75,0.213,1099.47,-73.27,0.907,1325.3,-74.23,0.578,35.91,12
exit VIX<10; ATR10 trail 5x,10,10.0,5.0,0,50.59,-44.25,0.301,1154.81,-72.45,0.904,1789.61,-76.46,0.604,40.09,10
exit VIX<10; ATR10 trail 5x; cooldown 21d,10,10.0,5.0,21,50.59,-44.25,0.301,915.36,-72.45,0.867,1429.02,-76.46,0.583,38.78,10
exit VIX<10; ATR10 trail 6x,10,10.0,6.0,0,49.4,-51.31,0.306,7156.84,-72.45,1.215,10741.87,-78.56,0.775,54.68,10
exit VIX<10; ATR10 trail 6x; cooldown 21d,10,10.0,6.0,21,49.4,-51.31,0.306,6623.68,-72.45,1.221,9945.32,-78.56,0.774,51.56,9
exit VIX<10; ATR14 trail 2x,10,14.0,2.0,0,95.33,-40.77,0.381,527.6,-76.91,0.774,1125.89,-76.91,0.568,15.71,20
exit VIX<10; ATR14 trail 2x; cooldown 21d,10,14.0,2.0,21,37.54,-51.61,0.255,547.41,-38.56,0.835,790.46,-51.61,0.551,12.84,15
exit VIX<10; ATR14 trail 3x,10,14.0,3.0,0,151.73,-39.29,0.455,1871.75,-62.84,1.046,4863.58,-62.84,0.744,24.44,12
