entry_date,exit_date,symbol,exit_to,entry_price,exit_price,return_pct,outcome,exit_reason,holding_calendar_days,holding_trading_days
2010-05-10,2010-06-08,SOXL,CASH,0.6186,0.4565,-26.2,loss,atr21_3x,29,20
2011-08-09,2011-10-03,SOXL,CASH,0.3723,0.342,-8.15,loss,atr21_3x,55,38
2011-10-04,2011-11-22,SOXL,CASH,0.3003,0.4046,34.75,win,atr21_3x,49,35
2015-08-25,2015-09-29,SOXL,CASH,1.1891,1.1145,-6.28,loss,atr21_3x,35,24
2018-02-06,2018-03-26,SOXL,CASH,8.1364,10.4781,28.78,win,atr21_3x,48,33
2018-12-26,2019-05-09,SOXL,CASH,4.461,10.1861,128.34,win,atr21_3x,134,92
2020-02-28,2020-03-13,SOXL,CASH,11.1007,7.8163,-29.59,loss,atr21_3x,14,10
2020-03-16,2020-09-04,SOXL,CASH,5.7943,16.112,178.07,win,atr21_3x,172,121
2020-10-29,2021-01-28,SOXL,CASH,15.7739,33.9429,115.18,win,atr21_3x,91,61
2022-03-08,2022-04-06,SOXL,CASH,28.7928,29.9433,4.0,win,atr21_3x,29,21
2024-08-06,2024-09-06,SOXL,CASH,28.2831,28.7875,1.78,win,atr21_3x,31,22
2025-04-07,2025-10-13,SOXL,CASH,7.8529,38.23,386.83,win,atr21_3x,189,130
