selection_rank,variant,exit_vix_below,atr_window,atr_mult,cooldown_days,is_return_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_exposure_days_pct,trades
1,exit VIX<10; ATR21 trail 3x,10,21.0,3.0,0,151.73,-39.29,0.455,2071.09,-62.84,1.079,5365.37,-62.84,0.761,22.76,12
2,exit VIX<10; ATR14 trail 3x,10,14.0,3.0,0,151.73,-39.29,0.455,1871.75,-62.84,1.046,4863.58,-62.84,0.744,24.44,12
3,exit VIX<15; ATR14 trail 3x,15,14.0,3.0,0,138.85,-39.29,0.447,1920.93,-62.84,1.082,4726.98,-62.84,0.76,18.58,12
4,exit VIX<15; ATR21 trail 3x,15,21.0,3.0,0,138.85,-39.29,0.447,1920.93,-62.84,1.082,4726.98,-62.84,0.76,18.58,12
5,exit VIX<10; ATR10 trail 3x,10,10.0,3.0,0,144.34,-39.29,0.446,1585.17,-62.84,1.004,4017.53,-62.84,0.718,24.63,12
6,exit VIX<15; ATR10 trail 3x,15,10.0,3.0,0,133.77,-39.29,0.44,1749.84,-62.84,1.057,4224.29,-62.84,0.744,18.7,12
7,exit VIX<20; ATR14 trail 3x,20,14.0,3.0,0,27.94,-39.29,0.229,1674.85,-62.84,1.065,2170.71,-62.84,0.664,14.84,12
8,exit VIX<20; ATR21 trail 3x,20,21.0,3.0,0,27.94,-39.29,0.229,1674.85,-62.84,1.065,2170.71,-62.84,0.664,14.84,12
9,exit VIX<20; ATR10 trail 3x,20,10.0,3.0,0,25.21,-39.29,0.22,1524.6,-62.84,1.038,1934.23,-62.84,0.647,14.96,12
10,exit VIX<15; ATR14 trail 2x,15,14.0,2.0,0,138.62,-40.77,0.454,748.02,-76.91,0.853,1923.58,-76.91,0.64,15.02,20
11,exit VIX<10; ATR14 trail 2x,10,14.0,2.0,0,95.33,-40.77,0.381,527.6,-76.91,0.774,1125.89,-76.91,0.568,15.71,20
12,exit VIX<20; ATR14 trail 2x,20,14.0,2.0,0,27.82,-40.77,0.226,1138.75,-76.91,0.96,1483.32,-76.91,0.612,13.53,20
13,exit VIX<15; ATR10 trail 5x,15,10.0,5.0,0,163.86,-44.25,0.459,867.93,-72.45,0.867,2453.94,-72.45,0.65,25.62,10
14,exit VIX<15; ATR10 trail 5x; cooldown 21d,15,10.0,5.0,21,163.86,-44.25,0.459,683.22,-72.45,0.829,1966.58,-72.45,0.631,24.31,10
15,exit VIX<10; ATR10 trail 5x,10,10.0,5.0,0,50.59,-44.25,0.301,1154.81,-72.45,0.904,1789.61,-76.46,0.604,40.09,10
16,exit VIX<10; ATR10 trail 5x; cooldown 21d,10,10.0,5.0,21,50.59,-44.25,0.301,915.36,-72.45,0.867,1429.02,-76.46,0.583,38.78,10
17,exit VIX<20; ATR10 trail 5x,20,10.0,5.0,0,23.76,-44.25,0.227,1424.91,-72.45,1.008,1787.26,-72.45,0.625,17.96,10
18,exit VIX<20; ATR10 trail 5x; cooldown 21d,20,10.0,5.0,21,23.76,-44.25,0.227,1133.91,-72.45,0.982,1427.12,-72.45,0.605,16.65,10
19,exit VIX<15; ATR21 trail 2x,15,21.0,2.0,0,36.0,-46.04,0.251,1114.49,-66.93,0.951,1551.67,-66.93,0.613,15.02,20
20,exit VIX<10; ATR21 trail 2x,10,21.0,2.0,0,21.88,-46.04,0.212,798.81,-66.93,0.868,995.48,-66.93,0.553,15.71,20
