entry_date,exit_date,symbol,exit_to,entry_price,exit_price,return_pct,outcome,exit_reason,holding_calendar_days,holding_trading_days
2010-05-10,2010-07-06,SOXL,CASH,0.6186,0.4509,-27.11,loss,trail_35%,57,39
2011-08-09,2011-08-10,SOXL,CASH,0.3723,0.3863,3.75,win,below_sma_100,1,1
2011-08-11,2011-08-12,SOXL,CASH,0.3911,0.4418,12.95,win,below_sma_100,1,1
2011-08-15,2011-08-16,SOXL,CASH,0.4345,0.4362,0.38,win,below_sma_100,1,1
2011-08-19,2011-08-22,SOXL,CASH,0.337,0.3522,4.5,win,below_sma_100,3,1
2011-08-23,2011-08-24,SOXL,CASH,0.3458,0.3851,11.36,win,below_sma_100,1,1
2011-08-25,2011-08-26,SOXL,CASH,0.3784,0.3552,-6.13,loss,below_sma_100,1,1
2011-08-29,2011-08-30,SOXL,CASH,0.4011,0.4146,3.36,win,below_sma_100,1,1
2011-09-07,2011-09-08,SOXL,CASH,0.3814,0.3967,4.02,win,below_sma_100,1,1
2011-09-12,2011-09-13,SOXL,CASH,0.3775,0.4306,14.06,win,below_sma_100,1,1
2011-09-14,2011-09-15,SOXL,CASH,0.4556,0.4975,9.19,win,below_sma_100,1,1
2011-09-22,2011-09-23,SOXL,CASH,0.4095,0.3895,-4.89,loss,below_sma_100,1,1
2011-09-26,2011-09-27,SOXL,CASH,0.4357,0.4424,1.53,win,below_sma_100,1,1
2011-09-28,2011-09-29,SOXL,CASH,0.4504,0.4201,-6.73,loss,below_sma_100,1,1
2011-09-30,2011-10-03,SOXL,CASH,0.3688,0.342,-7.28,loss,below_sma_100,3,1
2011-10-04,2011-10-05,SOXL,CASH,0.3003,0.3502,16.62,win,below_sma_100,1,1
2011-10-06,2011-10-07,SOXL,CASH,0.3798,0.4057,6.83,win,below_sma_100,1,1
2011-10-10,2011-10-11,SOXL,CASH,0.4189,0.4266,1.85,win,below_sma_100,1,1
2011-11-10,2011-11-11,SOXL,CASH,0.4736,0.4762,0.54,win,below_sma_100,1,1
2015-08-25,2015-08-26,SOXL,CASH,1.1891,1.1393,-4.18,loss,below_sma_100,1,1
2018-02-06,2018-02-08,SOXL,CASH,8.1364,9.0658,11.42,win,below_sma_100,2,2
2018-12-26,2018-12-27,SOXL,CASH,4.461,4.7697,6.92,win,below_sma_100,1,1
2020-02-28,2020-03-02,SOXL,CASH,11.1007,14.0372,26.45,win,below_sma_100,3,1
2020-03-04,2020-03-05,SOXL,CASH,13.85,13.7377,-0.81,loss,below_sma_100,1,1
2020-03-06,2020-03-09,SOXL,CASH,12.585,9.8118,-22.04,loss,below_sma_100,3,1
2020-03-10,2020-03-11,SOXL,CASH,10.7728,10.3772,-3.67,loss,below_sma_100,1,1
2020-03-12,2020-03-13,SOXL,CASH,7.5259,7.8163,3.86,win,below_sma_100,1,1
2020-03-16,2020-03-17,SOXL,CASH,5.7943,5.1502,-11.12,loss,below_sma_100,1,1
2020-03-18,2020-03-19,SOXL,CASH,4.4538,4.0808,-8.38,loss,below_sma_100,1,1
2020-03-20,2020-03-23,SOXL,CASH,5.054,4.3886,-13.17,loss,below_sma_100,3,1
2020-03-24,2020-03-25,SOXL,CASH,5.3983,6.1672,14.24,win,below_sma_100,1,1
2020-03-26,2020-03-27,SOXL,CASH,6.2699,6.279,0.14,win,below_sma_100,1,1
2020-03-30,2020-03-31,SOXL,CASH,6.1355,6.5536,6.81,win,below_sma_100,1,1
2020-04-01,2020-04-02,SOXL,CASH,5.512,5.0242,-8.85,loss,below_sma_100,1,1
2020-04-03,2020-04-06,SOXL,CASH,5.6057,5.9443,6.04,win,below_sma_100,3,1
2020-04-07,2020-04-08,SOXL,CASH,7.6655,7.1654,-6.52,loss,below_sma_100,1,1
2020-04-09,2020-04-13,SOXL,CASH,7.7928,6.9393,-10.95,loss,below_sma_100,4,1
2020-04-14,2020-04-15,SOXL,CASH,7.7463,7.7269,-0.25,loss,below_sma_100,1,1
2020-04-16,2020-04-17,SOXL,CASH,7.9059,8.5837,8.57,win,below_sma_100,1,1
2020-04-20,2020-04-21,SOXL,CASH,7.9479,7.4071,-6.8,loss,below_sma_100,1,1
2020-04-22,2020-04-23,SOXL,CASH,7.2643,7.8316,7.81,win,below_sma_100,1,1
2020-04-24,2020-04-27,SOXL,CASH,7.6216,8.3995,10.21,win,below_sma_100,3,1
2020-05-04,2020-05-05,SOXL,CASH,6.9865,7.8025,11.68,win,below_sma_100,1,1
2020-05-14,2020-05-15,SOXL,CASH,7.5725,7.5467,-0.34,loss,below_sma_100,1,1
2020-06-12,2020-06-15,SOXL,CASH,11.1378,9.9444,-10.71,loss,below_sma_100,3,1
2020-06-22,2021-03-05,SOXL,CASH,11.7529,31.2463,165.86,win,trail_35%+below_sma_100,256,177
2022-03-08,2022-03-09,SOXL,CASH,28.7928,33.1112,15.0,win,below_sma_100,1,1
2024-08-06,2024-08-07,SOXL,CASH,28.2831,30.973,9.51,win,below_sma_100,1,1
2025-04-07,2025-04-08,SOXL,CASH,7.8529,10.3742,32.11,win,below_sma_100,1,1
2025-04-09,2025-04-10,SOXL,CASH,8.4508,10.8824,28.77,win,below_sma_100,1,1
2025-04-11,2025-04-14,SOXL,CASH,9.3178,11.1116,19.25,win,below_sma_100,3,1
