selection_rank,variant,exit_vix_below,trailing_stop_pct,stop_loss_pct,trend_exit_sma,max_hold_days,cooldown_days,is_return_pct,is_cagr_pct,is_max_drawdown_pct,is_sharpe,oos_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,full_return_pct,full_max_drawdown_pct,full_sharpe,oos_soxl_buy_hold_return_pct,oos_soxl_buy_hold_max_drawdown_pct,full_exposure_days_pct,oos_exposure_days_pct,trades
1,exit VIX<10; trail 35%; exit below SMA100,10,0.35,,100.0,,0,52.52,4.4,-35.15,0.312,450.58,30.66,-52.43,0.809,739.73,-52.43,0.561,819.19,-90.46,6.53,12.78,51
2,exit VIX<20; trail 35%; exit below SMA100,20,0.35,,100.0,,0,52.52,4.4,-35.15,0.312,708.9,38.78,-52.43,0.965,1133.71,-52.43,0.645,819.19,-90.46,6.21,11.97,51
3,exit VIX<10; exit below SMA100,10,,,100.0,,0,73.44,5.78,-35.27,0.364,450.58,30.66,-52.43,0.809,854.94,-52.43,0.581,819.19,-90.46,7.02,12.78,51
4,exit VIX<10; exit below SMA100; max 126d,10,,,100.0,126.0,0,73.44,5.78,-35.27,0.364,356.13,26.86,-52.43,0.752,691.13,-52.43,0.55,819.19,-90.46,6.41,11.22,52
5,exit VIX<20; exit below SMA100,20,,,100.0,,0,73.44,5.78,-35.27,0.364,708.9,38.78,-52.43,0.965,1302.96,-52.43,0.663,819.19,-90.46,6.7,11.97,51
6,exit VIX<20; exit below SMA100; max 126d,20,,,100.0,126.0,0,73.44,5.78,-35.27,0.364,570.14,34.74,-52.43,0.911,1062.3,-52.43,0.634,819.19,-90.46,6.09,10.41,52
7,exit VIX<10; exit below SMA50,10,,,50.0,,0,59.87,4.9,-37.08,0.337,852.59,42.38,-52.43,1.009,1422.92,-52.43,0.68,819.19,-90.46,6.06,11.6,55
8,exit VIX<20; exit below SMA50,20,,,50.0,,0,59.87,4.9,-37.08,0.337,1088.42,47.4,-52.43,1.102,1799.94,-52.43,0.73,819.19,-90.46,5.87,11.1,55
9,exit VIX<10; trail 25%; exit below SMA100,10,0.25,,100.0,,0,43.87,3.78,-38.43,0.294,414.77,29.29,-52.43,0.796,640.59,-52.43,0.548,819.19,-90.46,5.2,10.54,53
10,exit VIX<15; trail 25%,15,0.25,,,,0,200.64,11.88,-43.43,0.522,361.67,27.1,-68.85,0.695,1287.96,-68.85,0.586,819.19,-90.46,10.95,15.84,17
11,exit VIX<10; trail 25%,10,0.25,,,,0,108.89,7.8,-43.43,0.39,241.67,21.24,-68.85,0.616,613.7,-69.97,0.491,819.19,-90.46,14.33,16.52,17
12,exit VIX<20; trail 25%,20,0.25,,,,0,41.01,3.57,-43.43,0.265,808.06,41.32,-68.85,0.888,1180.48,-68.85,0.582,819.19,-90.46,9.13,14.46,17
13,exit VIX<15; trail 35%,15,0.35,,,,0,135.72,9.14,-47.21,0.433,1320.63,51.59,-66.93,0.969,3248.77,-66.93,0.694,819.19,-90.46,14.14,22.63,12
14,exit VIX<15; trail 35%; max 126d,15,0.35,,,126.0,0,135.72,9.14,-47.21,0.433,1188.06,49.28,-66.93,0.948,2936.28,-66.93,0.683,819.19,-90.46,13.4,20.76,13
15,exit VIX<10; trail 35%,10,0.35,,,,0,27.03,2.47,-47.21,0.25,1049.92,46.65,-66.93,0.901,1360.71,-71.74,0.578,819.19,-90.46,19.93,28.68,12
16,exit VIX<10; trail 35%; max 126d,10,0.35,,,126.0,0,27.03,2.47,-47.21,0.25,1213.65,49.74,-66.93,0.943,1568.7,-71.74,0.596,819.19,-90.46,18.41,24.81,13
17,exit VIX<20; trail 35%,20,0.35,,,,0,10.57,1.03,-47.21,0.182,1991.29,61.06,-66.93,1.09,2212.26,-66.93,0.657,819.19,-90.46,11.0,17.89,12
18,exit VIX<20; trail 35%; max 126d,20,0.35,,,126.0,0,10.57,1.03,-47.21,0.182,1796.14,58.61,-66.93,1.071,1996.49,-66.93,0.645,819.19,-90.46,10.26,16.02,13
19,exit VIX<15,15,,,,,0,793.68,25.02,-50.06,0.755,785.64,40.76,-90.46,0.829,7814.79,-90.46,0.74,819.19,-90.46,34.29,56.55,8
20,exit VIX<15; max 252d,15,,,,252.0,0,793.68,25.02,-50.06,0.755,788.5,40.84,-84.73,0.827,7840.38,-84.73,0.752,819.19,-90.46,26.53,36.85,9
