variant,total_return,excess_vs_spmo,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings
top2 mom126 skip21,3.383105056340189,1.3581798677889592,0.2801102348232407,-0.45594195687277794,0.7630916837845853,387,385,"LITE, SATS"
top1 mom126 skip21,3.126517279302637,1.101592090751407,0.2672707743076683,-0.5723377392797424,0.692257479168967,212,211,LITE
top3 mom126 skip21,2.756627324858737,0.7317021363075074,0.24753803731697888,-0.41776754959538553,0.7465680731892964,600,597,"SATS, LITE, WDC"
top4 mom126 skip21,2.2004377874911376,0.17551259893990778,0.21457660412977608,-0.3864331043781095,0.699609273892768,731,727,"SATS, WDC, CIEN, LITE"
top5 mom126 baseline,1.4253311678594502,-0.5995940206917796,0.15957437673607378,-0.37341342124329624,0.5899391893931168,748,743,"SATS, WDC, LITE, WBD, CIEN"
top5 combo 3/6/12 skip21,1.1546677299185912,-0.8702574586326386,0.1368698983664165,-0.4275798459830905,0.534183956047685,822,817,"SATS, CIEN, WDC, LITE, MU"
top5 mom126 skip21 positive,0.7680636241598693,-1.2568615643913605,0.09991484540748563,-0.43817835767933244,0.44504399172023884,909,904,"SATS, WDC, LITE, CIEN, WBD"
top5 mom126 skip21 SMA200,0.670615081873098,-1.3543101066781318,0.08954355732828678,-0.4391371350096641,0.419118444447781,929,924,"SATS, WDC, LITE, CIEN, WBD"
top5 mom126 skip21 low-vol60,-0.1194671244566593,-2.1443923130078892,-0.02103649489208903,-0.43542653267376763,-0.01913797866070068,1306,1301,"GOOG, CMI, GOOGL, ROST, WELL"
top5 52-week high,-0.17526292897318052,-2.2001881175244105,-0.03168738406803928,-0.41405582279842323,-0.08206852830245324,5135,5130,"VTRS, XOM, AIZ, SATS, NDSN"
