variant,total_return,excess_vs_spmo,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings
126 skip21,3.1708331386344772,1.1459079500832474,0.2689405357173824,-0.41776754959538553,0.7835385199184903,598,595,"SNDK, LITE, SATS"
126 raw baseline,2.340709038915079,0.31578385036384926,0.22283043956793924,-0.44881772041616386,0.6774050746771821,465,462,"SNDK, LITE, SATS"
252 skip21,2.0608765789831396,0.03595139043190976,0.20511853179825756,-0.3665844315749026,0.6619399510573364,351,348,"WDC, LITE, STX"
126 skip21 monthly,1.8081434399086964,-0.2167817486425334,0.18792148564067768,-0.47567450057389515,0.6279763681592212,110,107,"SATS, SNDK, LITE"
126 raw + SMA50 topN,1.7076078151941667,-0.3173173733570631,0.1807202411323916,-0.4487370605361436,0.6264854084736032,499,496,"SNDK, LITE, SATS"
126 skip21 + SMA50 topN,1.3826078864728535,-0.6423173020783763,0.15580651556025882,-0.41357484340618855,0.6152104324978278,577,574,"SNDK, LITE, SATS"
126 raw + SMA100 topN,1.2188579433533047,-0.8060672451979252,0.14216214534955918,-0.450210157242671,0.5306052192719337,484,481,"SNDK, LITE, SATS"
126 raw + SMA50 topN + SPY SMA200,0.7305502468377583,-1.2943749417134716,0.09578300105946469,-0.4487370605361437,0.43833989599793804,457,454,"SNDK, LITE, SATS"
126 raw + SPY SMA200,0.6597250411505875,-1.3652001474006423,0.08817265791361395,-0.4488177204161641,0.4141423575296544,438,435,"SNDK, LITE, SATS"
252 risk-adjusted skip21,0.4032090739411678,-1.621716114610062,0.05812552807954274,-0.45825668918205487,0.33751339558237553,520,517,"WDC, STX, LITE"
126 risk-adjusted + SMA50 topN,0.19764567395003407,-1.8272795146011958,0.03053718383683912,-0.35730812465256223,0.2559307226783194,702,699,"SNDK, LITE, CIEN"
252 skip21 + SMA50 topN,0.16323362482902715,-1.8616915637222027,0.0255385437276745,-0.31248414417286274,0.234387584188911,331,328,"WDC, LITE, STX"
126 risk-adjusted,-0.19491368802956166,-2.2198388765807913,-0.03551311787736844,-0.5155358883349059,0.0601778509394695,717,714,"SNDK, LITE, CIEN"
252 risk-adjusted skip21 + SMA50 topN + SPY SMA200,-0.33563823223856404,-2.360563420789794,-0.06592768853421294,-0.45908665651855174,-0.15520830381224449,401,398,"WDC, STX, LITE"
252 risk-adjusted skip21 + SMA50 topN,-0.3371697039068662,-2.362094892458096,-0.06628714674609582,-0.47743673871479075,-0.1343023695437867,487,484,"WDC, STX, LITE"
