variant,total_return,excess_vs_spmo,cagr,max_drawdown,sharpe,buy_trades,sell_trades,final_holdings
126 skip21,2.51597248777438,0.49104759258458897,0.2333033522859982,-0.3864331043781095,0.7373743573286556,721,717,"SATS, SNDK, LITE, WDC"
126 raw baseline,1.6004617947019928,-0.42446310048779834,0.17279595604352926,-0.4344722016632515,0.6021826830479629,642,638,"SNDK, SATS, LITE, CIEN"
252 skip21,1.1972081408515787,-0.8277167543382125,0.14029589170311052,-0.43741867915122434,0.5355099611838652,486,482,"WDC, LITE, HOOD, STX"
126 skip21 + SMA50 topN,1.117147244521583,-0.907777650668208,0.13325861733207778,-0.32711228042401297,0.5784318709127798,695,691,"SNDK, SATS, LITE, WDC"
126 raw + SMA50 topN,1.0694668152170692,-0.9554580799727219,0.12896150748061652,-0.41205362995099015,0.5263682172159566,662,658,"SNDK, LITE, SATS, CIEN"
126 raw + SMA100 topN,0.762773737461548,-1.2621511577282432,0.09915987637760648,-0.45394230234675714,0.44214843492287587,651,647,"SNDK, SATS, LITE, CIEN"
126 raw + SPY SMA200,0.6946718220592587,-1.3302530731305324,0.09196089558954434,-0.37228402719391795,0.4303020977378332,577,573,"SNDK, SATS, LITE, CIEN"
126 raw + SMA50 topN + SPY SMA200,0.610667650768469,-1.4142572444213222,0.08274109406564545,-0.39347457605121794,0.4132040384418717,593,589,"SNDK, LITE, SATS, CIEN"
126 risk-adjusted + SMA50 topN,0.298212047299514,-1.7267128478902771,0.044489018249707524,-0.29908614365961605,0.2968179422370321,857,853,"WDC, SNDK, LITE, CIEN"
252 risk-adjusted skip21,0.24238581447236185,-1.7825390807174293,0.03686012722396992,-0.5271225121530642,0.27301263671282644,715,711,"WDC, STX, NEM, LITE"
126 risk-adjusted,0.002014649502298571,-2.0229102456874926,0.00033572323015906846,-0.40243523963285566,0.15472704650879432,873,869,"WDC, SNDK, LITE, CIEN"
252 skip21 + SMA50 topN,-0.050475725911197644,-2.0754006211009886,-0.008601073854699659,-0.357620686100956,0.10290959412518157,480,477,"WDC, LITE, STX"
252 risk-adjusted skip21 + SMA50 topN + SPY SMA200,-0.39278941286595637,-2.4177143080557473,-0.07983617355712502,-0.4861415494397231,-0.27411060687686595,556,552,"WDC, STX, NEM, LITE"
252 risk-adjusted skip21 + SMA50 topN,-0.45048963879154325,-2.4754145339813345,-0.09503253798895783,-0.5384108745435556,-0.317358256260658,664,660,"WDC, STX, NEM, LITE"
