strategy,date,equity,daily_return,holding
Top1 current-member baseline,2020-01-03,0.9919015176965931,-0.008098482303406929,DXCM
Top1 current-member baseline,2020-01-06,0.9970717450732179,0.005212440231598059,DXCM
Top1 current-member baseline,2020-01-07,1.0295113333651689,0.03253485865209105,DXCM
Top1 current-member baseline,2020-01-08,1.0559114264147402,0.025643324355912878,DXCM
Top1 current-member baseline,2020-01-09,1.0752653602305797,0.018329126223734615,DXCM
Top1 current-member baseline,2020-01-10,1.1046852358088932,0.02736057225167632,DXCM
Top1 current-member baseline,2020-01-13,1.075219631337152,-0.026673303414040284,DXCM
Top1 current-member baseline,2020-01-14,1.0804813165006324,0.004893591048869661,DXCM
Top1 current-member baseline,2020-01-15,1.0772328196896468,-0.0030065275182235007,DXCM
Top1 current-member baseline,2020-01-16,1.073938524170129,-0.003058109128597719,DXCM
Top1 current-member baseline,2020-01-17,1.0806643717045528,0.0062627863542013,DXCM
Top1 current-member baseline,2020-01-21,1.0555453858220047,-0.023244021492933475,DXCM
Top1 current-member baseline,2020-01-22,1.0694088503770158,0.013133935064492785,DXCM
Top1 current-member baseline,2020-01-23,1.0799322905190811,0.009840427389725903,DXCM
Top1 current-member baseline,2020-01-24,1.0878935163271004,0.007371967555662717,DXCM
Top1 current-member baseline,2020-01-27,1.0478129441113337,-0.03684236702787336,DXCM
Top1 current-member baseline,2020-01-28,1.0791087515467543,0.029867742721925383,DXCM
Top1 current-member baseline,2020-01-29,1.081030412297289,0.0017807850671029968,DXCM
Top1 current-member baseline,2020-01-30,1.0882595569198363,0.006687272199109362,DXCM
Top1 current-member baseline,2020-01-31,1.0926977031109895,0.004078205574150617,DXCM
Top1 current-member baseline,2020-02-03,1.1028550328452145,0.009295644811283532,DXCM
Top1 current-member baseline,2020-02-04,1.4454376063885193,0.3106324615117264,TSLA
Top1 current-member baseline,2020-02-05,1.3477065455219748,-0.06761347597059497,TSLA
Top1 current-member baseline,2020-02-06,1.1457944527268302,-0.14981903402193752,TSLA
Top1 current-member baseline,2020-02-07,1.1959369663354291,0.0437622240963611,TSLA
Top1 current-member baseline,2020-02-10,1.3096290757399123,0.09506530244052636,TSLA
Top1 current-member baseline,2020-02-11,1.2585371966824275,-0.03901248071223451,TSLA
Top1 current-member baseline,2020-02-12,1.2734015337575584,0.011810804729740276,TSLA
Top1 current-member baseline,2020-02-13,1.2144191023614106,-0.04631880034108504,TSLA
Top1 current-member baseline,2020-02-14,1.2887078152024816,0.0611722202793239,TSLA
Top1 current-member baseline,2020-02-18,1.3777298180281072,0.06907850001021254,TSLA
Top1 current-member baseline,2020-02-19,1.5118030753722633,0.09731462264208668,TSLA
Top1 current-member baseline,2020-02-20,1.4928952938998352,-0.012506775373354984,TSLA
Top1 current-member baseline,2020-02-21,1.4847592273192847,-0.005449857477477171,TSLA
Top1 current-member baseline,2020-02-24,1.3734735509075868,-0.07495200188964168,TSLA
Top1 current-member baseline,2020-02-25,1.3898438522966532,0.011918905448342176,TSLA
Top1 current-member baseline,2020-02-26,1.2809810014730592,-0.07832739673863587,TSLA
Top1 current-member baseline,2020-02-27,1.195036591328553,-0.06709265012180099,TSLA
Top1 current-member baseline,2020-02-28,1.0308417995783257,-0.13739729221821373,TSLA
Top1 current-member baseline,2020-03-02,1.1643584580574318,0.12952196790402004,TSLA
Top1 current-member baseline,2020-03-03,1.3178143201064187,0.13179434648072763,TSLA
Top1 current-member baseline,2020-03-04,1.250630345420419,-0.050981366388987426,TSLA
Top1 current-member baseline,2020-03-05,1.1848377742250704,-0.052607528224682176,TSLA
Top1 current-member baseline,2020-03-06,1.1295551047563666,-0.04665842925615771,TSLA
Top1 current-member baseline,2020-03-09,0.9910454490871308,-0.12262319481891137,TSLA
