strategy,signal_date,purchase_date,selected_ticker,selected_security,selected_score,selected_sp500_date_added,skipped_not_yet_sp500_count,first_skipped_tickers,prior_holding,equity_before_rebalance
Top1 current-member baseline,2019-12-31,2020-01-02,DXCM,Dexcom,0.5604448439339165,2020-05-12,0,,CASH,1.0
Top1 current-member baseline,2020-01-31,2020-02-03,TSLA,"Tesla, Inc.",0.7888817113529452,2020-12-21,0,,DXCM,1.1028550328452145
Top1 current-member baseline,2020-02-28,2020-03-02,TSLA,"Tesla, Inc.",1.6948836408124461,2020-12-21,0,,TSLA,1.1643584580574318
Top1 current-member baseline,2020-03-31,2020-04-01,TSLA,"Tesla, Inc.",2.087225503880085,2020-12-21,0,,TSLA,0.8250662999184697
Top1 current-member baseline,2020-04-30,2020-05-01,PCG,PG&E Corporation,0.7872760025708931,2022-10-03,0,,TSLA,1.2359624384731922
Top1 current-member baseline,2020-05-29,2020-06-01,TSLA,"Tesla, Inc.",1.4337529042314907,2020-12-21,0,,PCG,1.3756799915607658
Top1 current-member baseline,2020-06-30,2020-07-01,MRNA,Moderna,2.2640421414930345,2021-07-21,0,,TSLA,1.736435137546333
Top1 current-member baseline,2020-07-31,2020-08-03,MRNA,Moderna,2.002925376171273,2021-07-21,0,,MRNA,2.0666335308304995
Top1 current-member baseline,2020-08-31,2020-09-01,MRNA,Moderna,1.6549623389192476,2021-07-21,0,,MRNA,1.7513188925309178
Top1 current-member baseline,2020-09-30,2020-10-01,TSLA,"Tesla, Inc.",4.174017995285337,2020-12-21,0,,MRNA,1.917520507764768
Top1 current-member baseline,2020-10-30,2020-11-02,CVNA,Carvana,1.975877798103069,2025-12-22,0,,TSLA,1.7140917057266196
Top1 current-member baseline,2020-11-30,2020-12-01,TSLA,"Tesla, Inc.",1.3301305472318021,2020-12-21,0,,CVNA,2.302852955469767
Top1 current-member baseline,2020-12-31,2021-01-04,TSLA,"Tesla, Inc.",1.419042607101007,2020-12-21,0,,TSLA,2.7724871664358983
Top1 current-member baseline,2021-01-29,2021-02-01,TPR,"Tapestry, Inc.",1.263909154472723,2004-09-01,0,,TSLA,3.1379207251129007
Top1 current-member baseline,2021-02-26,2021-03-01,MRNA,Moderna,1.2089361096104834,2021-07-21,0,,TPR,4.204033270908573
Top1 current-member baseline,2021-03-31,2021-04-01,OXY,Occidental Petroleum,1.7862411490673895,1957-03-04,0,,MRNA,3.598099187559898
Top1 current-member baseline,2021-04-30,2021-05-03,TPL,Texas Pacific Land Corporation,2.597044077863911,2024-11-26,0,,OXY,3.4411359290129075
Top1 current-member baseline,2021-05-28,2021-06-01,TPL,Texas Pacific Land Corporation,1.5968313749522802,2024-11-26,0,,TPL,3.228468849397954
Top1 current-member baseline,2021-06-30,2021-07-01,TPL,Texas Pacific Land Corporation,1.1901240756452873,2024-11-26,0,,TPL,3.54991854801822
Top1 current-member baseline,2021-07-30,2021-08-02,NUE,Nucor,0.9872412402297728,1985-04-30,0,,TPL,3.2697555170946155
Top1 current-member baseline,2021-08-31,2021-09-01,MRNA,Moderna,1.6414417171707538,2021-07-21,0,,NUE,3.6473239539900777
Top1 current-member baseline,2021-09-30,2021-10-01,MRNA,Moderna,1.8418709450675554,2021-07-21,0,,MRNA,3.413843291762387
Top1 current-member baseline,2021-10-29,2021-11-01,MRNA,Moderna,1.068917194453256,2021-07-21,0,,MRNA,3.1914809639816033
Top1 current-member baseline,2021-11-30,2021-12-01,TSLA,"Tesla, Inc.",0.840957230808149,2020-12-21,0,,MRNA,3.143940860373375
Top1 current-member baseline,2021-12-31,2022-01-03,BLDR,Builders FirstSource,0.6232085979011757,2023-12-18,0,,TSLA,3.108863854022571
Top1 current-member baseline,2022-01-31,2022-02-01,BLDR,Builders FirstSource,0.8908886751209053,2023-12-18,0,,BLDR,2.4780747114399633
Top1 current-member baseline,2022-02-28,2022-03-01,APA,APA Corporation,0.769144965413536,1997-07-28,0,,BLDR,2.7590266038585574
Top1 current-member baseline,2022-03-31,2022-04-01,APA,APA Corporation,0.7780785860148236,1997-07-28,0,,APA,3.1490459208596415
Top1 current-member baseline,2022-04-29,2022-05-02,CF,CF Industries,0.7697676075160873,2008-08-27,0,,APA,3.0733222318325284
Top1 current-member baseline,2022-05-31,2022-06-01,EQT,EQT Corporation,0.9304987677030525,2022-10-03,0,,CF,3.1714305088753365
Top1 current-member baseline,2022-06-30,2022-07-01,OXY,Occidental Petroleum,1.3744161661715681,1957-03-04,0,,EQT,2.2858931017503448
Top1 current-member baseline,2022-07-29,2022-08-01,EQT,EQT Corporation,0.8672189184671739,2022-10-03,0,,OXY,2.507517679102146
Top1 current-member baseline,2022-08-31,2022-09-01,EQT,EQT Corporation,0.6890566338271484,2022-10-03,0,,EQT,2.7567476814569125
Top1 current-member baseline,2022-09-30,2022-10-03,SMCI,Supermicro,0.7094825402382245,2024-03-18,0,,EQT,2.38547832534898
Top1 current-member baseline,2022-10-31,2022-11-01,FSLR,First Solar,0.7961706323839828,2022-12-19,0,,SMCI,2.9612833204506614
Top1 current-member baseline,2022-11-30,2022-12-01,FSLR,First Solar,1.054042636977877,2022-12-19,0,,FSLR,3.4526962334275044
