strategy,signal_date,trade_date,action,ticker,security,sp500_date_added,price,score,skipped_not_yet_sp500_before_buy,equity_before_trade
Top1 current-member baseline,2019-12-31,2020-01-02,BUY,DXCM,Dexcom,2020-05-12,54.63999938964844,0.5604448439339165,0,1.0
Top1 current-member baseline,2020-01-31,2020-02-03,SELL,DXCM,Dexcom,2020-05-12,60.2599983215332,,,1.1028550328452145
Top1 current-member baseline,2020-01-31,2020-02-03,BUY,TSLA,"Tesla, Inc.",2020-12-21,44.91266632080078,0.7888817113529452,0,1.1028550328452145
Top1 current-member baseline,2020-04-30,2020-05-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,50.33333206176758,,,1.2359624384731922
Top1 current-member baseline,2020-04-30,2020-05-01,BUY,PCG,PG&E Corporation,2022-10-03,10.202105005373804,0.7872760025708931,0,1.2359624384731922
Top1 current-member baseline,2020-05-29,2020-06-01,SELL,PCG,PG&E Corporation,2022-10-03,11.355386936379867,,,1.3756799915607658
Top1 current-member baseline,2020-05-29,2020-06-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,57.20000076293945,1.4337529042314907,0,1.3756799915607658
Top1 current-member baseline,2020-06-30,2020-07-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,72.19999694824219,,,1.736435137546333
Top1 current-member baseline,2020-06-30,2020-07-01,BUY,MRNA,Moderna,2021-07-21,63.0,2.2640421414930345,0,1.736435137546333
Top1 current-member baseline,2020-09-30,2020-10-01,SELL,MRNA,Moderna,2021-07-21,69.56999969482422,,,1.917520507764768
Top1 current-member baseline,2020-09-30,2020-10-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,146.9199981689453,4.174017995285337,0,1.917520507764768
Top1 current-member baseline,2020-10-30,2020-11-02,SELL,TSLA,"Tesla, Inc.",2020-12-21,131.3333282470703,,,1.7140917057266196
Top1 current-member baseline,2020-10-30,2020-11-02,BUY,CVNA,Carvana,2025-12-22,37.43999862670898,1.975877798103069,0,1.7140917057266196
Top1 current-member baseline,2020-11-30,2020-12-01,SELL,CVNA,Carvana,2025-12-22,50.29999923706055,,,2.302852955469767
Top1 current-member baseline,2020-11-30,2020-12-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,199.19667053222656,1.3301305472318021,0,2.302852955469767
Top1 current-member baseline,2021-01-29,2021-02-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,271.42999267578125,,,3.1379207251129007
Top1 current-member baseline,2021-01-29,2021-02-01,BUY,TPR,"Tapestry, Inc.",2004-09-01,28.36586777942146,1.263909154472723,0,3.1379207251129007
Top1 current-member baseline,2021-02-26,2021-03-01,SELL,TPR,"Tapestry, Inc.",2004-09-01,38.00320733041806,,,4.204033270908573
Top1 current-member baseline,2021-02-26,2021-03-01,BUY,MRNA,Moderna,2021-07-21,154.46299743652344,1.2089361096104834,0,4.204033270908573
Top1 current-member baseline,2021-03-31,2021-04-01,SELL,MRNA,Moderna,2021-07-21,132.1999969482422,,,3.598099187559898
Top1 current-member baseline,2021-03-31,2021-04-01,BUY,OXY,Occidental Petroleum,1957-03-04,25.161750799115698,1.7862411490673895,0,3.598099187559898
Top1 current-member baseline,2021-04-30,2021-05-03,SELL,OXY,Occidental Petroleum,1957-03-04,24.06409612360495,,,3.4411359290129075
Top1 current-member baseline,2021-04-30,2021-05-03,BUY,TPL,Texas Pacific Land Corporation,2024-11-26,164.76970755306252,2.597044077863911,0,3.4411359290129075
Top1 current-member baseline,2021-07-30,2021-08-02,SELL,TPL,Texas Pacific Land Corporation,2024-11-26,156.56360906273034,,,3.2697555170946155
Top1 current-member baseline,2021-07-30,2021-08-02,BUY,NUE,Nucor,1985-04-30,97.43881905074949,0.9872412402297728,0,3.2697555170946155
Top1 current-member baseline,2021-08-31,2021-09-01,SELL,NUE,Nucor,1985-04-30,108.69037055348122,,,3.6473239539900777
Top1 current-member baseline,2021-08-31,2021-09-01,BUY,MRNA,Moderna,2021-07-21,382.8370056152344,1.6414417171707538,0,3.6473239539900777
Top1 current-member baseline,2021-11-30,2021-12-01,SELL,MRNA,Moderna,2021-07-21,330.0,,,3.143940860373375
