date,equity,daily_return,holdings,selected
2024-01-02,1.0000000000,0.0000000000,,COIN CVNA VRT CRWD WSM
2024-01-03,1.0091417802,0.0091417802,COIN CVNA VRT CRWD WSM,COIN VRT CVNA CRWD ERIE
2024-01-04,1.0164159503,0.0072082736,COIN CVNA VRT CRWD ERIE,COIN CVNA VRT CRWD ERIE
2024-01-05,1.0290456517,0.0124257214,COIN CVNA VRT CRWD ERIE,COIN VRT CRWD WSM ERIE
2024-01-08,1.0479668193,0.0183871023,COIN VRT CRWD ERIE WSM,COIN VRT CRWD ERIE KEY
2024-01-09,1.0467124675,-0.0011969385,COIN VRT CRWD ERIE KEY,VRT CRWD COIN ERIE WSM
2024-01-10,1.0514113081,0.0044891417,COIN VRT CRWD ERIE WSM,CRWD VRT COIN ERIE WSM
2024-01-11,1.0330966579,-0.0174191109,COIN VRT CRWD ERIE WSM,VRT CRWD ERIE WSM FICO
2024-01-12,1.0354232786,0.0022520842,VRT CRWD ERIE WSM FICO,CRWD VRT ERIE WSM ANET
2024-01-16,1.0437851840,0.0080758329,VRT CRWD ERIE WSM ANET,VRT CRWD ERIE WSM VST
2024-01-17,1.0488755496,0.0048768326,VRT CRWD ERIE WSM VST,VRT CRWD ERIE WSM VST
2024-01-18,1.0545004661,0.0053628064,VRT CRWD ERIE WSM VST,VRT CRWD ERIE WSM APP
2024-01-19,1.0486811621,-0.0055185410,VRT CRWD ERIE WSM APP,VRT CRWD ERIE WSM AMD
2024-01-22,1.0375942756,-0.0105722185,VRT CRWD ERIE WSM AMD,VRT CRWD ERIE WSM ANET
2024-01-23,1.0312353516,-0.0061285266,VRT CRWD ERIE WSM ANET,VRT CRWD ERIE WSM APP
2024-01-24,1.0105691597,-0.0200402283,VRT CRWD ERIE WSM APP,VRT CRWD ERIE AMD STX
2024-01-25,0.9972583972,-0.0131715503,VRT CRWD ERIE AMD STX,VRT CRWD AMD ERIE ANET
2024-01-26,1.0062295781,0.0089958440,VRT CRWD ERIE AMD ANET,VRT CRWD ERIE ANET AMD
2024-01-29,1.0174241212,0.0111252376,VRT CRWD ERIE AMD ANET,VRT CRWD ANET DELL ERIE
2024-01-30,1.0195406277,0.0020802597,VRT CRWD ERIE ANET DELL,VRT CRWD ANET DELL ERIE
2024-01-31,1.0137469223,-0.0056826626,VRT CRWD ERIE ANET DELL,VRT CRWD ERIE SMCI DELL
2024-02-01,1.0465809003,0.0323887327,VRT CRWD ERIE DELL SMCI,CRWD SMCI VRT DELL VST
2024-02-02,1.0583018336,0.0111992616,VRT CRWD DELL SMCI VST,CRWD SMCI VRT DELL VST
2024-02-05,1.0780481943,0.0186585340,VRT CRWD DELL SMCI VST,CRWD SMCI VRT DELL PANW
2024-02-06,1.0586481240,-0.0179955501,VRT CRWD DELL SMCI PANW,CRWD SMCI VRT PANW UBER
2024-02-07,1.0884057192,0.0281090520,VRT CRWD SMCI PANW UBER,CRWD SMCI PANW VRT APP
2024-02-08,1.1008164154,0.0114026378,VRT CRWD SMCI PANW APP,SMCI CRWD VRT PANW NVDA
2024-02-09,1.1224529188,0.0196549607,VRT CRWD SMCI PANW NVDA,SMCI CRWD VRT PANW COIN
2024-02-12,1.1187346052,-0.0033126678,VRT CRWD SMCI PANW COIN,SMCI CRWD VRT COIN NVDA
2024-02-13,1.1644272975,0.0408431920,VRT CRWD SMCI COIN NVDA,SMCI CRWD VRT COIN WSM
2024-02-14,1.2021717309,0.0324145900,VRT CRWD SMCI COIN WSM,SMCI CRWD COIN VRT UBER
2024-02-15,1.2075913962,0.0045082289,VRT CRWD SMCI COIN UBER,SMCI CRWD COIN UBER VRT
2024-02-16,1.1314048498,-0.0630896731,VRT CRWD SMCI COIN UBER,SMCI COIN CRWD VRT COHR
2024-02-20,1.1118717838,-0.0172644354,VRT CRWD SMCI COIN COHR,SMCI COIN CRWD VRT PANW
2024-02-21,1.1156238962,0.0033745909,VRT CRWD SMCI COIN PANW,SMCI COIN CRWD WSM UBER
2024-02-22,1.1551552735,0.0354343228,CRWD SMCI COIN WSM UBER,SMCI COIN CRWD WSM VRT
2024-02-23,1.1295260670,-0.0221868065,CRWD SMCI COIN WSM VRT,SMCI COIN CRWD VRT UBER
2024-02-26,1.1778479558,0.0427806760,CRWD SMCI COIN VRT UBER,SMCI COIN CRWD VRT CVNA
2024-02-27,1.1910711386,0.0112265617,CRWD SMCI COIN VRT CVNA,SMCI COIN CRWD CVNA UBER
2024-02-28,1.1694121504,-0.0181844622,CRWD SMCI COIN CVNA UBER,SMCI COIN CRWD VST UBER
2024-02-29,1.1825539963,0.0112379933,CRWD SMCI COIN UBER VST,SMCI COIN CRWD AMD VST
2024-03-01,1.1951077697,0.0106158141,CRWD SMCI COIN VST AMD,SMCI COIN DELL CRWD AMD
2024-03-04,1.2095649909,0.0120970021,CRWD SMCI COIN AMD DELL,SMCI COIN DELL AMD CRWD
2024-03-05,1.2004323586,-0.0075503444,CRWD SMCI COIN AMD DELL,SMCI COIN VST AMD CRWD
2024-03-06,1.1898288244,-0.0088330960,CRWD SMCI COIN AMD VST,SMCI COIN CRWD AMD VST
2024-03-07,1.1985472507,0.0073274627,CRWD SMCI COIN AMD VST,SMCI COIN CRWD NVDA AMD
2024-03-08,1.1628192755,-0.0298094007,CRWD SMCI COIN AMD NVDA,SMCI COIN AMD CRWD COHR
2024-03-11,1.1326856839,-0.0259142519,CRWD SMCI COIN AMD COHR,SMCI COIN CRWD NVDA AMD
2024-03-12,1.1590522114,0.0232778854,CRWD SMCI COIN AMD NVDA,SMCI COIN NVDA AMD COHR
