entry_date,exit_date,symbol,exit_to,entry_price,exit_price,return_pct,outcome,holding_calendar_days,holding_trading_days
2020-01-02,2020-02-03,ALGN,REMOVED,281.2,257.5,-8.43,loss,32,21
2020-01-02,2020-02-03,CNC,REMOVED,62.98,63.31,0.52,win,32,21
2020-01-02,2020-02-03,QRVO,REMOVED,117.26,106.16,-9.47,loss,32,21
2020-01-02,2020-02-03,SWKS,REMOVED,104.3884,96.7824,-7.29,loss,32,21
2020-01-02,2020-03-02,AMD,REMOVED,46.86,47.42,1.2,win,60,40
2020-02-03,2020-03-02,DVA,REMOVED,80.0,77.76,-2.8,loss,28,19
2020-02-03,2020-03-02,FTNT,REMOVED,23.17,20.724,-10.56,loss,28,19
2020-02-03,2020-03-02,NOW,REMOVED,67.682,66.766,-1.35,loss,28,19
2020-02-03,2020-03-02,PAYC,REMOVED,313.8888,279.5401,-10.94,loss,28,19
2020-03-02,2020-04-01,ALB,REMOVED,76.2665,50.4435,-33.86,loss,30,22
2020-03-02,2020-04-01,NEM,REMOVED,38.2261,37.8218,-1.06,loss,30,22
2020-03-02,2020-04-01,NVDA,REMOVED,6.8955,6.3663,-7.67,loss,30,22
2020-04-01,2020-05-01,CLX,REMOVED,141.1506,159.3726,12.91,win,30,21
2020-04-01,2020-05-01,DLR,REMOVED,108.2675,119.3672,10.25,win,30,21
2020-03-02,2020-05-01,NFLX,REMOVED,37.311,41.51,11.25,win,60,43
2020-05-01,2020-06-01,AMZN,REMOVED,116.84,122.4,4.76,win,31,20
2020-04-01,2020-06-01,GILD,REMOVED,59.1573,60.0727,1.55,win,61,41
2020-05-01,2020-06-01,INCY,REMOVED,97.25,101.7,4.58,win,31,20
2020-05-01,2020-06-01,NEM,REMOVED,49.2506,49.5026,0.51,win,31,20
2020-03-02,2020-06-01,REGN,REMOVED,441.3547,600.044,35.96,win,91,63
2020-06-01,2020-07-01,CDNS,REMOVED,90.8,95.7,5.4,win,30,22
2020-06-01,2020-07-01,MKTX,REMOVED,475.746,467.8697,-1.66,loss,30,22
2020-06-01,2020-07-01,TSCO,REMOVED,22.2692,24.1139,8.28,win,30,22
2020-06-01,2020-07-01,WST,REMOVED,211.3094,224.1131,6.06,win,30,22
2020-07-01,2020-08-03,APA,REMOVED,11.6944,13.1687,12.61,win,33,22
2020-07-01,2020-08-03,EBAY,REMOVED,47.8506,50.5559,5.65,win,33,22
2020-07-01,2020-08-03,FCX,REMOVED,10.8431,12.2498,12.97,win,33,22
2020-07-01,2020-08-03,HAL,REMOVED,11.9308,12.9619,8.64,win,33,22
2020-08-03,2020-09-01,CARR,REMOVED,25.1936,27.4318,8.88,win,29,21
2020-08-03,2020-09-01,LRCX,REMOVED,35.7836,31.9073,-10.83,loss,29,21
2020-08-03,2020-09-01,PHM,REMOVED,41.4435,42.067,1.5,win,29,21
2020-06-01,2020-09-01,PYPL,REMOVED,154.0762,204.4967,32.72,win,92,65
2020-09-01,2020-10-01,AAPL,REMOVED,128.7737,114.1077,-11.39,loss,30,21
2020-09-01,2020-10-01,FCX,REMOVED,14.6159,14.6252,0.06,win,30,21
2020-09-01,2020-11-02,AMD,REMOVED,91.92,75.85,-17.48,loss,62,43
2020-10-01,2020-11-02,MOS,REMOVED,16.1842,16.484,1.85,win,32,22
2020-08-03,2020-11-02,UPS,REMOVED,111.7994,124.5964,11.45,win,91,64
2020-10-01,2020-11-02,WHR,REMOVED,141.5004,141.9818,0.34,win,32,22
2020-09-01,2020-12-01,FDX,REMOVED,198.0132,264.9893,33.82,win,91,63
2020-11-02,2020-12-01,PWR,REMOVED,63.0208,68.7337,9.07,win,29,20
2020-11-02,2021-01-04,ALGN,REMOVED,432.1,549.61,27.2,win,63,42
2020-12-01,2021-01-04,UA,REMOVED,14.76,15.22,3.12,win,34,22
2020-11-02,2021-01-04,UAA,REMOVED,14.14,17.58,24.33,win,63,42
2021-01-04,2021-02-01,ALB,REMOVED,143.7535,155.863,8.42,win,28,19
2020-12-01,2021-02-01,GE,REMOVED,50.2102,52.8349,5.23,win,62,41
2020-11-02,2021-02-01,TPR,REMOVED,19.8825,28.3659,42.67,win,91,61
2021-01-04,2021-03-01,DVN,REMOVED,12.2833,16.928,37.81,win,56,38
2021-02-01,2021-03-01,FTI,REMOVED,7.766,8.0658,3.86,win,28,19
2021-02-01,2021-03-01,TSLA,REMOVED,271.43,230.0367,-15.25,loss,28,19
2021-03-01,2021-04-01,ETSY,REMOVED,224.57,206.438,-8.07,loss,31,23
2021-03-01,2021-04-01,FCX,REMOVED,32.6505,31.0576,-4.88,loss,31,23
2021-03-01,2021-04-01,WDC,REMOVED,53.1192,52.9912,-0.24,loss,31,23
2021-04-01,2021-05-03,AAL,REMOVED,24.02,21.87,-8.95,loss,32,21
2021-04-01,2021-05-03,AMAT,REMOVED,132.2108,128.4877,-2.82,loss,32,21
2021-02-01,2021-05-03,FANG,REMOVED,46.7176,67.1935,43.83,win,91,63
2021-01-04,2021-05-03,OXY,REMOVED,16.6469,24.0641,44.56,win,119,82
2021-05-03,2021-06-01,CCL,REMOVED,27.7213,29.8681,7.74,win,29,20
2021-05-03,2021-06-01,EOG,REMOVED,58.3105,64.5307,10.67,win,29,20
2021-05-03,2021-06-01,TPR,REMOVED,42.7162,39.9941,-6.37,loss,29,20
2021-05-03,2021-06-01,WFC,REMOVED,40.2062,41.8099,3.99,win,29,20
2021-06-01,2021-07-01,DXC,REMOVED,37.86,39.22,3.59,win,30,22
2021-06-01,2021-07-01,EXPD,REMOVED,120.0223,120.4303,0.34,win,30,22
2021-06-01,2021-07-01,NEM,REMOVED,63.3386,55.4897,-12.39,loss,30,22
2021-04-01,2021-07-01,NUE,REMOVED,73.4398,90.2728,22.92,win,91,63
2021-07-01,2021-08-02,DVN,REMOVED,23.8239,20.3722,-14.49,loss,32,21
2021-06-01,2021-08-02,EFX,REMOVED,227.817,251.8925,10.57,win,62,43
2021-07-01,2021-08-02,NVDA,REMOVED,20.079,19.655,-2.11,loss,32,21
2021-07-01,2021-08-02,POOL,REMOVED,429.2583,447.7252,4.3,win,32,21
2021-08-02,2021-09-01,ENPH,REMOVED,190.01,177.98,-6.33,loss,30,22
2021-07-01,2021-09-01,IT,REMOVED,243.0,308.57,26.98,win,62,43
2021-08-02,2021-09-01,LLY,REMOVED,234.4058,247.4218,5.55,win,30,22
2021-09-01,2021-10-01,FTNT,REMOVED,63.508,58.234,-8.3,loss,30,21
2021-08-02,2021-10-01,RMD,REMOVED,257.4075,252.5704,-1.88,loss,60,43
2021-10-01,2021-11-01,ALB,REMOVED,207.6809,242.2487,16.64,win,31,21
2021-10-01,2021-11-01,DXCM,REMOVED,137.895,156.8175,13.72,win,31,21
2021-09-01,2021-11-01,MPWR,REMOVED,481.4319,509.8595,5.9,win,61,42
2021-08-02,2021-11-01,MRNA,REMOVED,360.0,334.99,-6.95,loss,91,64
2021-09-01,2021-11-01,PAYC,REMOVED,475.2024,535.5913,12.71,win,61,42
2021-11-01,2021-12-01,APA,REMOVED,23.363,23.3022,-0.26,loss,30,21
2021-11-01,2021-12-01,FANG,REMOVED,89.3628,89.5055,0.16,win,30,21
2021-11-01,2021-12-01,MOS,REMOVED,36.6821,31.3619,-14.5,loss,30,21
2021-11-01,2022-01-03,DVN,REMOVED,32.8259,35.9871,9.63,win,63,43
2021-12-01,2022-01-03,NVDA,REMOVED,33.153,29.7557,-10.25,loss,33,22
2021-11-01,2022-01-03,TSLA,REMOVED,381.6667,382.5833,0.24,win,63,43
2022-01-03,2022-02-01,ANET,REMOVED,36.0225,31.055,-13.79,loss,29,20
2021-12-01,2022-02-01,DLTR,REMOVED,135.9,130.91,-3.67,loss,62,42
