date,action,ticker,score,reason
2024-01-03,BUY,COIN,0.9627174313,next_open_fill_open_slot
2024-01-03,BUY,CVNA,0.8941861351,next_open_fill_open_slot
2024-01-03,BUY,VRT,0.8361592216,next_open_fill_open_slot
2024-01-03,BUY,CRWD,0.6914907374,next_open_fill_open_slot
2024-01-03,BUY,WSM,0.6204660568,next_open_fill_open_slot
2024-01-04,SELL,WSM,0.5471132738,next_open_left_top_rank
2024-01-04,BUY,ERIE,0.6220505272,next_open_fill_open_slot
2024-01-08,SELL,CVNA,0.5915110031,next_open_left_top_rank
2024-01-08,BUY,WSM,0.6422210414,next_open_fill_open_slot
2024-01-09,SELL,WSM,0.5981875362,next_open_left_top_rank
2024-01-09,BUY,KEY,0.6044015040,next_open_fill_open_slot
2024-01-10,SELL,KEY,0.5249757628,next_open_left_top_rank
2024-01-10,BUY,WSM,0.5559566731,next_open_fill_open_slot
2024-01-12,SELL,COIN,0.3192523707,next_open_left_top_rank
2024-01-12,BUY,FICO,0.4983226247,next_open_fill_open_slot
2024-01-16,SELL,FICO,0.4931044600,next_open_left_top_rank
2024-01-16,BUY,ANET,0.5221040947,next_open_fill_open_slot
2024-01-17,SELL,ANET,0.4860931653,next_open_left_top_rank
2024-01-17,BUY,VST,0.5226861979,next_open_fill_open_slot
2024-01-19,SELL,VST,0.4591608630,next_open_left_top_rank
2024-01-19,BUY,APP,0.5082254327,next_open_fill_open_slot
2024-01-22,SELL,APP,0.4677131067,next_open_left_top_rank
2024-01-22,BUY,AMD,0.5803174216,next_open_fill_open_slot
2024-01-23,SELL,AMD,0.5158179117,next_open_left_top_rank
2024-01-23,BUY,ANET,0.5532510315,next_open_fill_open_slot
2024-01-24,SELL,ANET,0.5259725523,next_open_left_top_rank
2024-01-24,BUY,APP,0.5889875719,next_open_fill_open_slot
2024-01-25,SELL,WSM,0.5572109874,next_open_left_top_rank
2024-01-25,SELL,APP,0.5122207506,next_open_left_top_rank
2024-01-25,BUY,AMD,0.5777875512,next_open_fill_open_slot
2024-01-25,BUY,STX,0.5605361185,next_open_fill_open_slot
2024-01-26,SELL,STX,0.5998041608,next_open_left_top_rank
2024-01-26,BUY,ANET,0.6079052498,next_open_fill_open_slot
2024-01-30,SELL,AMD,0.5742741083,next_open_left_top_rank
2024-01-30,BUY,DELL,0.6015133403,next_open_fill_open_slot
2024-02-01,SELL,ANET,0.3936748657,next_open_left_top_rank
2024-02-01,BUY,SMCI,0.5689358254,next_open_fill_open_slot
2024-02-02,SELL,ERIE,0.3565522745,next_open_left_top_rank
2024-02-02,BUY,VST,0.5639394874,next_open_fill_open_slot
2024-02-06,SELL,VST,0.5369914895,next_open_left_top_rank
2024-02-06,BUY,PANW,0.5778673481,next_open_fill_open_slot
2024-02-07,SELL,DELL,0.5304787544,next_open_left_top_rank
2024-02-07,BUY,UBER,0.5677419360,next_open_fill_open_slot
2024-02-08,SELL,UBER,0.5644375944,next_open_left_top_rank
2024-02-08,BUY,APP,0.5870216252,next_open_fill_open_slot
2024-02-09,SELL,APP,0.5827949500,next_open_left_top_rank
2024-02-09,BUY,NVDA,0.6368112754,next_open_fill_open_slot
2024-02-12,SELL,NVDA,0.7020216549,next_open_left_top_rank
2024-02-12,BUY,COIN,0.7027222273,next_open_fill_open_slot
2024-02-13,SELL,PANW,0.7065974939,next_open_left_top_rank
2024-02-13,BUY,NVDA,0.7687018153,next_open_fill_open_slot
2024-02-14,SELL,NVDA,0.6488077574,next_open_left_top_rank
2024-02-14,BUY,WSM,0.6838085644,next_open_fill_open_slot
2024-02-15,SELL,WSM,0.6953210108,next_open_left_top_rank
2024-02-15,BUY,UBER,0.7955988711,next_open_fill_open_slot
2024-02-20,SELL,UBER,0.7832613483,next_open_left_top_rank
2024-02-20,BUY,COHR,0.7858852773,next_open_fill_open_slot
2024-02-21,SELL,COHR,0.6481857046,next_open_left_top_rank
2024-02-21,BUY,PANW,0.7458629027,next_open_fill_open_slot
2024-02-22,SELL,VRT,0.6704431807,next_open_left_top_rank
2024-02-22,SELL,PANW,0.0878701212,next_open_left_top_rank
2024-02-22,BUY,WSM,0.7246161319,next_open_fill_open_slot
2024-02-22,BUY,UBER,0.7127492855,next_open_fill_open_slot
2024-02-23,SELL,UBER,0.7594137872,next_open_left_top_rank
2024-02-23,BUY,VRT,0.7996815653,next_open_fill_open_slot
2024-02-26,SELL,WSM,0.6117412033,next_open_left_top_rank
