variant,wins,compound,worst_excess,2020_return,2021_return,2022_return,2023_return,2024_return,2025_return,2026 YTD_return,2020_excess,2021_excess,2022_excess,2023_excess,2024_excess,2025_excess,2026 YTD_excess
Top2 skip21 monthly,5,6.405383409516315,-0.3517196046408828,-0.08096403422346721,0.3146212180484913,0.0218487373039562,0.48691703134836883,0.4362805388019617,0.41763946085532466,0.9812349733706154,-0.3517196046408828,0.07246816662632982,0.12631164735453582,0.29219187303786165,-0.035510119442492716,0.15897651253895728,0.7450239671865369
Top2 skip21 weekly,4,7.614078642193128,-0.3076804475945233,-0.036924877177107684,-0.03203809946138603,0.05659909142744057,1.1277833025742994,0.18115862471599486,0.8269437787916114,0.9046683547324896,-0.3076804475945233,-0.2741911508835475,0.1610620014780202,0.9330581442637922,-0.29063203352845957,0.568280830475244,0.6684573485484111
Top2 skip21 daily,4,6.204664630948737,-0.4487790140633179,0.27904138613006046,0.11873250736602126,-0.15655927692211735,1.1006358637952718,0.023011644181136548,0.7881445463752588,0.553511146245871,0.008285815712644862,-0.12342054405614022,-0.052096366871537736,0.9059107054847646,-0.4487790140633179,0.5294815980588914,0.3173001400617925
Top4 skip21 daily,4,4.7788568221686845,-0.3218444083107319,0.17705822217210798,0.08394029691242655,-0.07199301669686342,0.6042096951418912,0.14994624993372252,0.6412712400503255,0.6120122777856103,-0.09369734824530762,-0.15821275450973493,0.032469893353716195,0.40948453683138397,-0.3218444083107319,0.38260829173395816,0.37580127160153176
Top2 raw daily,4,1.9777185842490543,-0.6363167336710822,-0.3655611632536666,-0.08803356290318853,0.0674196991631959,0.36409450672191257,0.36627514692917673,0.48604376941563654,0.7408670000363331,-0.6363167336710822,-0.33018661432535,0.17188260921377552,0.16936934841140538,-0.1055155113152777,0.22738082109926916,0.5046559938522546
Top3 skip21 daily,3,6.2364566202455896,-0.3277421971713712,0.22589104491364265,0.02494401552258685,-0.14052024077574454,0.8679369450023768,0.14404846107308322,0.8412694681375998,0.7029986671727673,-0.044864525503772956,-0.21720903589957463,-0.03605733072516493,0.6732117866918697,-0.3277421971713712,0.5826065198212325,0.46678766098868874
Top2 skip21 SMA200,3,5.447193938570131,-0.4487790140633179,0.20318296145865422,0.052609329863366305,-0.14775855561557816,1.1006358637952718,0.023011644181136548,0.7892188695577076,0.553511146245871,-0.06757260895876138,-0.18954372155879518,-0.04329564556499854,0.9059107054847646,-0.4487790140633179,0.5305559212413402,0.3173001400617925
Top2 skip21 SMA50,3,3.0297397235954255,-0.4653183037926585,0.02791883836174658,0.18058486339637314,0.11287044620148645,0.9986363593465437,0.0064723544517959475,-0.014441458850561473,0.5050755163387881,-0.24283673205566902,-0.06156818802578834,0.21733335625206607,0.8039112010360365,-0.4653183037926585,-0.27310440716692885,0.2688645101547096
50% SPMO + 50% Top2,3,1.570548367442489,-0.45126730458130315,0.07117315862656803,0.011547296009446484,-0.18574201137519142,0.46927814933473333,0.020523353663151278,0.44698836140922205,0.342844953137206,-0.19958241179084757,-0.230605755412715,-0.0812791013246118,0.27455299102422615,-0.45126730458130315,0.18832541309285467,0.10663394695312745
75% SPMO + 25% Top2,2,0.37542254873450953,-0.46804109574745056,-0.03560733259383353,-0.050371364784461914,-0.20856844122333462,0.20369425650939843,0.0037495624970038666,0.2779189850924104,0.22905182186034745,-0.30636290301124913,-0.2925244162066234,-0.104105531172755,0.008969098198891245,-0.46804109574745056,0.01925603677604304,-0.007159184323731083
Top20 risk-adj inv-vol monthly,2,0.23140910082904576,-0.4873290494384478,-0.0010055970905623601,-0.14437533865947316,-0.03620087988735665,0.10839175980304883,-0.015538391193993362,0.061083457940869224,0.2910048323854235,-0.27176116750797796,-0.38652839008163464,0.06826203016322296,-0.08633339850745836,-0.4873290494384478,-0.19757949037549816,0.054793826201344986
Top100 risk-adj inv-vol monthly,1,0.0747905958451971,-0.4720797101606047,0.028747337283164365,-0.05516840755502117,-0.09103229152310022,0.059799372751339286,-0.0002890519161502514,0.04780499671710303,0.09580606749615295,-0.24200823313425124,-0.29732145897718265,0.013430618527479399,-0.1349257855591679,-0.4720797101606047,-0.21085795159926435,-0.14040493868792558
Top50 risk-adj inv-vol monthly,1,-0.028088848781448905,-0.4818217129421849,0.009911048544858136,-0.13580440567221674,-0.08460696950924218,0.02709368944129431,-0.010031054697730468,0.048958395030299195,0.1406013910158792,-0.26084452187255747,-0.3779574570943782,0.019855940541337436,-0.16763146886921287,-0.4818217129421849,-0.20970455328606818,-0.09560961516819932
Top100 risk-adj inv-vol quarterly,0,0.04284095654500164,-0.47589126114414015,0.012599073662675986,-0.03445695535799964,-0.12519637210946344,0.05329636690790296,-0.0041006028996857236,0.07348153792989764,0.08277371149802315,-0.2581564967547396,-0.2766100067801611,-0.020733462058883823,-0.14142879140260423,-0.47589126114414015,-0.18518141038646974,-0.15343729468605538
90% SPMO + 10% Top2,0,-0.08775489732151343,-0.48283943618125413,-0.09926534768957351,-0.08944221266803587,-0.22464340485889922,0.060918531511455765,-0.011048777936799703,0.17915250368025615,0.15952144989232697,-0.3700209181069891,-0.33159526409019735,-0.1201804948083196,-0.13380662679905142,-0.48283943618125413,-0.07951044463611123,-0.07668955629175156
