Symbol,Watchlist Source,Asset Type,Watchlist Note,Dashboard Trading Score,Dashboard Near-Term Score,Dashboard Flag,Dashboard Risk,Next Earnings,Latest Date,Last,Chg%,Trading Score,Trading View,Technical Label,RSI14,MACD,MACD Signal,ADX14,ATR%,EMA8,SMA20,SMA50,SMA200,Nearest Support,Nearest Resistance,Entry Plan,Entry Zone,Entry Trigger,Stop,Target 1,Target 2,Score Error,Investment Score,Investment View,Investment Note
AAPL,etrade,,,77.6,75.4,HOLD,Medium-high,2026-07-30,2026-05-29,312.0600,-0.14,83.0,Trade candidate,Bullish,79.0,10.45,9.84,43.8,1.78,307.54,297.46,275.11,262.79,297.28,315.93,Pullback entry,294.68-298.85,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,269.55,351.21,378.43,,70.0,Buy / accumulate,"Final stance: HOLD. AAPL closed at 312.06 on 2026 05 29, with a one day return of 0.14% and a 30 calendar day TradingAgents window return of 15.11%."
APP,etrade,,,90.0,84.4,HOLD,Medium,2026-08-05,2026-05-29,613.0900,2.20,87.0,Strong trade,Bullish,73.8,30.38,17.66,24.1,5.57,546.60,498.62,457.92,536.37,595.51,616.67,Pullback entry,578.45-604.04,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,423.80,926.14,1093.59,,70.0,Buy / accumulate,"Final stance: HOLD. APP closed at 613.09 on 2026 05 29, with a one day return of 2.2% and a 30 calendar day TradingAgents window return of 37.36%."
AVGO,etrade,,,80.5,74.8,HOLD,Medium,2026-06-03,2026-05-29,446.7700,4.73,88.0,Watch / constructive,Neutral,65.9,9.96,10.86,23.2,3.53,426.78,422.91,385.67,351.39,420.69,448.90,Pullback entry,415.02-426.85,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,369.90,523.00,574.04,,60.0,Hold / watch,"Final stance: HOLD. AVGO closed at 446.77 on 2026 05 29, with a one day return of 4.73% and a 30 calendar day TradingAgents window return of 7.03%."
CHAT,etrade,,,80.0,73.0,HOLD,Medium-high,,2026-05-29,98.2200,1.40,97.0,Strong trade,Bullish,76.2,5.17,4.45,31.8,2.85,92.80,87.38,76.69,64.16,87.35,98.41,Pullback entry,85.98-88.08,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,73.89,113.32,126.47,,55.0,Hold / watch,"Final stance: HOLD. CHAT closed at 98.22 on 2026 05 29, with a one day return of 1.4% and a 30 calendar day TradingAgents window return of 25.94%."
CRWD,etrade,,,80.0,69.1,HOLD,Medium-high,2026-06-03,2026-05-29,731.0000,8.94,83.0,Trade candidate,Bullish,83.8,62.41,53.11,48.6,3.94,661.28,582.22,482.51,470.24,633.09,734.78,Pullback entry,618.70-640.29,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,453.73,981.02,1156.78,,41.0,Speculative / avoid new,"Final stance: HOLD. CRWD closed at 731.00 on 2026 05 29, with a one day return of 8.94% and a 30 calendar day TradingAgents window return of 63.99%."
CRWV,etrade,,,76.1,64.6,HOLD,High,2026-08-12,2026-05-29,109.5300,2.50,63.0,Weak / neutral,Neutral,51.1,-0.69,0.34,14.0,7.26,107.03,112.65,103.76,99.65,101.88,112.39,Pullback entry,104.77-110.74,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,95.81,131.65,143.59,,35.0,Avoid long-term,"Final stance: HOLD. CRWV closed at 109.53 on 2026 05 29, with a one day return of 2.5% and a 30 calendar day TradingAgents window return of 1.85%."
HOOD,etrade,,,80.0,77.2,HOLD,Medium,2026-07-29,2026-05-29,94.3000,11.15,75.0,Trade candidate,Bullish,69.1,1.24,-0.10,15.5,5.18,81.41,77.97,76.78,103.91,77.02,94.13,Pullback entry,76.62-80.29,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,71.89,94.40,98.14,,70.0,Buy / accumulate,"Final stance: HOLD. HOOD closed at 94.30 on 2026 05 29, with a one day return of 11.15% and a 30 calendar day TradingAgents window return of 29.37%."
LITE,etrade,,,31.1,11.1,SELL,High,2026-08-12,2026-05-29,854.9600,-0.66,45.0,Avoid short-term,Bearish,45.3,4.70,21.55,15.6,8.93,898.20,939.65,865.49,457.95,827.52,954.26,Reclaim entry,939.65-977.82,Wait for a daily close back above SMA20/SMA50 with MACD above signal before considering a long.,825.11,1168.72,1321.44,,78.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 31.1, investment score 78.0."
MU,etrade,,,35.7,15.7,HOLD,High,2026-06-24,2026-05-29,971.0000,5.14,88.0,Strong trade,Bullish,78.0,101.83,85.42,37.9,5.77,861.81,751.46,557.54,338.60,751.27,980.89,Pullback entry,723.47-765.46,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,501.55,1230.30,1473.22,,79.0,Buy / accumulate,"Avoid near-term trade; No short-term entry; risk High. Trading score 35.7, investment score 79.0."
NVDA,etrade,,,73.0,53.0,HOLD,Medium,2026-06-03,2026-05-29,211.1400,-1.45,72.0,Watch / constructive,Neutral,49.4,3.81,5.97,22.6,3.38,215.46,215.46,199.35,187.64,208.78,216.83,Pullback entry,205.21-210.56,Buy only after price holds the zone and closes back above the prior day's high or EMA8.,192.21,239.24,254.91,,94.0,Strong long-term buy,"Long-term buy, wait for better short-term setup; Watch for pullback; risk Medium. Trading score 73.0, investment score 94.0."
