strategy,universe,top_n,signal_date,trade_date,action,ticker,security,index_date_added,price,old_weight,new_weight,rank,score,skipped_not_yet_index_before_buy,equity_before_trade
S&P 500 Top1 PIT membership,S&P 500,1,2019-12-31,2020-01-02,BUY,TGT,Target Corporation,1976-12-31,107.7088121789748,0.0,1.0,1,0.45585122228246133,5,1.0
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-28,2020-03-02,SELL,TGT,Target Corporation,1976-12-31,86.98389586619886,1.0,0.0,,,,0.8075838374455534
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-28,2020-03-02,BUY,GE,GE Aerospace,1957-03-04,54.26231002807617,0.0,1.0,1,0.6329638723882893,1,0.8075838374455534
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-31,2020-04-01,SELL,GE,GE Aerospace,1957-03-04,36.4369118768414,1.0,0.0,,,,0.5422891340774032
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-31,2020-04-01,BUY,REGN,Regeneron Pharmaceuticals,2013-05-01,480.8912585361074,0.0,1.0,1,0.6753785948526982,3,0.5422891340774032
S&P 500 Top1 PIT membership,S&P 500,1,2020-05-29,2020-06-01,SELL,REGN,Regeneron Pharmaceuticals,2013-05-01,600.9401860123018,1.0,0.0,,,,0.6776653293656326
S&P 500 Top1 PIT membership,S&P 500,1,2020-05-29,2020-06-01,BUY,NEM,Newmont,1969-06-30,49.50257104907538,0.0,1.0,1,0.6452304565943132,2,0.6776653293656326
S&P 500 Top1 PIT membership,S&P 500,1,2020-06-30,2020-07-01,SELL,NEM,Newmont,1969-06-30,52.09336770807269,1.0,0.0,,,,0.713132034105034
S&P 500 Top1 PIT membership,S&P 500,1,2020-06-30,2020-07-01,BUY,DXCM,Dexcom,2020-05-12,102.23999786376952,0.0,1.0,1,0.7516999302947409,4,0.713132034105034
S&P 500 Top1 PIT membership,S&P 500,1,2020-07-31,2020-08-03,SELL,DXCM,Dexcom,2020-05-12,110.15499877929688,1.0,0.0,,,,0.7683397886117801
S&P 500 Top1 PIT membership,S&P 500,1,2020-07-31,2020-08-03,BUY,REGN,Regeneron Pharmaceuticals,2013-05-01,630.5801253921892,0.0,1.0,1,0.8025976354337103,3,0.7683397886117801
S&P 500 Top1 PIT membership,S&P 500,1,2020-08-31,2020-09-01,SELL,REGN,Regeneron Pharmaceuticals,2013-05-01,611.4988896145213,1.0,0.0,,,,0.7450899713823732
S&P 500 Top1 PIT membership,S&P 500,1,2020-08-31,2020-09-01,BUY,PYPL,PayPal,2015-07-20,204.49667436265264,0.0,1.0,1,0.7863521033887175,7,0.7450899713823732
S&P 500 Top1 PIT membership,S&P 500,1,2020-09-30,2020-10-01,SELL,PYPL,PayPal,2015-07-20,198.20032395667343,1.0,0.0,,,,0.722149023523804
S&P 500 Top1 PIT membership,S&P 500,1,2020-09-30,2020-10-01,BUY,APA,APA Corporation,1997-07-28,8.062786669038461,0.0,1.0,1,2.6992775260762403,2,0.722149023523804
S&P 500 Top1 PIT membership,S&P 500,1,2020-10-30,2020-11-02,SELL,APA,APA Corporation,1997-07-28,7.247859145436521,1.0,0.0,,,,0.6491594803833806
S&P 500 Top1 PIT membership,S&P 500,1,2020-10-30,2020-11-02,BUY,FDX,FedEx,1980-12-31,237.1327523565141,0.0,1.0,1,1.210008043386798,4,0.6491594803833806
S&P 500 Top1 PIT membership,S&P 500,1,2020-12-31,2021-01-04,SELL,FDX,FedEx,1980-12-31,235.5830367380054,1.0,0.0,,,,0.6449170778655673
S&P 500 Top1 PIT membership,S&P 500,1,2020-12-31,2021-01-04,BUY,TSLA,"Tesla, Inc.",2020-12-21,239.82000732421875,0.0,1.0,1,1.419042607101007,0,0.6449170778655673
S&P 500 Top1 PIT membership,S&P 500,1,2021-01-29,2021-02-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,271.42999267578125,1.0,0.0,,,,0.7299217428714483
S&P 500 Top1 PIT membership,S&P 500,1,2021-01-29,2021-02-01,BUY,TPR,"Tapestry, Inc.",2004-09-01,28.36586777942146,0.0,1.0,1,1.263909154472723,0,0.7299217428714483
S&P 500 Top1 PIT membership,S&P 500,1,2021-03-31,2021-04-01,SELL,TPR,"Tapestry, Inc.",2004-09-01,36.67300574170485,1.0,0.0,,,,0.9436843066278221
S&P 500 Top1 PIT membership,S&P 500,1,2021-03-31,2021-04-01,BUY,OXY,Occidental Petroleum,1957-03-04,25.161750799115698,0.0,1.0,1,1.7862411490673895,0,0.9436843066278221
S&P 500 Top1 PIT membership,S&P 500,1,2021-04-30,2021-05-03,SELL,OXY,Occidental Petroleum,1957-03-04,24.06409612360495,1.0,0.0,,,,0.9025170802433792
S&P 500 Top1 PIT membership,S&P 500,1,2021-04-30,2021-05-03,BUY,FANG,Diamondback Energy,2018-12-03,67.19346867456667,0.0,1.0,1,2.0395008671218466,1,0.9025170802433792
