strategy,universe,top_n,date,equity,daily_return,holdings
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-03,0.9683080731113595,-0.03169192688864053,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-06,0.962948531802514,-0.005534954688154348,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-07,0.9554138654777878,-0.007824578444106778,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-08,0.9635699396480485,0.008536692280660896,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-09,0.9592978943938859,-0.004433560116791302,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-10,0.9686965348092308,0.009797415870784532,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-13,0.9677643691512209,-0.0009622886265341357,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-14,0.9600744608033979,-0.00794605442497065,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-15,0.9126144302349719,-0.049433697599570614,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-16,0.9098960502754281,-0.0029786729964854652,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-17,0.9048469779860586,-0.005549064959498473,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-21,0.9061675922244103,0.0014594890301684593,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-22,0.8865931724351113,-0.021601324034606906,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-23,0.881854707926923,-0.0053445759064144616,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-24,0.9010406907022445,0.021756398874848815,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-27,0.8773496315010706,-0.02629299591643275,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-28,0.9022058903112495,0.02833107568262383,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-29,0.8993319061308112,-0.0031855081099579907,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-30,0.8837190202682572,-0.01736053814628369,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-31,0.8809228295918876,-0.0031641173407366274,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-03,0.8632902600450687,-0.02001602064846897,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-04,0.8827091675468469,0.022494065322553825,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-05,0.8855831781522726,0.003255897538045227,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-06,0.9009632101832544,0.01736712305564736,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-07,0.8934284042864946,-0.008363056128814939,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-10,0.8979338130868953,0.005042831388373914,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-11,0.9093520756289517,0.012716151653542118,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-12,0.9061674793490097,-0.003502049827883713,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-13,0.9153329728590195,0.01011456901608776,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-14,0.9189063240258866,0.0039038811807530216,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-18,0.9135898448075614,-0.005785659625273554,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-19,0.9193709167968213,0.006327863671117706,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-20,0.9137461757356959,-0.006118032404943241,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-21,0.920464250498393,0.00735223297354759,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-24,0.8942947682411039,-0.02843074268568213,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-25,0.8920294566083146,-0.002533070429613149,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-26,0.8763277010310483,-0.01760228371489847,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-27,0.8466427035303479,-0.03387431147705855,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-28,0.798444003474827,-0.05692920975346616,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-02,0.8075838374455534,0.011447056939434486,TGT
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-03,0.8104653984918736,0.0035681261965752054,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-04,0.7967776452192207,-0.016888757124145393,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-05,0.763638502966657,-0.041591455848947634,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-06,0.7023798057539682,-0.08021949780518545,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-09,0.6007004759311961,-0.14476402793731313,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-10,0.6331513171423292,0.05402166722246782,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-11,0.6216131778354722,-0.018223351976796587,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-12,0.5213762742935418,-0.16125286129062877,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-13,0.5624807165088817,0.07883834428606451,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-16,0.5040692719556312,-0.10384612812291516,GE
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-17,0.49830023552720426,-0.011444927809316607,GE
