strategy,universe,top_n,signal_date,trade_date,selected,skipped_not_yet_index_count,first_skipped_tickers,equity_before_rebalance
S&P 500 Top1 PIT membership,S&P 500,1,2019-12-31,2020-01-02,TGT,5,"DXCM, PODD, BLDR, CVNA, TSLA",1.0
S&P 500 Top1 PIT membership,S&P 500,1,2020-01-31,2020-02-03,TGT,1,TSLA,0.8632902600450687
S&P 500 Top1 PIT membership,S&P 500,1,2020-02-28,2020-03-02,GE,1,TSLA,0.8075838374455534
S&P 500 Top1 PIT membership,S&P 500,1,2020-03-31,2020-04-01,REGN,3,"TSLA, DXCM, MRNA",0.5422891340774032
S&P 500 Top1 PIT membership,S&P 500,1,2020-04-30,2020-05-01,REGN,4,"PCG, MRNA, DXCM, TSLA",0.5871941487496745
S&P 500 Top1 PIT membership,S&P 500,1,2020-05-29,2020-06-01,NEM,2,"TSLA, MRNA",0.6776653293656326
S&P 500 Top1 PIT membership,S&P 500,1,2020-06-30,2020-07-01,DXCM,4,"MRNA, TSLA, CRWD, DDOG",0.713132034105034
S&P 500 Top1 PIT membership,S&P 500,1,2020-07-31,2020-08-03,REGN,3,"MRNA, DDOG, EQT",0.7683397886117801
S&P 500 Top1 PIT membership,S&P 500,1,2020-08-31,2020-09-01,PYPL,7,"MRNA, EQT, DDOG, CRWD, CVNA, TSLA, VEEV",0.7450899713823732
S&P 500 Top1 PIT membership,S&P 500,1,2020-09-30,2020-10-01,APA,2,"TSLA, CVNA",0.722149023523804
S&P 500 Top1 PIT membership,S&P 500,1,2020-10-30,2020-11-02,FDX,4,"CVNA, TSLA, XYZ, DDOG",0.6491594803833806
S&P 500 Top1 PIT membership,S&P 500,1,2020-11-30,2020-12-01,FDX,1,TSLA,0.7254178401649843
S&P 500 Top1 PIT membership,S&P 500,1,2020-12-31,2021-01-04,TSLA,0,,0.6449170778655673
S&P 500 Top1 PIT membership,S&P 500,1,2021-01-29,2021-02-01,TPR,0,,0.7299217428714483
S&P 500 Top1 PIT membership,S&P 500,1,2021-02-26,2021-03-01,TPR,1,MRNA,0.9779135806819128
S&P 500 Top1 PIT membership,S&P 500,1,2021-03-31,2021-04-01,OXY,0,,0.9436843066278221
S&P 500 Top1 PIT membership,S&P 500,1,2021-04-30,2021-05-03,FANG,1,TPL,0.9025170802433792
S&P 500 Top1 PIT membership,S&P 500,1,2021-05-28,2021-06-01,FANG,1,TPL,0.9005440357618523
S&P 500 Top1 PIT membership,S&P 500,1,2021-06-30,2021-07-01,NUE,1,TPL,1.053966980347622
S&P 500 Top1 PIT membership,S&P 500,1,2021-07-30,2021-08-02,NUE,0,,1.1376323128507395
S&P 500 Top1 PIT membership,S&P 500,1,2021-08-31,2021-09-01,MRNA,0,,1.2689981143240223
S&P 500 Top1 PIT membership,S&P 500,1,2021-09-30,2021-10-01,MRNA,0,,1.1877641675083217
S&P 500 Top1 PIT membership,S&P 500,1,2021-10-29,2021-11-01,MRNA,0,,1.1103985761295185
S&P 500 Top1 PIT membership,S&P 500,1,2021-11-30,2021-12-01,TSLA,0,,1.093858147422161
S&P 500 Top1 PIT membership,S&P 500,1,2021-12-31,2022-01-03,TSLA,1,BLDR,1.081653951831965
S&P 500 Top1 PIT membership,S&P 500,1,2022-01-31,2022-02-01,DVN,1,BLDR,0.8813535666768434
S&P 500 Top1 PIT membership,S&P 500,1,2022-02-28,2022-03-01,APA,0,,1.0517345805815306
S&P 500 Top1 PIT membership,S&P 500,1,2022-03-31,2022-04-01,APA,0,,1.200409045050688
S&P 500 Top1 PIT membership,S&P 500,1,2022-04-29,2022-05-02,CF,0,,1.1715433493710457
S&P 500 Top1 PIT membership,S&P 500,1,2022-05-31,2022-06-01,OXY,1,EQT,1.2089419983956289
S&P 500 Top1 PIT membership,S&P 500,1,2022-06-30,2022-07-01,OXY,0,,1.0188131011296637
S&P 500 Top1 PIT membership,S&P 500,1,2022-07-29,2022-08-01,OXY,1,EQT,1.1175902586290443
S&P 500 Top1 PIT membership,S&P 500,1,2022-08-31,2022-09-01,EPAM,2,"EQT, TPL",1.1873861845091278
S&P 500 Top1 PIT membership,S&P 500,1,2022-09-30,2022-10-03,CEG,2,"SMCI, FSLR",1.0318695773661697
S&P 500 Top1 PIT membership,S&P 500,1,2022-10-31,2022-11-01,CEG,1,FSLR,1.1557716737239523
S&P 500 Top1 PIT membership,S&P 500,1,2022-11-30,2022-12-01,DXCM,1,FSLR,1.1789307333414156
S&P 500 Top1 PIT membership,S&P 500,1,2022-12-30,2023-01-03,FSLR,0,,1.1577608654126301
S&P 500 Top1 PIT membership,S&P 500,1,2023-01-31,2023-02-01,PCG,0,,1.3600872652736347
S&P 500 Top1 PIT membership,S&P 500,1,2023-02-28,2023-03-01,WYNN,0,,1.337705937512376
S&P 500 Top1 PIT membership,S&P 500,1,2023-03-31,2023-04-03,NVDA,1,AXON,1.4030277835029012
S&P 500 Top1 PIT membership,S&P 500,1,2023-04-28,2023-05-01,NVDA,0,,1.4199095991553043
S&P 500 Top1 PIT membership,S&P 500,1,2023-05-31,2023-06-01,META,0,,1.9630351244505662
S&P 500 Top1 PIT membership,S&P 500,1,2023-06-30,2023-07-03,NVDA,2,"CVNA, SMCI",2.1165935946599377
S&P 500 Top1 PIT membership,S&P 500,1,2023-07-31,2023-08-01,NVDA,4,"CVNA, SMCI, APP, PLTR",2.312885291203537
S&P 500 Top1 PIT membership,S&P 500,1,2023-08-31,2023-09-01,NVDA,5,"CVNA, SMCI, PLTR, APP, VRT",2.477266906639128
S&P 500 Top1 PIT membership,S&P 500,1,2023-09-29,2023-10-02,NVDA,5,"CVNA, APP, VRT, SMCI, PLTR",2.1920951377561217
S&P 500 Top1 PIT membership,S&P 500,1,2023-10-31,2023-11-01,NVDA,6,"CVNA, SMCI, VRT, APP, PLTR, JBL",2.0354671156561515
S&P 500 Top1 PIT membership,S&P 500,1,2023-11-30,2023-12-01,MPC,4,"VRT, CVNA, DELL, APP",2.3163125769763937
S&P 500 Top1 PIT membership,S&P 500,1,2023-12-29,2024-01-02,KEY,6,"COIN, VRT, CRWD, APP, WSM, DELL",2.3202045195807073
S&P 500 Top1 PIT membership,S&P 500,1,2024-01-31,2024-02-01,INTC,6,"COIN, VRT, CRWD, ERIE, WSM, DELL",2.3607674514121975
S&P 500 Top1 PIT membership,S&P 500,1,2024-02-29,2024-03-01,AMD,2,"CRWD, SMCI",2.381953407044882
S&P 500 Top1 PIT membership,S&P 500,1,2024-03-28,2024-04-01,SMCI,0,,2.167600501283831
S&P 500 Top1 PIT membership,S&P 500,1,2024-04-30,2024-05-01,SMCI,0,,1.6683227000009877
S&P 500 Top1 PIT membership,S&P 500,1,2024-05-31,2024-06-03,SMCI,1,CVNA,1.7212035008710045
S&P 500 Top1 PIT membership,S&P 500,1,2024-06-28,2024-07-01,SMCI,0,,1.78438584151436
S&P 500 Top1 PIT membership,S&P 500,1,2024-07-31,2024-08-01,VST,1,CVNA,1.5120837989777236
S&P 500 Top1 PIT membership,S&P 500,1,2024-08-30,2024-09-03,MMM,1,CVNA,1.6171002556149674
S&P 500 Top1 PIT membership,S&P 500,1,2024-09-30,2024-10-01,HWM,2,"CVNA, TPL",1.6534520205941432
S&P 500 Top1 PIT membership,S&P 500,1,2024-10-31,2024-11-01,FICO,2,"APP, TPL",1.6637053012264895
S&P 500 Top1 PIT membership,S&P 500,1,2024-11-29,2024-12-02,PLTR,2,"APP, CVNA",1.9817458204681027
S&P 500 Top1 PIT membership,S&P 500,1,2024-12-31,2025-01-02,PLTR,1,APP,2.2391610321049717
S&P 500 Top1 PIT membership,S&P 500,1,2025-01-31,2025-02-03,PLTR,1,APP,2.3544984892751954
S&P 500 Top1 PIT membership,S&P 500,1,2025-02-28,2025-03-03,PLTR,1,APP,2.602069870960096
S&P 500 Top1 PIT membership,S&P 500,1,2025-03-31,2025-04-01,PLTR,1,APP,2.4651341881837663
S&P 500 Top1 PIT membership,S&P 500,1,2025-04-30,2025-05-01,PLTR,0,,3.527413426623427
S&P 500 Top1 PIT membership,S&P 500,1,2025-05-30,2025-06-02,PLTR,0,,3.8622590101665883
S&P 500 Top1 PIT membership,S&P 500,1,2025-06-30,2025-07-01,NRG,0,,3.974951896458762
S&P 500 Top1 PIT membership,S&P 500,1,2025-07-31,2025-08-01,SMCI,1,HOOD,4.03293878988526
S&P 500 Top1 PIT membership,S&P 500,1,2025-08-29,2025-09-02,GEV,1,HOOD,2.826799739288117
S&P 500 Top1 PIT membership,S&P 500,1,2025-09-30,2025-10-01,HOOD,0,,2.87031132680531
S&P 500 Top1 PIT membership,S&P 500,1,2025-10-31,2025-11-03,HOOD,2,"SNDK, SATS",3.023316010562395
S&P 500 Top1 PIT membership,S&P 500,1,2025-11-28,2025-12-01,SNDK,0,,2.508423745673252
S&P 500 Top1 PIT membership,S&P 500,1,2025-12-31,2026-01-02,SNDK,0,,2.8933788149609714
S&P 500 Top1 PIT membership,S&P 500,1,2026-01-30,2026-02-02,SNDK,0,,6.972172418328188
S&P 500 Top1 PIT membership,S&P 500,1,2026-02-27,2026-03-02,SNDK,0,,7.325452624439613
S&P 500 Top1 PIT membership,S&P 500,1,2026-03-31,2026-04-01,SNDK,0,,7.72384676281176
S&P 500 Top1 PIT membership,S&P 500,1,2026-04-30,2026-05-01,SNDK,0,,12.539987774066951
S&P 500 Top2 PIT membership,S&P 500,2,2019-12-31,2020-01-02,"TGT, LRCX",5,"DXCM, PODD, BLDR, CVNA, TSLA",1.0
S&P 500 Top2 PIT membership,S&P 500,2,2020-01-31,2020-02-03,"TGT, AMD",2,"TSLA, APO",0.9374058495698171
S&P 500 Top2 PIT membership,S&P 500,2,2020-02-28,2020-03-02,"GE, SWKS",1,TSLA,0.9229773604392995
S&P 500 Top2 PIT membership,S&P 500,2,2020-03-31,2020-04-01,"REGN, AMD",3,"TSLA, DXCM, MRNA",0.7009196263806989
S&P 500 Top2 PIT membership,S&P 500,2,2020-04-30,2020-05-01,"REGN, GEN",4,"PCG, MRNA, DXCM, TSLA",0.7880185397022077
S&P 500 Top2 PIT membership,S&P 500,2,2020-05-29,2020-06-01,"NEM, DXCM",3,"TSLA, MRNA, EQT",0.8768041359288805
S&P 500 Top2 PIT membership,S&P 500,2,2020-06-30,2020-07-01,"DXCM, REGN",4,"MRNA, TSLA, CRWD, DDOG",0.9326431736671873
S&P 500 Top2 PIT membership,S&P 500,2,2020-07-31,2020-08-03,"REGN, DXCM",5,"MRNA, DDOG, EQT, TSLA, CRWD",0.9776204894552832
S&P 500 Top2 PIT membership,S&P 500,2,2020-08-31,2020-09-01,"PYPL, WST",7,"MRNA, EQT, DDOG, CRWD, CVNA, TSLA, VEEV",0.9444511667163858
S&P 500 Top2 PIT membership,S&P 500,2,2020-09-30,2020-10-01,"APA, RCL",5,"TSLA, CVNA, XYZ, TRGP, TTD",0.9209341755118549
S&P 500 Top2 PIT membership,S&P 500,2,2020-10-30,2020-11-02,"FDX, UPS",8,"CVNA, TSLA, XYZ, DDOG, GNRC, BLDR, CRWD, TTD",0.8060559853285668
S&P 500 Top2 PIT membership,S&P 500,2,2020-11-30,2020-12-01,"FDX, FCX",5,"TSLA, GNRC, TTD, XYZ, FSLR",0.8937161344611413
S&P 500 Top2 PIT membership,S&P 500,2,2020-12-31,2021-01-04,"TSLA, TPR",1,MRNA,0.8974168667965459
S&P 500 Top2 PIT membership,S&P 500,2,2021-01-29,2021-02-01,"TPR, TSLA",0,,0.959855237533356
S&P 500 Top2 PIT membership,S&P 500,2,2021-02-26,2021-03-01,"TPR, PSKY",1,MRNA,1.030126601853405
S&P 500 Top2 PIT membership,S&P 500,2,2021-03-31,2021-04-01,"OXY, TPR",0,,0.8696777794542521
S&P 500 Top2 PIT membership,S&P 500,2,2021-04-30,2021-05-03,"FANG, OXY",1,TPL,0.9203296403564403
S&P 500 Top2 PIT membership,S&P 500,2,2021-05-28,2021-06-01,"FANG, STX",1,TPL,0.9384428938564229
S&P 500 Top2 PIT membership,S&P 500,2,2021-06-30,2021-07-01,"NUE, DVN",1,TPL,0.9640731343714478
S&P 500 Top2 PIT membership,S&P 500,2,2021-07-30,2021-08-02,"NUE, DVN",1,TPL,0.9276956125869917
S&P 500 Top2 PIT membership,S&P 500,2,2021-08-31,2021-09-01,"MRNA, FTNT",1,BX,1.048109487703151
S&P 500 Top2 PIT membership,S&P 500,2,2021-09-30,2021-10-01,"MRNA, FTNT",1,BX,0.9740475376560301
S&P 500 Top2 PIT membership,S&P 500,2,2021-10-29,2021-11-01,"MRNA, DVN",1,DDOG,1.0200880123193738
S&P 500 Top2 PIT membership,S&P 500,2,2021-11-30,2021-12-01,"TSLA, MRNA",1,DDOG,1.067708961928971
S&P 500 Top2 PIT membership,S&P 500,2,2021-12-31,2022-01-03,"TSLA, AMD",2,"BLDR, ON",0.9355306635230995
S&P 500 Top2 PIT membership,S&P 500,2,2022-01-31,2022-02-01,"DVN, CF",2,"BLDR, DDOG",0.7584431159640042
S&P 500 Top2 PIT membership,S&P 500,2,2022-02-28,2022-03-01,"APA, DVN",0,,0.9020363954656874
