rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,977.5,1103981838336,67.3,62.8,66.5,70.8,78.8,77.8,52.2,42.7,81.2,53.810578423518336,-3.6123170318630606,9.43783423733308,0.0208589397543201,0.0547341728623151,0.5366129428305604,0.0500962915592053,0.007401205024231,0.7655071619778014,4.536079954820651,0.8882,1.1308,0.5,6.244819,11.374,15.051,0.006919950592226,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,-0.0036954649942333,0.9007077107958854,2026-09-17,2.2-universe-normalization,27,1,"Micron Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,STRONG BUY,62.8,FAIR,True
2,NVDA,Stock,219.33999633789065,5296402989056,70.0,59.4,66.0,64.7,88.1,65.2,65.2,45.1,66.0,51.8711994392671,-1.1822896649505994,13.427849647004551,0.0041411568865556,0.0265235233106013,0.1088559884679845,0.0103393195592845,0.143207776940534,-0.1341131692897514,-0.3713290487343773,0.65949994,0.685,0.9121176720475784,14.046848,16.937,25.496,0.0078940131690115,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,-0.0053902146653148,0.7156205591065099,2026-09-17,2.2-universe-normalization,27,1,NVIDIA Corporation,Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,STRONG BUY,59.4,FAIR,True
3,META,Stock,682.3099975585938,1738188914688,57.5,61.4,60.6,70.1,81.0,27.0,30.4,77.4,62.6,73.97271386970868,9.694189272791103,25.402115942543865,0.1210882364131857,0.1246368872885401,0.0944728757868218,0.2660504394241789,0.2723662302344477,-0.2434970917085296,-0.7498153126220184,0.2044,0.0808,0.5048378522062733,19.517067,7.712,16.053,0.0124000474895841,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,0.014207895688878,0.875289215409036,2026-09-17,2.2-universe-normalization,27,1,"Meta Platforms, Inc.",Communication Services,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,BUY,61.4,FAIR,True
4,LITE,Stock,893.6099853515625,80156819456,60.8,63.4,59.1,44.2,70.6,64.3,75.2,42.3,78.1,50.92709212214376,-6.190053106360082,10.281456889354754,-0.0044482633307484,0.0652550628800141,0.2574316401533423,0.0342876531007114,0.0973889153694441,-0.0776357633465668,3.6002820798985846,0.5219,0.8322,0.9912280701754386,22.509068,26.241,98.776,0.0028032549385688,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,-0.006927018730576,1.1885496423740207,2026-09-17,2.2-universe-normalization,27,1,Lumentum Holdings Inc.,Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,BUY,63.4,FAIR,True
5,MRVL,Stock,240.75999450683597,216372117504,56.5,66.0,57.9,46.8,67.8,52.2,64.1,60.9,75.6,56.78482145540435,0.9679554740261946,15.217247220291462,0.0568270368429486,0.1150167627965077,0.5277080473181739,0.1256723753559372,-0.0980416744806539,1.3970822512654129,1.8752529718153956,0.5107,0.6048,0.976911976911977,35.610905,22.483,74.545,0.0111292062386711,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,0.0040204165812884,0.9220941396498048,2026-09-17,2.2-universe-normalization,27,1,"Marvell Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,BUY,66.0,GOOD,True
6,ETN,Stock,409.4599914550781,159034261504,54.1,57.7,57.0,66.2,58.8,20.9,61.6,55.1,55.6,49.26393120868617,-0.5120942682348542,13.026014504627629,0.0052143435883136,-0.0134994891877114,0.0714044302540473,-0.0396608566865392,0.0722472098071199,-0.2111202223959377,-0.5131657242652442,0.120299995,0.1903,1.0,25.379316,5.985,27.069,0.0195311691117695,0.1034478457428904,0.1390297387412369,0.36022,0.16563,105.059,-0.0012506576440229,1.3620141094009812,2026-09-17,2.2-universe-normalization,27,3,Eaton Corporation plc,Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,57.7,FAIR,False
7,AVGO,Stock,347.29998779296875,1657881624576,62.1,40.5,56.5,67.9,84.0,58.9,33.5,36.6,40.2,38.54577692468428,-1.4827592220674235,26.75379827990845,-0.034309434389939,-0.0875538752332151,-0.0575758189216636,-0.0750098925450911,-0.0444337304707447,-0.2494022815769284,-0.6567744366241031,0.6369,0.6628,0.1989412048463617,17.916922,18.587,31.69,0.0184551773796425,0.3433796440970187,0.1911656891495601,0.75515,0.54307,59.604,-0.0042693903662079,0.899237864081413,2026-09-17,2.2-universe-normalization,27,1,Broadcom Inc.,Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,BUY,40.5,WAIT,True
8,HUBB,Stock,443.2300109863281,23416981504,54.9,45.3,55.9,80.6,57.6,16.5,59.7,41.7,32.0,39.22692108231108,-1.0546871808257876,18.48817371809134,-0.0286464461067038,-0.0691091390405366,-0.0841049664713398,-0.0700891608303435,-0.0560652004609243,-0.4187822951703564,-0.5982562357772299,0.1008,0.1197,1.0,19.343897,4.558,18.72,0.0211732033829939,0.07966651163357,0.154830940906934,0.35338002,0.21666999,141.642,-0.0023795482135308,1.440165260327095,2026-09-17,2.2-universe-normalization,27,2,Hubbell Incorporated,Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,45.3,WAIT,False
9,QTUM,ETF,146.75,5561583104,57.1,51.9,53.4,,,,,49.7,60.6,48.81179871305676,-0.2754168475270866,16.55278420975923,-0.0016667264668913,-0.0054407724009368,0.1097415126196885,-0.0245119313391186,-0.0249219678678365,-0.0238835405831642,-0.1574537411173924,,,,,,,,,,,,,-0.0018767757923481,0.782884199413647,2026-09-17,2.2-universe-normalization,27,0,Defiance Quantum ETF,Thematic ETF,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,BUY,51.9,WAIT,True
10,PANW,Stock,375.05999755859375,306799083520,50.2,66.5,53.4,38.9,67.1,35.9,43.5,68.4,83.4,57.925139550895125,2.867451591978901,17.68247519392979,0.0608640493996293,0.0646832042474869,0.5647107678094219,0.0135016979607893,0.3996144954890565,0.8677264018713263,0.2342538334650266,0.1449,0.4025,0.7354471732195703,76.87121,26.723,196.652,0.0138221563354949,0.3693923960689105,0.0127375514577341,0.70383,0.05396,9.337,0.007645314378084,0.9560309855936808,2026-09-17,2.2-universe-normalization,27,2,"Palo Alto Networks, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,66.5,GOOD,False
11,AXTI,Stock,67.75,4442585088,52.3,62.4,51.6,27.6,33.5,82.2,88.8,69.2,52.7,52.47572616058061,0.1915026816964489,13.15591851739931,0.0638297865968142,0.0778056409985394,0.1927333932344657,-0.1658494410943455,-0.1942390385412409,0.0367126439518853,15.266695580801468,1.1135,1.5922,1.0,30.11111,30.916,288.538,-0.0099980077185186,-0.3538949398051135,-0.073049061647768,0.32184,0.21902001,10.667,0.002826607847918,0.9554861005619878,2026-09-17,2.2-universe-normalization,27,0,"AXT, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,62.4,FAIR,False
12,AMZN,Stock,251.19000244140625,2709413953536,49.1,49.9,51.6,64.2,56.6,15.9,44.8,36.0,59.3,45.39446648536136,-1.266242284937622,11.799841459043432,-0.0205241746465811,-0.0176624327858808,0.0457465835476453,-0.0207938423594112,0.1278694807463281,-0.1558621517981026,-0.555333088465395,0.1432,-0.1873,0.95,24.211016,3.659,16.802,0.0011881259369018,0.0041500681415152,0.1324511328950458,0.5077,0.13689,45.617,-0.005040974054025,0.9370960484124432,2026-09-17,2.2-universe-normalization,27,2,"Amazon.com, Inc.",Consumer Cyclical,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,49.9,WAIT,False
13,SPCX,Stock,154.80999755859375,2040671371264,54.5,62.3,51.4,18.5,43.6,91.8,93.3,74.2,48.8,62.320368298897336,0.4296503689000692,26.249887939818237,0.072098816263771,0.1499999084137595,,0.0910623156932961,-0.1227139774743642,,,1.4167,27.292099,1.0,88.810486,169.998,664.309,,,-0.0449359923364974,0.51875,-0.01804,31.211,0.0027753399371862,1.07051689745633,2026-09-17,2.2-universe-normalization,27,0,Space Exploration Technologies Corp.,Industrials,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,62.3,FAIR,False
14,CRWD,Stock,245.6999969482422,251580792832,45.4,69.8,49.6,24.7,55.1,37.2,59.6,63.2,91.2,65.4107812884387,3.432960787922543,20.31874207158829,0.1508735579867253,0.1909886085441936,0.6781499992042641,0.1649973036637095,0.5092574052844722,0.9023651804450185,0.5800732082941864,0.2259,0.2785,0.9894176931690928,152.99738,45.029,2273.805,0.0079313903479606,0.36977979942968,-0.1753753811214883,0.75185996,-0.02259,15.958,0.0139721645525527,1.0083329340999387,2026-09-17,2.2-universe-normalization,27,2,"CrowdStrike Holdings, Inc.",Technology,95acfecf52651414b4fb,2026-09-17T19:36:31.843481-04:00,HOLD,69.8,GOOD,False
