snapshot_id,run_date,snapshot_revision,market_session_date,run_type,methodology_version,ticker,rank,rank_delta,market_cap_usd,multi_bagger_score,multi_bagger_score_delta,expectation_valuation_score,expectation_valuation_score_delta,weekly_technical_score,weekly_technical_score_delta,pass_1_score,pass_1_status,pass_1_completion_pct,pass_2_score,pass_2_status,pass_2_completion_pct,pass_3_score,pass_3_status,pass_3_completion_pct,pass_4_score,pass_4_status,pass_4_completion_pct,pass_5_score,pass_5_status,pass_5_completion_pct,pass_6_score,pass_6_status,pass_6_completion_pct,probability_5x_pct,data_confidence,action,thesis_status,entry_zone_hit_status
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,IREN,1,0,15600000000,93,0,82,0,58,10,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,58,legacy_score_only,,,legacy_not_captured,,36,high,WAIT / add only on pullback,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,AMPX,2,0,1370000000,91,0,84,0,31,-53,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,31,legacy_score_only,,,legacy_not_captured,,42,high,BUY SMALL / scale,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,APLD,3,0,7260000000,89,0,79,0,30,-14,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,30,legacy_score_only,,,legacy_not_captured,,35,high,Small starter / wait for reversal to add,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,BKSY,4,0,870000000,87,0,83,0,28,-15,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,28,legacy_score_only,,,legacy_not_captured,,39,high,Starter only in tranches,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,RKLB,5,0,37760000000,86,0,72,0,48,6,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,48,legacy_score_only,,,legacy_not_captured,,30,high,WAIT,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,FIGR,6,0,7250000000,87,1,77,2,35,-17,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,35,legacy_score_only,,,legacy_not_captured,,30,medium_high,WAIT for stabilization,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,NBIS,7,0,55870000000,86,0,70,0,54,4,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,54,legacy_score_only,,,legacy_not_captured,,20,high,WAIT,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,WULF,8,1,7450000000,84,0,72,0,39,-6,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,39,legacy_score_only,,,legacy_not_captured,,29,high,Small starter only,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,ZETA,9,7,7640000000,84,3,75,6,62,-17,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,62,legacy_score_only,,,legacy_not_captured,,25,high,WAIT for pullback,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,TSSI,10,0,222000000,76,0,74,0,29,-11,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,29,legacy_score_only,,,legacy_not_captured,,31,medium,WAIT for reversal,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,RZLV,11,3,937000000,81,3,68,8,32,-51,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,32,legacy_score_only,,,legacy_not_captured,,30,medium,WATCH / speculative only after stabilization,legacy_note_only,below
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,CRMD,12,-1,671000000,75,0,80,0,78,23,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,78,legacy_score_only,,,legacy_not_captured,,25,high,HOLD / wait for pullback,legacy_note_only,above
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,EVLV,13,-1,924000000,77,0,76,0,38,-9,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,38,legacy_score_only,,,legacy_not_captured,,27,high,Starter only after reversal,legacy_note_only,hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,RR,14,-1,416000000,79,0,50,0,52,-14,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,52,legacy_score_only,,,legacy_not_captured,,27,high,WAIT / tiny speculative only at zone,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,GRRR,15,-7,388000000,77,-3,71,-5,42,-4,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,42,legacy_score_only,,,legacy_not_captured,,28,medium,WAIT,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,AXTI,16,-1,3640000000,73,1,68,2,27,-10,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,27,legacy_score_only,,,legacy_not_captured,,24,high,WAIT,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,SOUN,17,0,3030000000,73,0,62,0,29,-28,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,29,legacy_score_only,,,legacy_not_captured,,20,medium,WAIT,legacy_note_only,above
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,POET,18,0,1260000000,68,-2,48,-4,40,6,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,40,legacy_score_only,,,legacy_not_captured,,20,high,AVOID / WAIT,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,SERV,19,0,406000000,66,-2,51,-4,45,-40,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,45,legacy_score_only,,,legacy_not_captured,,20,medium_high,Speculative only after reversal,legacy_note_only,not_hit
2026-09-03,2026-09-03,1,2026-09-02,legacy_import,multi-bagger-v2.1,SSII,20,0,681000000,63,0,40,0,36,-2,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,,legacy_not_captured,,36,legacy_score_only,,,legacy_not_captured,,15,high,NO NEW CAPITAL,legacy_note_only,no_zone
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,IREN,1,0,16412543374,93,0,82,0,47,-11,92,complete,100,,partial,90,,partial,90,,partial,90,47,complete,100,,partial,90,36,high,WAIT / add only on pullback,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,AMPX,2,0,1406756368,91,0,84,0,22,-9,92,complete,100,,partial,90,,partial,90,,partial,90,22,complete,100,,partial,90,42,high,BUY SMALL only / wait for reversal to scale,intact_with_caveats,hit
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,APLD,3,0,7366311726,89,0,79,0,28,-2,92,complete,100,,partial,90,,partial,90,,partial,90,28,complete,100,,partial,90,35,high,WAIT / add only on pullback into entry zone,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,BKSY,4,0,844279539,87,0,83,0,17,-11,92,complete,100,,partial,90,,partial,90,,partial,90,17,complete,100,,partial,90,39,high,WAIT for reversal / starter only after stabilization,intact_with_caveats,hit
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,RKLB,5,0,40793844397,86,0,72,0,22,-26,92,complete,100,,partial,90,,partial,90,,partial,90,22,complete,100,,partial,90,30,high,WAIT,intact,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,FIGR,6,0,8124722540,87,0,77,0,57,22,92,complete,100,,partial,90,,partial,90,,partial,90,57,complete,100,,partial,90,30,high,WAIT for pullback,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,NBIS,7,0,57260865895,86,0,70,0,62,8,92,complete,100,,partial,90,,partial,90,,partial,90,62,complete,100,,partial,90,20,high,WAIT,intact,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,WULF,8,0,8098261399,84,0,72,0,45,6,92,complete,100,,partial,90,,partial,90,,partial,90,45,complete,100,,partial,90,29,high,Small starter only,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,ZETA,9,0,8203124688,84,0,75,0,80,18,92,complete,100,,partial,90,,partial,90,,partial,90,80,complete,100,,partial,90,25,high,WAIT for pullback,intact,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,TSSI,10,0,228574478,76,0,74,0,20,-9,84,complete,100,,partial,90,,partial,90,,partial,90,20,complete,100,,partial,90,31,medium,WAIT for reversal,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,RZLV,11,0,877420710,81,0,68,0,22,-10,88,complete,100,,partial,90,,partial,90,,partial,90,22,complete,100,,partial,90,30,medium_high,WATCH / speculative only after stabilization,intact_with_caveats,below
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,CRMD,12,0,664487538,75,0,80,0,66,-12,92,complete,100,,partial,90,,partial,90,,partial,90,66,complete,100,,partial,90,25,high,HOLD / wait for pullback,intact,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,EVLV,13,0,893960870,77,0,76,0,29,-9,92,complete,100,,partial,90,,partial,90,,partial,90,29,complete,100,,partial,90,27,high,Starter only after reversal,intact_with_caveats,hit
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,RR,14,0,387175348,79,0,50,0,37,-15,92,complete,100,,partial,90,,partial,90,,partial,90,37,complete,100,,partial,90,27,high,WAIT / tiny speculative only at zone,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,GRRR,15,0,377430745,77,0,71,0,47,5,84,complete,100,,partial,90,,partial,90,,partial,90,47,complete,100,,partial,90,28,medium,WAIT,intact_with_caveats,hit
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,AXTI,16,0,3685214564,73,0,68,0,35,8,92,complete,100,,partial,90,,partial,90,,partial,90,35,complete,100,,partial,90,24,high,WAIT,intact_with_caveats,above
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,SOUN,17,0,2993300247,73,0,62,0,36,7,84,complete,100,,partial,90,,partial,90,,partial,90,36,complete,100,,partial,90,20,medium,WAIT,intact_with_caveats,hit
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,POET,18,0,1268515772,68,0,48,0,31,-9,92,complete,100,,partial,90,,partial,90,,partial,90,31,complete,100,,partial,90,20,high,AVOID / WAIT,intact_with_caveats,no_zone
2026-09-04,2026-09-04,1,2026-09-03,regular_refresh,multi-bagger-v2.2,SERV,19,0,418797252,66,0,51,0,33,-12,88,complete,100,,partial,90,,partial,90,,partial,90,33,complete,100,,partial,90,20,medium_high,Speculative only after reversal,intact_with_caveats,above
