rank,ticker,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,as_of
1,MU,932.969970703125,,67.1,67.1,67.6,70.5,78.0,62.7,69.1,50.7,77.6,50.780688100865994,5.318916346371144,11.572797224465518,0.03390379714074543,-0.0300414078782415,0.6144440944293144,0.013687095818032131,0.10158683149337362,0.9580248396498651,6.256559149136192,0.8527,1.112,0.9545454545454546,6.0181813,11.173,14.784,,0.08462569562445695,0.1419950783027513,0.72569,0.80370003,6.33,2026-08-25
2,NVDA,213.0500030517578,5160284192768.0,67.8,56.1,65.0,72.4,90.7,31.4,64.5,57.7,46.5,49.60928974749032,-1.2654921843458422,16.959666633010855,-0.007120942429082788,0.025233120058892,0.09109868136061294,0.06145291129547532,0.052757655171254705,-0.16909628160186008,-0.48561923362022036,0.4404,0.44619998,1.0,16.336937,19.744,30.238,0.008979325807082193,0.18279099614571304,0.987441508009527,0.74144995,0.65596,6.555,2026-08-25
3,LITE,885.5650024414062,79435177984.0,62.1,68.0,62.3,51.8,65.0,65.9,81.8,63.7,68.3,53.73745014019026,0.13579140307898996,10.381935652484243,0.060681695619468456,0.08991931865523628,0.34361226593712857,0.2211250320281368,0.03230899698697172,0.011465168551990753,5.736330582706089,0.4952,3.0129998,1.0,26.824598,24.353,91.669,0.002828721552625709,0.07455208707940705,0.24821929751149654,0.44244,0.27954,35.987,2026-08-25
4,MRVL,240.3800048828125,216030625792.0,56.0,75.7,62.0,56.7,67.7,40.5,53.6,76.2,91.1,56.387048922446134,3.879691064698994,17.982048520717036,0.11432004742780721,0.036070351652521815,0.6413473957395193,0.24799304516462348,0.2145411481702235,1.793566047702606,1.6157011005491175,0.4564,0.5396,0.8906926406926406,38.30342,23.175,74.49,0.01050638115627794,0.2603732993390066,0.07141117820098565,0.51502997,0.14479999,28.97,2026-08-25
5,META,570.0499877929688,1452205801472.0,56.9,32.2,53.5,83.6,80.5,17.3,18.6,38.0,21.9,46.453733386393715,-1.449718675546368,15.639883009123318,-0.00614395219530306,-0.03848166115005025,-0.08456562526696187,-0.06282568013422368,-0.008174089938468623,-0.3819193857955283,-0.9264723531005508,0.2014,0.0691,-0.16133447823441638,16.425737,6.336,13.188,0.014841990760643284,0.09443114505532983,0.24151296396154137,0.81747,0.34827,42.997,2026-08-25
6,AXTI,67.44999694824219,4422913024.0,52.2,61.6,52.6,36.1,35.9,71.8,83.2,48.5,67.0,48.134912597785785,-1.027717480625007,25.036497773527874,-0.05280825814186596,0.005782650180057747,0.28195132196505224,0.3860141844324443,-0.431301267890742,0.6475595251807907,22.234248334950884,1.1128,1.5645,1.0,30.300985,31.479,293.789,-0.010042476476245534,-0.35389493980511355,-0.07304906164776805,0.32184,0.21902001,10.667,2026-08-25
7,SPCX,137.9499969482422,1818426474496.0,52.7,58.7,50.2,24.1,45.2,90.0,71.4,68.9,53.4,58.46767585469416,1.3276672625916708,21.459933957261754,0.06038301848747318,-0.021878183447149535,,0.1927025961810178,,,,1.3632001,26.3375,0.6779761904761905,86.13907,151.83,593.315,,,-0.04493599233649743,0.51875,-0.01804,31.211,2026-08-25
8,IREN,42.209999084472656,15084953600.0,48.1,48.6,49.8,58.2,38.9,63.2,39.5,64.7,38.7,51.26352502781077,0.27639151363460224,14.983395874909583,0.041913489709854757,-0.015390807419219166,-0.08849543336590893,0.14041440523081178,-0.23388492923360532,-0.34647545647137223,0.2854777525898988,3.1176002,-0.0858,0.1285714285714286,-42.06991,21.106,108.57,-0.15320195297120437,-3.052600407412758,0.009238890438027994,0.68397003,-0.64468,148.804,2026-08-25
9,APLD,28.850000381469727,8202164736.0,46.8,46.3,49.1,62.9,22.5,68.6,50.5,53.2,34.8,47.326449372795736,0.05645122006211378,20.597865519085268,-0.002644618521305153,-0.10700742909606775,-0.10566414132495461,0.07112299788865756,-0.30085117493193586,-0.334222847633485,0.11331703198123307,1.274,0.7378,0.3333333333333333,-115.4,21.874,-124.937,-0.604893815192936,-8.116063533595051,-0.024310373953859713,0.25879,-0.48219,136.231,2026-08-25
10,NBIS,221.97000122070312,60343705600.0,41.1,51.9,44.9,44.8,40.9,54.1,25.5,40.3,75.5,50.55392809538627,-0.8758397248319962,12.222594272917975,0.021777859884794415,-0.003122173012318652,0.47711632958066064,0.15872970023552474,0.12688181177221144,0.8886837810741967,1.5336982389626146,2.5714998,-0.9907,-0.2714285714285714,-74.05171,44.251,232.42,-0.15933145424864328,-7.095159132872045,-0.0601264622993222,0.7426,-0.00223,98.596,2026-08-25
11,RKLB,66.91000366210938,42782994432.0,41.6,33.8,38.9,38.9,34.8,34.5,42.3,38.0,25.2,37.026590297930184,-0.5185224247321545,17.663624930276853,-0.09935249658973266,-0.16792056699453495,-0.15128920991684391,-0.02316402341537887,-0.4727252824282304,-0.31892128481079396,-0.17652971055421457,0.42330003,0.7246,0.35714285714285715,1338.2001,50.298,-257.02,-0.005889340737953141,-0.3275888287027707,-0.20627118080234338,0.37264,-0.24572,3.828,2026-08-25
