rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,as_of,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,933.4400024414062,1054220746752,67.6,74.0,70.6,74.6,73.2,65.8,71.7,60.5,85.2,50.448083375271935,1.2953076585472116,8.988703594420375,0.0043749915773856,-0.0131860777874709,0.5679857303288989,0.1159227469019665,-0.0369680236564107,1.1719222270194267,6.218568200681888,0.8527,1.112,0.9545454545454546,6.021213,11.777,15.583,0.0072465845502821,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,2026-09-01,STRONG BUY,74.0,GOOD,True
2,NVDA,Stock,217.44000244140625,5250523594752,68.0,66.0,67.9,71.5,88.2,37.9,67.1,71.3,60.0,51.87290992414985,-0.3821230146520897,15.591529110842636,-0.0072570082642871,0.0413912946093377,0.1098187849076244,0.0428831670028505,0.0626785086077902,-0.0788425596406501,-0.3873681806355333,0.63,0.6494,1.0,14.206213,17.484,26.319,0.0079629915358898,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,2026-09-01,STRONG BUY,66.0,GOOD,True
3,QTUM,ETF,144.55999755859375,5221128192,64.0,64.0,63.4,,,,,59.8,62.6,42.16816901547915,-0.7235324661731046,17.522974528574636,-0.0465355044826413,-0.0407790319075569,0.1140966119533244,0.0140519547519232,-0.0252651307965542,-0.0440412253465447,-0.1220587123147629,,,,,,,,,,,,,2026-09-01,BUY,64.0,FAIR,True
4,AVGO,Stock,369.6799926757813,1758782291968,62.4,53.1,60.0,65.1,81.5,46.3,52.5,61.9,43.8,43.334014619870274,-1.6790569958757784,21.628530114814367,-0.0460831226431307,-0.0393885206681042,0.0026157939439381,-0.0668734791386593,-0.1454431000134325,-0.1057160385631557,-0.3852051004418237,0.6348,0.6772,0.9,18.887436,23.906,42.868,0.0154722100695878,0.3605943083591944,0.1911656891495601,0.76284,0.48988,74.018,2026-09-01,BUY,53.1,WAIT,True
5,LITE,Stock,868.9500122070312,77944815616,57.5,68.2,58.4,41.9,62.6,55.0,78.3,64.7,72.4,50.82407330855945,0.9528560500668846,10.787221538206236,-0.0118547190117778,0.0661556502116378,0.2920683988321846,0.2077374422911095,0.0458519579334422,-0.1785642057652046,4.773154798546187,0.4937,3.0129998,1.0,26.321316,26.87,101.145,0.002882808795225,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,2026-09-01,BUY,68.2,GOOD,True
6,META,Stock,578.5399780273438,1473834123264,54.0,49.6,56.7,81.1,78.4,12.1,15.0,74.9,40.1,49.94992417504306,2.679799797716111,12.29279435035418,0.0071995949694545,-0.0232981197722259,-0.0692554387182606,-0.0292041223988807,0.0546405653800594,-0.403245496003681,-0.8516411992652014,0.2016,0.082399994,-0.1613344782344163,16.548788,6.485,13.498,0.0146241864995408,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,2026-09-01,HOLD,49.6,WAIT,False
7,MRVL,Stock,210.38999938964844,189078470656,52.8,56.9,54.7,57.1,64.2,29.6,49.6,41.5,72.2,45.15222807377845,-1.7054113912059412,15.898313631275435,-0.0634723488454156,-0.0633208040868512,0.4044572275296885,0.0763341075476708,-0.1906235314553682,1.428407827789782,1.71616417626511,0.5137,0.5836,0.9166666666666666,31.3858,19.783,65.592,0.0127357171424402,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,2026-09-01,HOLD,56.9,FAIR,False
8,DRAM,ETF,55.060001373291016,24554743808,53.9,53.3,53.9,,,,,55.8,57.8,48.53493909529823,0.2227519944219547,12.520083365782432,-0.0013964980052437,-0.0486162737014009,,0.0674812465746103,-0.1228806892248087,,,,,,,,,,,,,,,2026-09-01,HOLD,53.3,WAIT,False
9,SPCX,Stock,142.22999572753906,1874844450816,51.2,61.9,50.1,22.2,41.5,90.8,69.2,76.2,57.5,60.23466693307964,0.9734033092821052,19.0319375170973,0.0393776567403656,0.0420711329238907,,0.2324763481136759,,,,1.3632001,13.4163,0.6779761904761905,88.8116,160.102,625.638,,,-0.0449359923364974,0.51875,-0.01804,31.211,2026-09-01,HOLD,61.9,FAIR,False
10,AXTI,Stock,56.11000061035156,3679312896,52.6,51.7,49.6,34.3,34.3,74.2,84.6,36.4,51.1,41.694328746120455,-2.407304965824049,18.80951988732321,-0.2278688180151099,-0.1198873016315018,0.0409864166374607,-0.1922853681434501,-0.4081342670611385,0.0556502201613769,17.710880676388758,1.1128,1.5645,1.0,25.206648,29.029,270.923,-0.0120720909733685,-0.3538949398051135,-0.073049061647768,0.32184,0.21902001,10.667,2026-09-01,HOLD,51.7,WAIT,False
