rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,924.030029296875,1043593166848,67.3,64.2,66.8,70.1,78.8,77.8,53.4,41.2,85.4,46.41436604092642,-1.108184010051442,10.256101160957028,-0.037895155958493,-0.0038264905058541,0.477421890083251,0.0373132616493949,0.0314854352693675,0.8378800482953608,4.546693523975685,0.8842,1.1251,0.5,5.9207616,11.984,15.857,0.0073203811779199,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,-0.0011992943680571,1.036046849126076,2026-09-14,2.2-universe-normalization,27,1,"Micron Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,STRONG BUY,64.2,FAIR,True
2,NVDA,Stock,210.9600067138672,5094050889728,70.3,60.4,66.7,66.0,88.1,63.3,66.5,53.0,61.5,44.066453913757016,-1.2101982397137383,15.372199146962666,-0.0377817584444016,-0.0081017332247353,0.069508858624143,0.0018752749286181,0.1192700640906503,-0.1587376555100661,-0.4064632974512387,0.6483,0.6731,0.9121176720475784,13.510182,17.286,26.021,0.0082075887832821,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,-0.0057366240102332,1.0084755800531862,2026-09-14,2.2-universe-normalization,27,1,NVIDIA Corporation,Technology,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,STRONG BUY,60.4,FAIR,True
3,META,Stock,665.5999755859375,1695620005888,58.1,64.1,62.0,72.1,81.0,27.0,32.8,86.1,61.4,70.76686758381439,10.41220929054828,20.1734060327431,0.127649131132012,0.1046272193118915,0.0686378084040739,0.1831878856268825,0.2650265458669064,-0.2453014242935631,-0.710728868681772,0.2035,0.08,0.5048378522062733,19.039085,7.526,15.664,0.0127113533770276,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,0.0156433438588729,1.046134028094961,2026-09-14,2.2-universe-normalization,27,1,"Meta Platforms, Inc.",Communication Services,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,BUY,64.1,FAIR,True
4,LITE,Stock,835.030029296875,74902192128,61.5,60.9,58.6,43.1,70.6,64.3,77.6,43.9,69.6,45.81782239082853,-4.907065336259262,10.69287032361426,-0.070634499848892,0.0077901522908194,0.1894564372265612,0.0129318990345771,-0.0038957448293136,0.0096263132869076,3.4644342203275302,0.522,0.83199996,0.9912280701754386,21.0335,24.497,92.213,0.00299991220038,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,-0.0058765136151943,1.167739374797153,2026-09-14,2.2-universe-normalization,27,1,Lumentum Holdings Inc.,Technology,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,BUY,60.9,FAIR,True
5,MRVL,Stock,218.82000732421875,196654563328,57.9,62.1,57.8,49.0,67.8,52.2,68.9,52.2,69.4,48.213104392052735,0.0072146452566554,14.623535165758426,-0.0385151646240438,0.0115958484200306,0.4077861583464128,0.049353195835342,-0.1274693875515705,1.1606271356334874,1.693043845939202,0.5108,0.5984,0.9762003597620036,32.365993,20.448,67.795,0.0122450752184357,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,3.2970683736271795e-05,0.8948314681335519,2026-09-14,2.2-universe-normalization,27,1,"Marvell Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,BUY,62.1,FAIR,True
6,AVGO,Stock,344.7200012207031,1645565706240,62.5,43.0,57.5,67.9,84.0,58.9,35.9,47.9,36.6,34.325655214859665,-0.8175299020418034,24.2109119705442,-0.0557698866078086,-0.0994093021930845,-0.0665130048078598,-0.1104797303517426,-0.0063296754973104,-0.2578184623984483,-0.6344729920021401,0.6369,0.6628,0.3007270127859354,17.783823,18.866,32.166,0.0185933015861826,0.3433796440970187,0.1911656891495601,0.75515,0.54307,59.604,-0.0023715766394372,1.2333701767825365,2026-09-14,2.2-universe-normalization,27,1,Broadcom Inc.,Technology,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,BUY,43.0,WAIT,True
7,ETN,Stock,393.1600036621094,152703352832,54.0,56.7,56.6,66.2,58.8,20.9,62.8,52.3,54.5,42.18026207024425,-0.436981498155613,14.073136520008063,-0.0478612207040779,-0.0530459022582363,0.0312349244311886,-0.068252879608078,0.096993169641816,-0.2197544745324253,-0.4959949552111269,0.1201,0.1903,1.0,24.370317,6.191,28.0,0.020340909340853,0.1034478457428904,0.1390297387412369,0.36022,0.16563,105.059,-0.0011114596960151,1.7428736469127588,2026-09-14,2.2-universe-normalization,27,3,Eaton Corporation plc,Industrials,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,HOLD,56.7,FAIR,False
8,QTUM,ETF,142.8000030517578,5561583104,58.3,55.0,56.1,,,,,54.7,55.3,40.554790724662205,-0.4220472348655405,16.722038398714922,-0.0376450406842941,-0.0358816621910419,0.0845659046780302,-0.033097314662091,-0.023227908137032,-0.0213133036992298,-0.1435122619850607,,,,,,,,,,,,,-0.0029555127860366,1.0642695640641626,2026-09-14,2.2-universe-normalization,27,0,Defiance Quantum ETF,Thematic ETF,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,BUY,55.0,FAIR,True
9,AMZN,Stock,253.5399932861328,2734761705472,49.6,57.7,54.2,64.2,56.6,15.9,47.2,52.5,65.3,45.84245200471919,-1.0613521225740006,13.30968112383633,-0.0192066130891458,-0.007555503534635,0.056707233786164,0.020761556560269,0.1528372930350439,-0.1109081303333298,-0.4974494334350277,0.143,-0.1861,0.91875,24.369732,3.691,16.952,0.001177113525306,0.0041500681415152,0.1324511328950458,0.5077,0.13689,45.617,-0.0041861329600029,1.0332455891408632,2026-09-14,2.2-universe-normalization,27,2,"Amazon.com, Inc.",Consumer Cyclical,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,HOLD,57.7,FAIR,False
10,PANW,Stock,373.9400024414063,305882923008,50.7,67.0,54.0,40.0,67.1,35.9,45.9,67.3,84.1,57.70620995408352,-1.103357879586987,17.70814816728527,0.0601159515691787,0.0682138333096249,0.5786118743174427,0.0087689392074059,0.4273143148023739,0.9071061146336876,0.2854065098371531,0.1449,0.4025,0.8234926020691956,76.6448,23.516,173.056,0.013863555553538,0.3693923960689105,0.0127375514577341,0.70383,0.05396,9.337,-0.0029506281017898,1.841757815107112,2026-09-14,2.2-universe-normalization,27,2,"Palo Alto Networks, Inc.",Technology,95acfecf52651414b4fb,2026-09-14T19:16:16.995414-04:00,HOLD,67.0,GOOD,False
