rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
1,NVDA,Stock,213.8999938964844,5165043154944,70.1,62.4,67.2,66.1,88.1,63.3,64.1,52.4,68.2,46.88755014482719,-1.5711596168929436,14.333699375263285,-0.0203095423209186,0.0025136046856364,0.0825246153167678,0.0177695656173977,0.120076235065737,-0.1289621400630882,-0.3823602257511548,0.65260005,0.6778,0.9121176720475784,13.698463,16.799,25.288,0.0080947774664727,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,-0.0073452999613141,0.7398087797812146,2026-09-16,2.2-universe-normalization,27,1,NVIDIA Corporation,Technology,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,STRONG BUY,62.4,FAIR,True
2,MU,Stock,926.5499877929688,1046439198720,67.3,58.2,65.1,70.8,78.8,77.8,52.2,32.5,77.3,46.77233311007998,-5.915555360563472,9.55715087450802,-0.0303058985834646,0.000378088557162,0.4650560760673548,-0.0181290945018526,-0.0045227642798403,0.7006415765612748,4.293596621914046,0.8842,1.1251,0.5,5.9265184,11.387,15.068,0.0073004717190875,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,-0.006384496722788,0.8169022278570024,2026-09-16,2.2-universe-normalization,27,1,"Micron Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,STRONG BUY,58.2,FAIR,True
3,META,Stock,673.3099975585938,1715261407232,57.5,63.5,61.2,70.1,81.0,27.0,30.4,87.8,60.1,72.24454377902887,10.016790895305965,24.00104740103886,0.1188268430445416,0.1127071514141311,0.0803485335355891,0.2494655102237339,0.2094222775047088,-0.22502965246181,-0.7052438360843276,0.2035,0.08,0.5048378522062733,19.259626,7.577,15.772,0.0125657960921432,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,0.0148769377131285,0.9516413560303566,2026-09-16,2.2-universe-normalization,27,1,"Meta Platforms, Inc.",Communication Services,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,BUY,63.5,FAIR,True
4,LITE,Stock,919.4000244140624,82470182912,60.7,69.1,60.7,44.2,70.6,64.3,75.2,57.2,81.1,53.2273688947783,-6.418490204720413,10.262352644718218,0.0280640755184586,0.1008942114627247,0.2989166901191493,0.0149925815067032,0.1379423908194475,0.1080432876114548,3.859031892598301,0.522,0.83199996,0.9912280701754386,23.15869,24.614,92.653,0.0027246210941446,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,-0.0069811725410937,1.5798006793227033,2026-09-16,2.2-universe-normalization,27,1,Lumentum Holdings Inc.,Technology,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,BUY,69.1,GOOD,True
5,MRVL,Stock,229.7100067138672,206441447424,56.5,64.0,57.3,46.8,67.8,52.2,64.1,57.1,73.3,52.65571703837017,0.0668518708312437,14.43956822650205,0.00909554924666,0.0647397996109166,0.4646314230984614,0.0463656794397916,-0.087856736878326,1.2246390093466175,1.825283211037984,0.5107,0.6048,0.976911976911977,33.976498,21.449,71.115,0.0116645661520393,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,0.0002910272468648,0.6879808026488129,2026-09-16,2.2-universe-normalization,27,1,"Marvell Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,BUY,64.0,FAIR,True
6,AVGO,Stock,339.510009765625,1620695187456,62.1,41.8,56.9,67.9,84.0,58.9,33.5,40.4,40.6,32.46166982187957,-1.954447157422804,26.440342499180947,-0.0579581180580671,-0.1099558519201244,-0.0793816900676185,-0.0687705906182685,-0.0096916321332248,-0.2468409295754534,-0.6492971544355045,0.6369,0.6628,0.1989412048463617,17.515043,18.574,31.668,0.0188786267108173,0.3433796440970187,0.1911656891495601,0.75515,0.54307,59.604,-0.0057566702047224,0.8821984196841418,2026-09-16,2.2-universe-normalization,27,1,Broadcom Inc.,Technology,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,BUY,41.8,WAIT,True
7,ETN,Stock,397.7999877929688,154505510912,53.9,56.2,56.4,66.2,58.8,20.9,61.6,51.6,54.4,44.35616160563812,-1.3197219479526678,13.795873731510856,-0.0252305884143092,-0.0410888637659969,0.0418001099644103,-0.0604007846572543,0.0657257195423066,-0.2086520461386751,-0.5175340990163853,0.1201,0.1903,1.0,24.6566,5.764,26.071,0.0201036522106264,0.1034478457428904,0.1390297387412369,0.36022,0.16563,105.059,-0.0033175515043995,0.969310071441976,2026-09-16,2.2-universe-normalization,27,3,Eaton Corporation plc,Industrials,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,HOLD,56.2,FAIR,False
8,HUBB,Stock,439.0700073242188,23197198336,54.9,46.0,56.1,80.6,57.6,16.5,59.7,38.5,36.2,36.44669692091201,-1.3736084751650868,18.437466231992783,-0.0410145534211304,-0.0792302322794916,-0.0925551402810193,-0.0605681096071357,-0.0361510844079051,-0.3699073296386109,-0.5741999663032795,0.1008,0.1197,1.0,19.162342,4.554,18.701,0.0213738100963055,0.07966651163357,0.154830940906934,0.35338002,0.21666999,141.642,-0.0031284497967331,0.6520882722992667,2026-09-16,2.2-universe-normalization,27,2,Hubbell Incorporated,Industrials,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,HOLD,46.0,WAIT,False
9,PANW,Stock,375.6499938964844,307281690624,49.9,68.1,53.5,37.8,67.1,35.9,43.5,69.7,86.9,58.176598498382255,2.222043838761097,17.978664372745513,0.0648369747504427,0.0696659490661935,0.5732410138719071,0.065788661607854,0.4297180829624559,0.912908394707257,0.2776868619106177,0.1449,0.4025,0.7354471732195703,76.995285,26.683,196.359,0.0138004476849516,0.3693923960689105,0.0127375514577341,0.70383,0.05396,9.337,0.0059151973242768,0.8033463942322717,2026-09-16,2.2-universe-normalization,27,2,"Palo Alto Networks, Inc.",Technology,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,HOLD,68.1,GOOD,False
10,QTUM,ETF,143.27000427246094,5561583104,55.9,49.6,52.1,,,,,51.4,57.1,41.64708458059671,-0.5345307489779507,17.210454785447162,-0.0264834017336216,-0.0297777497219147,0.0850298632711616,-0.0284072227425885,-0.0280497779189147,-0.0194384232744663,-0.1465241790527766,,,,,,,,,,,,,-0.0037309327356577,0.5883320907353281,2026-09-16,2.2-universe-normalization,27,0,Defiance Quantum ETF,Thematic ETF,95acfecf52651414b4fb,2026-09-16T19:07:29.997544-04:00,BUY,49.6,WAIT,True
