rank,ticker,asset_type,price,market_cap,long_term_score,short_term_score,buy_now_score,valuation_score,quality_score,growth_score,revision_score,technical_score,relative_strength_score,rsi14,macd_hist,adx14,dist_20dma,dist_50dma,dist_200dma,rs_1m,rs_3m,rs_6m,rs_12m,forward_revenue_growth,forward_eps_growth,eps_revision_signal,forward_pe,ev_sales,ev_ebitda,fcf_yield,fcf_margin,roic_proxy,gross_margin,operating_margin,debt_to_equity,macd_hist_pct,volume_ratio_20d,as_of,scoring_version,universe_size,image_mentions,company_name,sector,scoring_fingerprint,data_retrieved_at,long_term_rating,entry_score,entry_quality,short_put_eligible
1,MU,Stock,975.260009765625,1101452017664,66.6,64.4,66.5,70.1,78.8,75.9,51.1,49.5,80.8,52.99519951119319,3.8804753969464407,10.37551145658882,0.0129340657304422,0.050239776045599,0.5681122979582418,0.0928928531465032,0.0251098709470389,1.0300196250482727,5.2989610463684205,0.8832,1.112,0.5,6.259504,11.98,15.852,0.0069358443704176,0.0846256956244569,0.1419950783027513,0.72569,0.80370003,6.33,0.0039789136825973,0.829746074352101,2026-09-11,2.2-universe-normalization,27,1,"Micron Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,STRONG BUY,64.4,FAIR,True
2,NVDA,Stock,218.2899932861328,5271048421376,70.2,58.9,66.2,66.0,88.1,65.2,65.2,50.0,60.5,49.94178812850127,-0.507080694805297,15.509822808231648,-0.0075057989112686,0.0279428683171263,0.1074796661719605,-0.0020968256469394,0.112351938448168,-0.1826774467813244,-0.4443618809599832,0.6483,0.6731,0.907769845960622,14.022135,17.277,26.007,0.007931984607549,0.1380000440194589,0.987441508009527,0.74674004,0.66236997,16.971,-0.002322968117648,0.6803605085761656,2026-09-11,2.2-universe-normalization,27,1,NVIDIA Corporation,Technology,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,STRONG BUY,58.9,FAIR,True
3,META,Stock,648.030029296875,1650860490752,57.9,63.3,61.9,74.1,81.0,27.0,30.4,90.7,56.5,67.17924246077587,9.875251209925432,18.46655008594613,0.104972705733054,0.0784284568199331,0.0408811951871381,0.1422085486229332,0.1867462674078287,-0.3600857778768865,-0.8137728658882072,0.2035,0.08,0.5048378522062733,18.536509,7.289,15.171,0.0130559942579895,0.0944311450553298,0.2415129639615413,0.81747,0.34827,42.997,0.015238879007876,0.942444415146173,2026-09-11,2.2-universe-normalization,27,1,"Meta Platforms, Inc.",Communication Services,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,BUY,63.3,FAIR,True
4,ETN,Stock,425.3699951171875,165171167232,54.3,62.5,58.7,67.5,58.8,20.9,62.8,63.5,60.2,54.39148527397086,0.8720769332379694,14.110910739294969,0.0229162193686345,0.0243179609872783,0.1166786055842232,-0.0525065612942655,0.1289200073647375,-0.1508659764501839,-0.4910260080381681,0.1201,0.1903,1.0,26.366879,5.981,27.051,0.0188054919514925,0.1034478457428904,0.1390297387412369,0.36022,0.16563,105.059,0.0020501609028575,0.936804349133671,2026-09-11,2.2-universe-normalization,27,3,Eaton Corporation plc,Industrials,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,HOLD,62.5,FAIR,False
5,MRVL,Stock,236.1000061035156,212184170496,57.4,65.4,58.3,47.7,67.8,54.6,67.4,59.3,73.5,55.47205809290825,0.7235639004263215,15.12463685324929,0.0366835169682526,0.0888218841308472,0.5255902141961475,0.1103131107928584,-0.113056168109102,1.317734827737172,1.8477633372912656,0.512,0.5994,0.9686057677991842,35.134712,21.203,70.299,0.0113488669506823,0.2548119968676348,0.0714111782009856,0.52216,0.16679001,28.525,0.0030646500708224,0.7090437986848177,2026-09-11,2.2-universe-normalization,27,1,"Marvell Technology, Inc.",Technology,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,BUY,65.4,GOOD,True
6,AVGO,Stock,361.989990234375,1728006324224,62.2,44.0,57.4,66.6,84.0,58.9,35.9,47.9,39.6,42.24471071034389,0.0960355483551165,23.32076141554688,-0.0149771384106501,-0.0550676119536062,-0.0201596574122401,-0.1072406800408758,-0.0140156149698412,-0.2959152515112966,-0.6916958523683805,0.6369,0.6628,0.3020833333333333,18.674767,19.729,33.638,0.0177062427533302,0.3433796440970187,0.1911656891495601,0.75515,0.54307,59.604,0.0002652989058977,0.797113774409522,2026-09-11,2.2-universe-normalization,27,1,Broadcom Inc.,Technology,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,BUY,44.0,WAIT,True
7,SOXL,ETF,121.81999969482422,19311783936,47.0,62.1,57.1,,,,,64.2,55.9,48.32283966760576,2.3302191992095977,15.875052977292508,0.0140090047456826,-0.1056785231600817,0.1015577041746387,-0.1203826223075042,-0.4104817337821564,1.0455006151058106,2.5823156717480757,,,,,,,,,,,,,0.0191283796178551,0.9747129210414676,2026-09-11,2.2-universe-normalization,27,0,Direxion Daily Semiconductor Bull 3X Shares,Thematic ETF,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,HOLD,62.1,FAIR,False
8,LITE,Stock,927.030029296875,83154591744,56.8,64.5,56.5,39.4,70.6,50.2,70.2,53.3,76.2,53.86806616445659,2.3472909552264625,11.10462893233096,0.0265541953846553,0.1217133660123019,0.3255628538488972,0.016861718440936,0.0877415210875433,0.1273673930845857,3.944090424574432,0.5091,0.5387,0.9912280701754386,27.837736,27.493,103.491,0.0027021959375588,0.074552087079407,0.2482192975114965,0.44244,0.27954,35.987,0.0025320549292311,0.8160761199898595,2026-09-11,2.2-universe-normalization,27,1,Lumentum Holdings Inc.,Technology,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,BUY,64.5,FAIR,True
9,HUBB,Stock,460.3999938964844,24328353792,53.0,47.0,55.1,79.3,57.6,16.5,48.9,46.2,38.6,44.90744578594142,0.0074493944369571,16.525317652646986,-0.013277754856481,-0.0400192046212205,-0.0479494494218999,-0.0768819418934096,0.0296884184245347,-0.3884232445436907,-0.6248111153946965,0.1008,0.1197,0.9615384615384616,20.093248,4.74,19.464,0.0203800271994992,0.07966651163357,0.154830940906934,0.35338002,0.21666999,141.642,1.6180266150550916e-05,0.8995831406317557,2026-09-11,2.2-universe-normalization,27,2,Hubbell Incorporated,Industrials,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,HOLD,47.0,WAIT,False
10,AMZN,Stock,256.7799987792969,2769709432832,50.8,54.3,54.1,65.5,56.6,15.9,52.0,47.4,57.9,48.91355076482137,-1.1099799253630829,14.006344819305037,-0.0084202032377107,0.0059830858097551,0.0708192734831927,-0.0165890218592733,0.108881930270334,-0.1518268753511079,-0.563527057236383,0.143,-0.16549999,0.9905660377358492,24.681154,3.669,16.847,0.0011622609050034,0.0041500681415152,0.1324511328950458,0.5077,0.13689,45.617,-0.0043226884128039,0.8253971294643605,2026-09-11,2.2-universe-normalization,27,2,"Amazon.com, Inc.",Consumer Cyclical,95acfecf52651414b4fb,2026-09-11T19:25:56.774994-04:00,HOLD,54.3,WAIT,False
