date,ticker,sentiment_score,regime,polarity,bullish,favorable,bearish,neutral,context
2026-09-02,AAOI,29,Bearish,bearish,4,1,12,4,3
2026-09-03,AAOI,24,Bearish,bearish,3,1,13,4,3
2026-09-04,AAOI,29,Bearish,bearish,4,1,12,4,3
2026-09-08,AAOI,35,Moderately bearish,bearish,5,1,11,4,3
2026-09-09,AAOI,35,Moderately bearish,bearish,5,1,11,4,3
2026-09-04,AMZN,57,Moderately bullish,bullish,5,3,6,8,2
2026-09-08,AMZN,57,Moderately bullish,bullish,5,3,6,8,2
2026-09-09,AMZN,50,Mixed / neutral,neutral,4,3,7,8,2
2026-08-14,APLD,50,Mixed / neutral,neutral,0,0,0,0,24
2026-08-17,APLD,41,Moderately bearish,bearish,7,0,10,3,4
2026-08-18,APLD,35,Moderately bearish,bearish,6,0,11,3,4
2026-08-19,APLD,29,Bearish,bearish,5,0,12,3,4
2026-08-20,APLD,29,Bearish,bearish,5,0,12,3,4
2026-08-21,APLD,29,Bearish,bearish,5,0,12,3,4
2026-08-24,APLD,24,Bearish,bearish,4,0,13,3,4
2026-08-25,APLD,35,Moderately bearish,bearish,6,0,11,3,4
2026-08-26,APLD,24,Bearish,bearish,4,0,13,3,4
2026-08-28,APLD,17,Bearish,bearish,3,0,15,2,4
2026-08-31,APLD,17,Bearish,bearish,3,0,15,2,4
2026-09-01,APLD,17,Bearish,bearish,3,0,15,2,4
2026-09-02,APLD,17,Bearish,bearish,3,0,15,2,4
2026-09-03,APLD,24,Bearish,bearish,4,0,13,3,4
2026-09-04,APLD,24,Bearish,bearish,4,0,13,3,4
2026-09-08,APLD,35,Moderately bearish,bearish,6,0,11,3,4
2026-09-09,APLD,29,Bearish,bearish,5,0,12,3,4
2026-09-04,AVAV,22,Bearish,bearish,2,2,14,4,2
2026-09-08,AVAV,24,Bearish,bearish,2,2,13,5,2
2026-09-09,AVAV,22,Bearish,bearish,2,2,14,4,2
2026-08-31,AVGO,50,Mixed / neutral,neutral,8,1,9,4,2
2026-09-01,AVGO,50,Mixed / neutral,neutral,8,1,9,4,2
2026-09-02,AVGO,44,Moderately bearish,bearish,7,1,10,4,2
2026-09-03,AVGO,42,Moderately bearish,bearish,7,1,11,3,2
2026-09-04,AVGO,47,Mixed / neutral,neutral,7,1,9,5,2
2026-09-08,AVGO,47,Mixed / neutral,neutral,7,1,9,5,2
2026-09-09,AVGO,47,Mixed / neutral,neutral,7,1,9,5,2
2026-08-14,AXTI,50,Mixed / neutral,neutral,0,0,0,0,24
2026-08-17,AXTI,61,Moderately bullish,bullish,10,1,7,4,2
2026-08-18,AXTI,61,Moderately bullish,bullish,10,1,7,4,2
2026-08-19,AXTI,63,Moderately bullish,bullish,11,1,7,3,2
2026-08-20,AXTI,63,Moderately bullish,bullish,11,1,7,3,2
2026-08-21,AXTI,63,Moderately bullish,bullish,11,1,7,3,2
2026-08-24,AXTI,42,Moderately bearish,bearish,7,1,11,3,2
2026-08-25,AXTI,47,Mixed / neutral,neutral,8,1,10,3,2
2026-08-26,AXTI,44,Moderately bearish,bearish,7,1,10,4,2
2026-08-28,AXTI,47,Mixed / neutral,neutral,8,1,10,3,2
2026-08-31,AXTI,42,Moderately bearish,bearish,7,1,11,3,2
2026-09-01,AXTI,42,Moderately bearish,bearish,7,1,11,3,2
2026-09-02,AXTI,42,Moderately bearish,bearish,7,1,11,3,2
2026-09-03,AXTI,42,Moderately bearish,bearish,7,1,11,3,2
2026-09-04,AXTI,42,Moderately bearish,bearish,7,1,11,3,2
2026-09-08,AXTI,44,Moderately bearish,bearish,7,1,10,4,2
2026-09-09,AXTI,44,Moderately bearish,bearish,7,1,10,4,2
2026-09-04,CEG,67,Moderately bullish,bullish,10,2,6,4,2
2026-09-08,CEG,67,Moderately bullish,bullish,10,2,6,4,2
